index,predicted_transformed_accuracy,predicted_transformed_runtime,recent_samples_size,n_reference_samples,n_recent_samples,threshold,stability_offset
0,0.544505719,0.950021575,4071.0,3167.0,5.0,0.104900365,0.9
1,0.544852941,0.949999944,3720.0,3237.0,4.0,0.052186212,0.9
2,0.544877451,0.949242293,3640.0,3779.0,9.0,0.102217987,0.9
3,0.545678105,0.947048289,3857.0,2737.0,3.0,0.019724193,0.9
4,0.547193627,0.941105259,3640.0,3167.0,5.0,0.104900365,0.8
5,0.555420752,0.938117847,1144.0,3715.0,3.0,0.129381502,0.3
6,0.559232026,0.930935738,1380.0,2170.0,13.0,0.045969827,0.0
7,0.607234477,0.729810817,4980.0,764.0,5.0,0.580788479,0.9
8,0.626940359,0.707310669,4980.0,764.0,132.0,0.740638408,0.9
9,0.648864379,0.614327397,4996.0,147.0,131.0,0.324995032,0.9
10,0.65122549,0.606048037,4964.0,145.0,132.0,0.366522613,0.9
11,0.659681373,0.565422769,4940.0,132.0,107.0,0.419414608,0.9
12,0.692151416,0.530893703,4980.0,14.0,5.0,0.453509398,0.9
13,0.782897603,0.331706548,4972.0,193.0,89.0,0.799891088,0.9
14,0.783360566,0.326959493,4980.0,14.0,167.0,0.86786193,0.9
15,0.80831427,0.315543876,4977.0,152.0,111.0,0.687532587,0.9
16,0.815999455,0.314975748,4980.0,14.0,134.0,0.648855657,0.9
17,0.816432462,0.297885472,4980.0,14.0,7.0,0.582760205,0.9
18,0.839626906,0.279406738,4980.0,14.0,5.0,0.637863623,0.9
19,0.848099129,0.271614269,4980.0,14.0,5.0,0.668815847,0.9
