index,predicted_transformed_accuracy,predicted_transformed_runtime,recent_samples_size,n_reference_samples,n_recent_samples,threshold,stability_offset
0,0.522470786,0.59868886,2207.0,110.0,16.0,0.079264555,0.0
1,0.523437314,0.589268597,2658.0,2170.0,18.0,0.067701075,0.0
2,0.524530353,0.588806638,2207.0,110.0,16.0,0.079264555,0.01
3,0.569211478,0.549284332,4512.0,104.0,16.0,0.112048751,0.0
4,0.587422262,0.51631723,4570.0,117.0,31.0,0.127387906,0.0
5,0.592874579,0.494048772,924.0,1667.0,18.0,0.513003964,0.9
6,0.637270252,0.483784957,1106.0,869.0,18.0,0.719500134,0.9
7,0.637602,0.482165546,590.0,869.0,18.0,0.719500134,0.9
8,0.645154238,0.482152304,1596.0,869.0,18.0,0.719500134,0.9
9,0.654099327,0.466984503,1106.0,869.0,18.0,0.719500134,0.5
10,0.660287186,0.466331174,1242.0,1079.0,15.0,0.703821667,0.4
11,0.663032531,0.46196824,1231.0,2140.0,18.0,0.690913293,0.9
12,0.668494751,0.458929615,1596.0,869.0,18.0,0.719500134,0.4
13,0.669641513,0.454072431,1596.0,869.0,22.0,0.719500134,0.4
14,0.670884334,0.453255745,1330.0,3660.0,13.0,0.673328399,0.3
15,0.676559715,0.450660073,1330.0,3660.0,13.0,0.673328399,0.4
16,0.702508913,0.42572878,826.0,3527.0,20.0,0.733955511,0.4
17,0.762286096,0.267210339,4592.0,79.0,340.0,0.789854581,0.001
18,0.76825411,0.255788344,3855.0,139.0,283.0,0.993441087,0.001
19,0.779802684,0.22796447,4545.0,173.0,324.0,0.988085729,0.001
