index,predicted_transformed_accuracy,predicted_transformed_runtime,recent_samples_size,n_reference_samples,n_recent_samples,threshold,stability_offset
0,0.637838433,0.798291679,4948,136,4814,0.124098418,0.0
1,0.640514087,0.787637695,4975,286,4849,0.094598483,0.0
2,0.641512676,0.783718545,4922,342,4759,0.185389928,0.0
3,0.64269843,0.782105548,4681,330,4849,0.08328073,0.0
4,0.644517355,0.780846098,4973,529,4822,0.104791421,0.0
5,0.645291023,0.779842366,4681,282,4541,0.117440954,0.0
6,0.652995643,0.766563732,4934,4985,4849,0.08328073,0.5
7,0.676888617,0.734906493,4681,4087,4652,0.117440954,0.001
8,0.683833185,0.704676041,4977,4948,4,0.135534346,0.6
9,0.718823158,0.691206683,4874,4961,5,0.177678828,0.4
10,0.729779659,0.659936817,4428,4781,1,0.250539165,0.3
11,0.736880199,0.618528988,4830,4104,9,0.320301159,0.2
12,0.742257378,0.558153241,1336,3341,6,0.302181968,0.3
13,0.743497351,0.543132441,1089,4673,25,0.262565064,0.4
14,0.748230466,0.540808746,1089,4673,25,0.262565064,0.3
15,0.748619652,0.535783348,1207,4912,27,0.300518106,0.3
16,0.750132452,0.526291125,361,4714,9,0.367030017,0.3
17,0.750146811,0.523447123,513,4826,25,0.301496955,0.3
18,0.754767404,0.511499914,302,3769,17,0.224843598,0.3
19,0.756243439,0.495801093,567,3604,25,0.274451874,0.3
