index,predicted_transformed_accuracy,predicted_transformed_runtime,recent_samples_size,n_samples,n_windows,disjoint_training_windows
0,0.2333926178580646,0.9496462381705816,715,4992,386,True
1,0.2449509343045923,0.9271394096994456,715,4493,321,True
2,0.3089352724860854,0.9043856859441196,17,3821,4,False
3,0.398389577863155,0.8678894721877136,45,2547,23,False
4,0.4135522706742219,0.8592199944513502,133,3194,32,False
5,0.4284376863929709,0.8545375837480713,185,3128,39,False
6,0.4291317254061156,0.8516527248888383,224,3337,33,False
7,0.4854723050840938,0.8122500709239158,401,3056,39,False
8,0.4901023817344955,0.8078603088190274,407,2994,8,False
9,0.4960761237956359,0.803505810106276,481,3053,48,False
10,0.5143152775835703,0.792534905886573,2289,3227,83,False
11,0.5273701108721431,0.784276979452879,2533,3087,155,False
12,0.569971895437964,0.7669660894019977,3,343,8,False
13,0.682861165033888,0.7294633858618969,61,189,2,False
14,0.7573524238242193,0.6859892570121455,120,159,33,False
15,0.7925920722769394,0.682806497275926,64,71,7,False
16,0.7963105983071518,0.5654557648360423,373,172,9,False
17,0.797414045588434,0.5648026260668803,335,155,22,False
18,0.8022129700186675,0.4835909223950968,401,75,11,False
19,0.805132206838278,0.4710408058215953,375,60,5,False
