index,predicted_transformed_accuracy,predicted_transformed_runtime,recent_samples_size,n_samples,n_windows,disjoint_training_windows
0,0.7745915250061595,0.995752522002478,4896,758,4242,True
1,0.7867857084198552,0.995280042305407,475,924,4209,True
2,0.7996178861788621,0.9941328650283584,4988,4020,4220,True
3,0.8363272600020571,0.9528042878649148,1559,3040,27,False
4,0.8732315010739807,0.9384106350347124,1549,1235,1,True
5,0.7672758684405028,0.9955082434555744,4834,771,4538,True
6,0.7673431879773346,0.995455987713082,598,3400,4991,True
7,0.770242752730558,0.9954044255056856,4345,768,4183,True
8,0.7712926829268296,0.9953282036225368,2774,3026,4313,True
9,0.7718563685636859,0.9952655613330996,781,2359,4983,True
10,0.7737708179354523,0.9952636637149126,4816,804,4245,True
11,0.7820421286031044,0.9952409252680466,557,904,4377,True
12,0.7847166247257713,0.9951273788976,719,2311,4263,True
13,0.7862643508253268,0.9951253987270778,669,893,4202,True
14,0.793724828619138,0.9943365431219096,4779,1635,4245,True
15,0.798557280118256,0.9938525200123872,4924,3712,4206,True
16,0.8058287323195858,0.970026827779035,1426,4696,123,True
17,0.8136760700754603,0.9661648853753508,1745,4770,27,True
18,0.9066610196274832,0.8529037716809162,889,243,8,False
19,0.9135176688895132,0.8435767721763103,1142,272,4,False
