index,predicted_transformed_accuracy,predicted_transformed_runtime,recent_samples_size,n_samples,n_windows,disjoint_training_windows
0,0.2765214494929939,0.9804617622070044,2185,2759,4425,True
1,0.2772274115526145,0.9800923575562251,2284,2746,4425,True
2,0.2789173265758627,0.9800144162793604,2860,2739,4439,True
3,0.2790650817114228,0.978244885277358,3915,4990,4347,True
4,0.2794799035652691,0.9780354314218068,3349,2705,4249,True
5,0.2854173031124247,0.9780296544062348,3621,4980,4814,True
6,0.2854500971777391,0.9767682104417792,3863,4977,4687,True
7,0.2861363225753468,0.9752903096922068,4071,860,4162,True
8,0.2866047350010762,0.9751973989921112,767,1217,4951,True
9,0.2916871150529684,0.9736638039541204,3937,885,4213,True
10,0.2932508006898247,0.9685668299518638,3631,899,4285,True
11,0.3296346810859,0.8618522790951711,3440,800,568,True
12,0.3790660407794549,0.8020016309310155,3196,1134,262,True
13,0.4800464077212042,0.7561140840287561,30,488,37,False
14,0.7251322884650455,0.5277416606981251,1500,615,12,False
15,0.7257306067946311,0.519260944539212,4767,1118,11,False
16,0.7279559054472372,0.5112118115707212,3271,617,1,False
17,0.729778269968311,0.4931713020788021,4637,582,249,False
18,0.733084668864479,0.481364097945493,4600,680,41,False
19,0.7345185082973027,0.4723326004140261,4786,656,41,False
