index,predicted_transformed_accuracy,predicted_transformed_runtime,recent_samples_size,n_samples,n_windows,disjoint_training_windows
0,0.300052366,0.958621591,3,4994,1471,True
1,0.315366646,0.958575125,42,1201,3772,True
2,0.317102757,0.95785753,196,1767,3428,True
3,0.323332014,0.95773652,67,1090,3385,True
4,0.324890455,0.957269503,23,1104,3369,True
5,0.32606417,0.956858043,89,1167,3291,True
6,0.327393535,0.95435381,66,1007,3275,True
7,0.328587926,0.954039281,89,943,4380,True
8,0.331053347,0.953026113,82,979,3140,True
9,0.339683018,0.95119127,5,3295,948,True
10,0.350274521,0.94673043,465,3178,960,True
11,0.355343631,0.939418195,912,2274,968,True
12,0.364509522,0.919503843,1261,3953,241,True
13,0.534574647,0.745721424,35,602,2,False
14,0.59079869,0.740644832,39,251,2,False
15,0.642342912,0.683102006,121,329,15,False
16,0.662774003,0.647016658,132,204,42,False
17,0.692934354,0.636046107,129,128,4,False
18,0.697630685,0.63180355,144,131,4,False
19,0.709664835,0.581839337,317,163,24,False
