index,predicted_transformed_accuracy,predicted_transformed_runtime,recent_samples_size,n_samples,n_windows,disjoint_training_windows
0,0.3427333153552666,0.987500828392787,8,2724,3155,True
1,0.3740031078750594,0.984056987951324,204,2280,4826,True
2,0.3827789064008578,0.981377366031418,342,3673,4557,True
3,0.4958500911559855,0.93625572271427,1663,3402,1,True
4,0.554430843101575,0.880796437286153,1549,1368,1,True
5,0.5750840915353109,0.8695697142360029,1595,2439,117,False
6,0.5819197569045131,0.8663096059065091,1804,2371,1,False
7,0.5978101045428281,0.855416002137157,3696,2807,1,False
8,0.6122688946337319,0.8520187020412684,3683,2369,117,False
9,0.6422132553707754,0.8197879663949554,4637,2389,2,False
10,0.644366811220469,0.7968114418135088,4970,2234,7,False
11,0.6456395414515328,0.7674171363066686,4509,1941,23,False
12,0.6635440410054229,0.7483031765814184,250,239,27,False
13,0.6727329968825719,0.7096030757395159,533,352,15,False
14,0.7082842864989939,0.6684977867814967,685,254,33,False
15,0.7116376068931307,0.6614284444177149,597,225,18,False
16,0.7585691637876211,0.6570752913536172,1740,226,4,False
17,0.763245520425398,0.5451137042038267,2819,242,6,False
18,0.7697683623598247,0.5353094679090528,2973,228,16,False
19,0.7829513598088449,0.4913205920445743,3742,207,4,False
