index,predicted_transformed_accuracy,predicted_transformed_runtime,recent_samples_size,feature_id,p,big_windowSize,small_windowSize
0,0.5023755512698219,0.8870599940305016,657,3,3,588,145
1,0.503225137558238,0.8857179074118492,670,3,10,580,143
2,0.5387980641615862,0.8825726713414781,1727,3,6,1424,311
3,0.5406253058769859,0.8823880228397267,1833,3,6,1464,318
4,0.5494732331715814,0.8720979267643338,1260,3,24,493,104
5,0.5563812592454344,0.8714948570566304,877,3,38,473,107
6,0.558694074627072,0.8690017854052705,1086,3,32,553,103
7,0.5590618148009899,0.8656041974779894,892,3,34,461,98
8,0.5001525980534475,0.8863220715141596,602,3,5,587,142
9,0.5198293897667734,0.8843635604389789,915,3,9,576,130
10,0.5219454467532111,0.8834750736243281,987,3,3,568,128
11,0.548604101705119,0.8711415959785709,977,3,41,433,105
12,0.5516851402541025,0.8675151810994176,863,3,32,490,102
13,0.5546573624763248,0.8610765117692394,894,3,32,524,96
14,0.4350744940068845,0.8861754832788488,1724,4,11,587,141
15,0.4996094693984767,0.8855145125129944,656,3,7,593,147
16,0.5041694109189446,0.8851287677547509,634,3,1,586,145
17,0.507069264720114,0.8844532899410085,584,3,1,581,137
18,0.5092922179364885,0.8836960049108196,714,3,1,596,147
19,0.5414213585085649,0.8780971434825888,1698,3,1,1445,317
