detector,dataset,detector_count,dataset_file_count,detector_file_count,completed_pair_count,zero_completion_pair_count,recommendation_attempted_count,recommendation_completed_count,completion_rate,benchmark_pareto_completed_count,paper_default_total_count,paper_default_completed_count,gd_plus,igd_plus,recommendation_benchmark_dominance_rate,benchmark_pareto_dominated_rate,exact_r2_recommendations,exact_r2_benchmark,r2_gap,recommendation_default_dominance_rate,default_dominated_rate,spearman_accuracy,spearman_runtime,valid_pair_count__gd_plus,valid_detector_count__gd_plus,valid_pair_count_total__gd_plus,valid_pair_count__igd_plus,valid_detector_count__igd_plus,valid_pair_count_total__igd_plus,valid_pair_count__recommendation_benchmark_dominance_rate,valid_detector_count__recommendation_benchmark_dominance_rate,valid_pair_count_total__recommendation_benchmark_dominance_rate,valid_pair_count__benchmark_pareto_dominated_rate,valid_detector_count__benchmark_pareto_dominated_rate,valid_pair_count_total__benchmark_pareto_dominated_rate,valid_pair_count__exact_r2_recommendations,valid_detector_count__exact_r2_recommendations,valid_pair_count_total__exact_r2_recommendations,valid_pair_count__exact_r2_benchmark,valid_detector_count__exact_r2_benchmark,valid_pair_count_total__exact_r2_benchmark,valid_pair_count__r2_gap,valid_detector_count__r2_gap,valid_pair_count_total__r2_gap,valid_pair_count__recommendation_default_dominance_rate,valid_detector_count__recommendation_default_dominance_rate,valid_pair_count_total__recommendation_default_dominance_rate,valid_pair_count__default_dominated_rate,valid_detector_count__default_dominated_rate,valid_pair_count_total__default_dominated_rate,valid_pair_count__spearman_accuracy,valid_detector_count__spearman_accuracy,valid_pair_count_total__spearman_accuracy,valid_pair_count__spearman_runtime,valid_detector_count__spearman_runtime,valid_pair_count_total__spearman_runtime
BNDM,Electricity,,,,,,20,20,1.0,5,7,7,0.19857085373013333,0.1750000000000001,0.0,0.0,0.257872547524575,0.1492552443937757,0.10861730313079931,0.55,1.0,0.7554611324988875,0.9464873289911088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BNDM,ForestCovertype,,,,,,20,20,1.0,20,6,6,0.061923186301562495,0.05502114172232162,0.3,0.3,0.17587852082665376,0.15819034942188673,0.017688171404767028,0.1,1.0,0.869720714559177,0.7183152068719215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BNDM,GasSensor,,,,,,20,20,1.0,11,6,6,0.16154731415867923,0.14858559729433732,0.0,0.0,0.19382612943336167,0.12449113292873833,0.06933499650462334,0.35,1.0,0.9698385001704236,0.990946731234621,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BNDM,NOAAWeather,,,,,,20,20,1.0,2,6,6,0.125,0.0,0.0,0.0,0.2206215974583725,0.3426600706268305,-0.122038473168458,0.75,0.3333333333333333,0.7877173445839876,0.7877173445839876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BNDM,OutdoorObjects,,,,,,20,20,1.0,3,7,7,0.058552885327610917,0.08333333333333355,0.25,0.6666666666666666,0.12500000000000033,0.10505940085693558,0.019940599143064758,0.95,1.0,0.5741275106958216,0.6920903663201896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BNDM,Ozone,,,,,,20,20,1.0,3,7,7,0.0,0.5,0.0,0.0,0.5,0.17651215525875558,0.3234878447412444,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BNDM,PokerHand,,,,,,20,20,1.0,24,6,6,0.0,0.0011459555437612345,1.0,0.9166666666666666,0.08301819010604976,0.09778796362017893,-0.01476977351412917,0.15,1.0,0.9552464007616128,0.9559985632818976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BNDM,RialtoBridgeTimelapse,,,,,,20,20,1.0,20,7,7,0.016355825880086865,0.02973559649204092,0.6,0.6,0.13040676696563352,0.1477285066441485,-0.01732173967851497,0.3,1.0,0.9766415311988762,0.975070337856753,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BNDM,SensorStream,,,,,,20,20,1.0,20,6,6,0.03429815755045175,0.0325492784763568,0.55,0.4,0.17508959356847678,0.15164108848404476,0.023448505084432025,0.05,1.0,0.9721200426285111,0.900751879699248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BNDM,ALL,,9.0,,9.0,0.0,180,180,1.0,108,58,58,0.07291646921650274,0.11393010031801684,0.30000000000000004,0.3203703703703703,0.20685703843145817,0.16148065691503272,0.04537638151642541,0.3555555555555555,0.8148148148148148,0.8576091471371623,0.8709222198549659,9.0,,,9.0,,,9.0,,,9.0,,,9.0,,,9.0,,,9.0,,,9.0,,,9.0,,,8.0,,,8.0,,
CDBD,Electricity,,,,,,20,20,1.0,4,9,9,0.09166666666666674,0.013888888888888895,0.0,0.0,0.09498108890217635,0.09351910059808279,0.0014619883040935672,0.95,1.0,0.9464012824320657,0.8885292341901395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CDBD,ForestCovertype,,,,,,20,20,1.0,7,9,9,0.18505894857736707,0.018110900374589938,0.35,0.7142857142857143,0.08472273176503708,0.16218430455393873,-0.07746157278890164,0.35,1.0,0.8986374972514306,0.8544566230434583,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CDBD,GasSensor,,,,,,20,20,1.0,1,9,9,0.4033389567194199,0.0,0.0,0.0,0.0,0.0,0.0,0.9,1.0,0.3223291856101521,0.6210590034081187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CDBD,NOAAWeather,,,,,,20,20,1.0,2,9,9,0.4584119152701157,0.0,0.0,0.0,0.1041279654057212,0.1041279654057212,0.0,1.0,1.0,0.34684398780964804,0.7732462185651845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CDBD,OutdoorObjects,,,,,,20,20,1.0,2,9,9,1.0,1.0,0.0,0.0,0.75,0.25,0.5,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CDBD,Ozone,,,,,,20,20,1.0,1,9,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CDBD,PokerHand,,,,,,20,20,1.0,6,9,9,0.21186152304754557,0.0937500000000001,0.15,0.5,0.1390909982474418,0.12428773222692727,0.014803266020514544,0.6,1.0,0.7009459905318275,0.9529899132007584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CDBD,RialtoBridgeTimelapse,,,,,,20,20,1.0,9,9,9,0.48959266925953865,0.44386697735246106,0.0,0.0,0.3681414395247585,0.11590255167383008,0.2522388878509284,0.0,0.0,-0.0715390565238845,0.7173191865318286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CDBD,SensorStream,,,,,,20,20,1.0,4,9,9,0.0957563148801466,0.0,0.35,1.0,0.09852670213640183,0.1497712661412802,-0.05124456400487837,1.0,1.0,0.8786404437227849,0.8377259036144578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CDBD,ALL,,9.0,,9.0,0.0,180,180,1.0,36,81,81,0.32618744382453335,0.17440186295732665,0.09444444444444444,0.24603174603174605,0.1821767695535041,0.11108810228886448,0.07108866726463961,0.6444444444444444,0.7777777777777778,0.574608475833432,0.8064751546505639,9.0,,,9.0,,,9.0,,,9.0,,,9.0,,,9.0,,,9.0,,,9.0,,,9.0,,,7.0,,,7.0,,
CDLEEDS,Electricity,,,,,,20,20,1.0,4,5,2,0.2909156981906897,0.4119904351248549,0.0,0.0,0.37151811516463557,0.17004773388742622,0.20147038127720934,0.45,1.0,0.9062715296043525,0.8570356075517805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CDLEEDS,ForestCovertype,,,,,,20,3,0.15,3,5,0,0.04279084598412201,0.617651495929712,0.0,0.0,0.5000229681650662,0.2480356126445764,0.2519873555204898,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CDLEEDS,GasSensor,,,,,,20,20,1.0,5,5,2,0.23572597352721608,0.08957123473987663,0.2,0.6,0.19039149136518163,0.14838184670019156,0.042009644664990076,0.25,1.0,0.8500468946849997,0.6521091732625641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CDLEEDS,NOAAWeather,,,,,,20,20,1.0,2,5,5,0.9654586599495423,0.8804723247226601,0.0,0.0,0.5732451650640589,0.12625211601566744,0.44699304904839143,1.0,0.6,0.3784378163042982,0.7488721804511278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CDLEEDS,OutdoorObjects,,,,,,20,20,1.0,5,5,5,0.0,0.04000000000000008,0.8,0.6,0.23307567766734805,0.23965936011589212,-0.00658368244854407,1.0,1.0,0.6666105268494471,0.6117257518550562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CDLEEDS,Ozone,,,,,,20,20,1.0,3,5,5,0.3667423900394471,0.4156408316894174,0.05,0.3333333333333333,0.3333333333333333,0.15650929567849967,0.17682403765483365,0.85,0.6,-0.1392500690033995,0.6912537128692536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CDLEEDS,PokerHand,,,,,,20,9,0.45,0,1,0,0.0,0.0,1.0,1.0,0.0,0.75,-0.75,1.0,1.0,,0.21666666666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CDLEEDS,RialtoBridgeTimelapse,,,,,,20,20,1.0,3,5,4,0.46312775411957247,0.19543771534313104,0.05,0.3333333333333333,0.25616346094483644,0.1976575978798923,0.05850586306494415,0.95,1.0,0.7894909597915297,0.657390042728858,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CDLEEDS,SensorStream,,,,,,20,20,1.0,1,5,0,0.218782793028122,0.0,0.25,1.0,0.0,0.1353515042472695,-0.1353515042472695,1.0,1.0,,0.8491652866889684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
