detector,dataset,recommendation_attempted_count,recommendation_completed_count,completion_rate,benchmark_pareto_completed_count,paper_default_total_count,paper_default_completed_count,gd_plus,igd_plus,recommendation_benchmark_dominance_rate,benchmark_pareto_dominated_rate,exact_r2_recommendations,exact_r2_benchmark,r2_gap,recommendation_default_dominance_rate,default_dominated_rate,spearman_accuracy,spearman_runtime
BNDM,ForestCovertype,20,20,1.0,20,6,6,0.061923186301562495,0.05502114172232162,0.3,0.3,0.17587852082665376,0.15819034942188673,0.017688171404767028,0.1,1.0,0.869720714559177,0.7183152068719215
CDBD,ForestCovertype,20,20,1.0,7,9,9,0.18505894857736707,0.018110900374589938,0.35,0.7142857142857143,0.08472273176503708,0.16218430455393873,-0.07746157278890164,0.35,1.0,0.8986374972514306,0.8544566230434583
CDLEEDS,ForestCovertype,20,3,0.15,3,5,0,0.04279084598412201,0.617651495929712,0.0,0.0,0.5000229681650662,0.2480356126445764,0.2519873555204898,1.0,1.0,,1.0
CSDDM,ForestCovertype,20,20,1.0,23,2,0,0.0,0.011272141706924265,1.0,0.8695652173913043,0.12512411989727293,0.12492669667901102,0.00019742321826191067,1.0,1.0,0.9649734625964552,0.9649734625964552
D3,ForestCovertype,20,20,1.0,21,8,8,0.0017380066159962849,0.012050577484271355,0.9,0.6190476190476191,0.13099141926315572,0.12894939295920008,0.0020420263039556408,0.25,1.0,0.9890860651696296,0.9921023642555648
DAWIDD,ForestCovertype,20,20,1.0,13,2,2,0.031922447477342214,0.2148531492471037,0.0,0.0,0.36192289354758655,0.1747307975935176,0.18719209595406897,0.0,0.0,0.5209880722517277,0.5209880722517277
DDAL,ForestCovertype,20,20,1.0,7,8,8,0.035497641214431996,0.14627035646415237,0.1,0.14285714285714285,0.2316797661326897,0.17846683448221035,0.053212931650479356,0.1,0.875,0.8429343096516326,0.7570005729206586
EDFS,ForestCovertype,20,20,1.0,7,2,0,0.14703255641679053,0.175862662850318,0.0,0.0,0.3154629294274579,0.16885681762639898,0.14660611180105892,1.0,1.0,0.8426505562964097,0.9067669172932331
HDDDM,ForestCovertype,20,20,1.0,13,3,3,0.017044138795013524,0.004551522118824916,0.6,0.8461538461538461,0.1553649599623888,0.1696238377181551,-0.014258877755766286,0.2,0.3333333333333333,0.9475901674806851,0.8585404988732058
IBDD,ForestCovertype,20,20,1.0,17,5,5,0.001884923345939027,0.005132928116624365,0.9,0.8235294117647058,0.15500880748644855,0.16212550019891225,-0.007116692712463707,0.15,1.0,0.9729323308270676,0.9744360902255638
IKS,ForestCovertype,20,20,1.0,7,7,0,0.5570894667889601,0.6614639142432319,0.0,0.0,0.28372810259571796,0.0685615273908489,0.21516657520486904,1.0,1.0,0.3838859479749573,0.2781954887218045
NNDVI,ForestCovertype,20,15,0.75,0,10,0,0.0,0.0,1.0,1.0,0.16044626258229575,0.75,-0.5895537374177042,1.0,1.0,0.7412493166611012,0.7571428571428571
OCDD,ForestCovertype,20,20,1.0,21,5,5,0.011184776483023313,0.033375340280575996,0.6,0.42857142857142855,0.1309696488016385,0.12367070226293736,0.00729894653870114,0.6,1.0,0.987544966195893,0.986085064093287
PCACD,ForestCovertype,20,20,1.0,8,2,1,0.02908097352199863,0.03957894769565709,0.4,0.625,0.14564878316942284,0.16751675515848174,-0.021867971989058904,0.75,1.0,0.9609770159542237,0.6857142857142857
SlidShaps,ForestCovertype,20,20,1.0,0,4,0,0.0,0.0,1.0,1.0,0.0,0.75,-0.75,1.0,1.0,,0.6390977443609022
SPLL,ForestCovertype,20,20,1.0,8,4,3,0.1140930963230465,0.10148140759919126,0.5,0.375,0.16050087675401184,0.15911028781224362,0.0013905889417682171,0.2,1.0,0.9735127848586215,0.7684210526315788
STUDD,ForestCovertype,20,20,1.0,15,1,1,0.03180277345064302,0.007843137254901962,0.7,0.9333333333333333,0.1575797917297609,0.18639160329680843,-0.02881181156704754,0.1,1.0,0.7689614604136193,0.9473684210526315
UCDD,ForestCovertype,20,0,0.0,0,2,0,,,,,,,,,,,
UDetect,ForestCovertype,20,20,1.0,20,8,8,0.008111071387855478,0.011574806627720018,0.65,0.55,0.15553522126986688,0.16326424390422334,-0.007729022634356458,0.4,1.0,0.9224983800337866,0.9224983800337866
WindowKDE,ForestCovertype,20,20,1.0,3,1,1,0.2587709882918398,0.35200920460603696,0.0,0.0,0.425480254810106,0.1292990809162186,0.2961811738938874,0.0,0.0,-0.05967860100145693,0.009022556390977442
