detector,dataset,recommendation_attempted_count,recommendation_completed_count,completion_rate,benchmark_pareto_completed_count,paper_default_total_count,paper_default_completed_count,gd_plus,igd_plus,recommendation_benchmark_dominance_rate,benchmark_pareto_dominated_rate,exact_r2_recommendations,exact_r2_benchmark,r2_gap,recommendation_default_dominance_rate,default_dominated_rate,spearman_accuracy,spearman_runtime
BNDM,GasSensor,20,20,1.0,11,6,6,0.16154731415867923,0.14858559729433732,0.0,0.0,0.19382612943336167,0.12449113292873833,0.06933499650462334,0.35,1.0,0.9698385001704236,0.990946731234621
CDBD,GasSensor,20,20,1.0,1,9,9,0.4033389567194199,0.0,0.0,0.0,0.0,0.0,0.0,0.9,1.0,0.3223291856101521,0.6210590034081187
CDLEEDS,GasSensor,20,20,1.0,5,5,2,0.23572597352721608,0.08957123473987663,0.2,0.6,0.19039149136518163,0.14838184670019156,0.042009644664990076,0.25,1.0,0.8500468946849997,0.6521091732625641
CSDDM,GasSensor,20,20,1.0,13,2,2,0.02180942041752445,0.03499152410709989,0.55,0.6153846153846154,0.18559093922620584,0.18569984827746214,-0.00010890905125629513,0.3,1.0,0.9693548851687649,0.993214618854786
D3,GasSensor,20,20,1.0,13,8,8,0.10575764771909299,0.08255644088315538,0.05,0.15384615384615385,0.17062155311026136,0.11618940119761752,0.05443215191264385,0.2,0.5,0.9577137615895573,0.8183894312360954
DAWIDD,GasSensor,20,20,1.0,8,2,2,0.0889673229528648,0.13108800075387098,0.0,0.0,0.20245938668259603,0.17863874488559245,0.023820641797003578,0.0,0.0,0.5181017117406378,0.5181017117406378
DDAL,GasSensor,20,20,1.0,4,8,8,0.0,0.5416666666666672,0.0,0.0,0.5,0.19038996927854093,0.3096100307214591,0.0,0.0,,
EDFS,GasSensor,20,20,1.0,14,2,2,0.13098532578600772,0.11572565892121593,0.25,0.35714285714285715,0.22988198102222088,0.1645327163561291,0.06534926466609178,0.05,1.0,0.9155929935246065,0.9363481764304401
HDDDM,GasSensor,20,20,1.0,11,3,3,0.010946039331846956,0.25227101195777696,0.0,0.0,0.28820804281317164,0.16850858407777392,0.11969945873539772,0.0,0.0,0.37796447300922725,0.37796447300922725
IBDD,GasSensor,20,20,1.0,14,5,5,0.12270037159286744,0.10200046074266268,0.0,0.0,0.18745249703141553,0.12410077201649274,0.0633517250149228,0.1,0.2,0.8357218040891619,0.8016627726914156
IKS,GasSensor,20,20,1.0,4,7,1,0.4344189440140803,0.2890537125766337,0.0,0.0,0.2025073233093693,0.09289329567094909,0.10961402763842021,0.1,1.0,0.832421438820042,0.9122426722906379
NNDVI,GasSensor,20,20,1.0,5,10,6,0.06641118773358992,0.0,0.35,1.0,0.16774407924971618,0.20190160973386523,-0.034157530484149046,0.85,1.0,0.3036778545008492,0.9157894736842105
OCDD,GasSensor,20,20,1.0,13,5,5,0.1831261612220461,0.17242030205911021,0.05,0.07692307692307693,0.19576519345353682,0.11683116774675814,0.07893402570677868,0.5,0.8,0.9894464325222365,0.979655856912453
PCACD,GasSensor,20,20,1.0,9,2,2,0.03190880589212382,0.03621935561346944,0.35,0.5555555555555556,0.14798236123782538,0.14336816711130757,0.004614194126517812,0.7,1.0,0.5221087228245055,0.7602200662345631
SlidShaps,GasSensor,20,20,1.0,1,2,2,0.34030939603445204,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,,-0.10187027077269775
SPLL,GasSensor,20,20,1.0,16,4,4,0.04212542272077855,0.05733383821039234,0.3,0.125,0.15819411675350814,0.1377672018295499,0.020426914923958234,0.35,0.5,0.5044093547567545,0.7240014762773773
STUDD,GasSensor,20,20,1.0,10,1,1,0.12336292014012742,0.04911738267963027,0.1,0.2,0.15087636666577278,0.1430672342248775,0.007809132440895289,0.15,1.0,0.8775002275078062,0.9355479229700925
UCDD,GasSensor,20,20,1.0,5,2,2,0.14455907925283792,0.11531154771147209,0.05,0.2,0.23993504991757902,0.20582080802461317,0.03411424189296586,0.65,1.0,0.874839276323655,0.9037593984962405
UDetect,GasSensor,20,20,1.0,12,8,8,0.15523640242039788,0.08453192606831943,0.15,0.25,0.19483159708319925,0.18935781802456036,0.0054737790586388835,0.8,0.875,0.6990864070422756,0.6990864070422756
WindowKDE,GasSensor,20,20,1.0,4,1,1,0.27556922091167063,0.5416666666666667,0.3,0.25,0.5,0.1627735311498832,0.3372264688501168,0.55,1.0,,0.8570356075517805
