detector,dataset,recommendation_attempted_count,recommendation_completed_count,completion_rate,benchmark_pareto_completed_count,paper_default_total_count,paper_default_completed_count,gd_plus,igd_plus,recommendation_benchmark_dominance_rate,benchmark_pareto_dominated_rate,exact_r2_recommendations,exact_r2_benchmark,r2_gap,recommendation_default_dominance_rate,default_dominated_rate,spearman_accuracy,spearman_runtime
BNDM,PokerHand,20,20,1.0,24,6,6,0.0,0.0011459555437612345,1.0,0.9166666666666666,0.08301819010604976,0.09778796362017893,-0.01476977351412917,0.15,1.0,0.9552464007616128,0.9559985632818976
CDBD,PokerHand,20,20,1.0,6,9,9,0.21186152304754557,0.0937500000000001,0.15,0.5,0.1390909982474418,0.12428773222692727,0.014803266020514544,0.6,1.0,0.7009459905318275,0.9529899132007584
CDLEEDS,PokerHand,20,9,0.45,0,1,0,0.0,0.0,1.0,1.0,0.0,0.75,-0.75,1.0,1.0,,0.21666666666666667
CSDDM,PokerHand,20,20,1.0,16,2,2,0.028571428571428536,0.0,0.85,1.0,0.08251335356486601,0.16783713179169496,-0.08532377822682895,0.15,1.0,0.8411154117024067,0.8411154117024067
D3,PokerHand,20,20,1.0,19,8,8,0.04070869607652068,0.019824946184041375,0.2,0.42105263157894735,0.08389740308692013,0.08407616304484425,-0.0001787599579241156,0.05,0.625,0.8369129718537562,0.8284989261435387
DAWIDD,PokerHand,20,20,1.0,17,2,2,0.018969264930077216,0.22889693228182262,0.85,0.058823529411764705,0.23103404311524242,0.16607358349573378,0.06496045961950864,0.0,0.0,0.6216640293707959,0.6216640293707959
DDAL,PokerHand,20,20,1.0,11,8,8,0.11604280959357852,0.2373369457778428,0.0,0.0,0.24879684255028747,0.1560369148215921,0.09275992772869537,0.7,1.0,0.5181017117406378,0.8018710295568235
EDFS,PokerHand,20,20,1.0,7,2,2,0.07443466971416361,0.007378774111543291,0.4,0.8571428571428571,0.09502374352759323,0.11933783699688938,-0.024314093469296152,0.2,1.0,0.9001793869963011,0.9744360902255638
HDDDM,PokerHand,20,20,1.0,15,3,3,0.006849191604973814,0.013498256624202853,0.7,0.4666666666666667,0.08555263225721293,0.08404945117331321,0.0015031810838997267,0.0,0.0,0.9656331039008043,0.8474407259491193
IBDD,PokerHand,20,20,1.0,15,5,3,0.06150059967464126,0.008427966906128074,0.35,0.7333333333333333,0.08090444924364121,0.09030219734231776,-0.00939774809867655,0.25,1.0,0.7410504498626921,0.5671217357139647
IKS,PokerHand,20,20,1.0,3,7,0,0.45790925251883985,0.5347888644041024,0.0,0.0,0.5049315081811105,0.18742441293042142,0.3175070952506891,1.0,1.0,,-0.12932330827067667
NNDVI,PokerHand,20,15,0.75,0,10,0,0.0,0.0,1.0,1.0,0.04125066278715945,0.75,-0.7087493372128405,1.0,1.0,0.39610696332209533,0.8285714285714284
OCDD,PokerHand,20,20,1.0,17,5,5,0.030206065974863815,0.0,0.75,1.0,0.05488974149004398,0.09905943259227798,-0.044169691102233996,0.5,1.0,0.9707925358368684,0.8932330827067668
PCACD,PokerHand,20,20,1.0,11,2,1,0.0001187902713934652,0.0,0.95,1.0,0.0431159945573122,0.20312848621871998,-0.1600124916614078,0.65,1.0,0.9817938174972232,0.643098954843448
SlidShaps,PokerHand,20,20,1.0,1,4,2,0.07263716503007392,0.0,0.8,1.0,0.0,0.2736044321107913,-0.2736044321107913,1.0,1.0,,0.8367195747125372
SPLL,PokerHand,20,20,1.0,4,4,4,0.15277777777777757,0.0,0.45,1.0,0.0971220116398487,0.3144571896923747,-0.217335178052526,0.25,1.0,0.9663461344375588,0.9822374960845353
STUDD,PokerHand,20,20,1.0,24,1,1,0.0016932210261443482,0.004651954131054425,0.8,0.75,0.11034468517442521,0.12174551256805767,-0.011400827393632462,0.1,1.0,0.9639097744360902,0.963520188484745
UCDD,PokerHand,20,1,0.05,0,2,0,0.0,0.0,1.0,1.0,0.0,0.75,-0.75,1.0,1.0,,
UDetect,PokerHand,20,20,1.0,25,8,8,0.0002360177084731574,0.03684372038815582,0.95,0.52,0.1212228101938973,0.1021155171750377,0.019107293018859606,0.75,1.0,0.8518003931523136,0.8749487105890154
WindowKDE,PokerHand,20,20,1.0,4,1,1,0.03694731964221219,0.41125082704731,0.9,0.25,0.30714285714285716,0.24085618503052716,0.06628667211233,0.0,0.0,-0.37796447300922725,-0.5714285714285714
