detector,dataset,recommendation_attempted_count,recommendation_completed_count,completion_rate,benchmark_pareto_completed_count,paper_default_total_count,paper_default_completed_count,gd_plus,igd_plus,recommendation_benchmark_dominance_rate,benchmark_pareto_dominated_rate,exact_r2_recommendations,exact_r2_benchmark,r2_gap,recommendation_default_dominance_rate,default_dominated_rate,spearman_accuracy,spearman_runtime
BNDM,RialtoBridgeTimelapse,20,20,1.0,20,7,7,0.016355825880086865,0.02973559649204092,0.6,0.6,0.13040676696563352,0.1477285066441485,-0.01732173967851497,0.3,1.0,0.9766415311988762,0.975070337856753
CDBD,RialtoBridgeTimelapse,20,20,1.0,9,9,9,0.48959266925953865,0.44386697735246106,0.0,0.0,0.3681414395247585,0.11590255167383008,0.2522388878509284,0.0,0.0,-0.0715390565238845,0.7173191865318286
CDLEEDS,RialtoBridgeTimelapse,20,20,1.0,3,5,4,0.46312775411957247,0.19543771534313104,0.05,0.3333333333333333,0.25616346094483644,0.1976575978798923,0.05850586306494415,0.95,1.0,0.7894909597915297,0.657390042728858
CSDDM,RialtoBridgeTimelapse,20,20,1.0,19,2,2,0.00138888888888889,0.0014619883040935685,0.95,0.9473684210526315,0.12636969759712197,0.14958955814354188,-0.023219860546419918,0.15,1.0,0.9045695282452441,0.90484312806332
D3,RialtoBridgeTimelapse,20,20,1.0,14,8,8,0.044411183857472766,0.014115791663059651,0.65,0.8571428571428571,0.15070468082373883,0.15985679587395982,-0.009152115050220982,0.55,1.0,0.8620971540829587,0.8446785102797569
DAWIDD,RialtoBridgeTimelapse,20,20,1.0,23,2,1,0.1370678764143493,0.2836245163751137,0.0,0.0,0.19555332316583673,0.11338130056894627,0.08217202259689046,0.0,0.0,0.6886500387556949,0.20961719364230863
DDAL,RialtoBridgeTimelapse,20,20,1.0,12,8,8,0.0,0.0511107252879807,0.95,0.5,0.23488142417469363,0.23442818463930448,0.00045323953538914385,0.1,1.0,0.5209880722517277,0.5209880722517277
EDFS,RialtoBridgeTimelapse,20,20,1.0,14,2,2,0.06463589150551267,0.0021645021645021628,0.7,0.9285714285714286,0.09706119111414575,0.1258928948205717,-0.028831703706425946,0.25,1.0,0.8767773304574786,0.9966119367799453
HDDDM,RialtoBridgeTimelapse,20,20,1.0,12,3,3,0.004387146842346817,0.020376902564583996,0.25,0.5,0.12678949169186757,0.13929202550697567,-0.012502533815108102,0.0,0.0,0.8522416262267903,0.8522416262267903
IBDD,RialtoBridgeTimelapse,20,20,1.0,16,5,5,0.12992545734255911,0.059811647049539965,0.0,0.0,0.1472599891014647,0.12775176420397213,0.01950822489749257,0.7,1.0,0.8652396229241329,0.8605899912261703
IKS,RialtoBridgeTimelapse,20,20,1.0,7,7,1,0.3129245017044573,0.18721723621239003,0.05,0.14285714285714285,0.20502952597964563,0.1026426489866946,0.10238687699295103,0.1,1.0,0.7616544803187341,0.8075187969924811
NNDVI,RialtoBridgeTimelapse,20,20,1.0,3,10,6,0.04135440890189039,0.031250000000000035,0.65,0.6666666666666666,0.1836267631715152,0.3041854887922834,-0.12055872562076822,0.5,0.6666666666666666,0.41128748180172525,0.7468973826427413
OCDD,RialtoBridgeTimelapse,20,20,1.0,18,5,5,0.0,0.01049412781534208,0.85,0.8333333333333334,0.12521488384745455,0.1580142632204712,-0.03279937937301666,0.25,1.0,0.9966119367799453,0.9386632999531767
PCACD,RialtoBridgeTimelapse,20,20,1.0,8,6,6,0.023953341363978482,0.0,0.8,1.0,0.08053548551208892,0.21886522061060362,-0.1383297350985147,1.0,1.0,0.922242647662051,0.8354063778450186
SlidShaps,RialtoBridgeTimelapse,20,20,1.0,1,2,2,0.0,0.0,1.0,1.0,0.0,0.5,-0.5,1.0,1.0,,0.9160708213730495
SPLL,RialtoBridgeTimelapse,20,20,1.0,5,4,4,0.09676147877971417,0.03807011252585179,0.45,0.6,0.11295110407892496,0.13122555606364877,-0.018274451984723813,0.45,0.5,0.9584139178055934,0.7179519845740617
STUDD,RialtoBridgeTimelapse,20,20,1.0,21,1,1,0.0033333333333333366,0.0,0.95,1.0,0.17094246316052428,0.18514954379499543,-0.014207080634471153,0.05,1.0,0.987191671196395,0.987191671196395
UCDD,RialtoBridgeTimelapse,20,20,1.0,1,2,0,0.17367490041176575,0.0,0.35,1.0,0.0,0.26020027115959066,-0.26020027115959066,1.0,1.0,,0.9680331636064532
UDetect,RialtoBridgeTimelapse,20,20,1.0,19,8,8,0.005921283475913186,0.012014646251810193,0.85,0.5789473684210527,0.137692315830647,0.14764909398212264,-0.009956778151475637,0.7,1.0,0.8111071056538126,0.8111071056538126
WindowKDE,RialtoBridgeTimelapse,20,20,1.0,2,1,1,0.22654485184936352,0.5087372383215761,0.0,0.0,0.45407614412561215,0.20129833360582594,0.2527778105197862,0.0,0.0,0.7947194142390261,0.9097744360902256
