detector,dataset,recommendation_attempted_count,recommendation_completed_count,completion_rate,benchmark_pareto_completed_count,paper_default_total_count,paper_default_completed_count,gd_plus,igd_plus,recommendation_benchmark_dominance_rate,benchmark_pareto_dominated_rate,exact_r2_recommendations,exact_r2_benchmark,r2_gap,recommendation_default_dominance_rate,default_dominated_rate,spearman_accuracy,spearman_runtime
BNDM,SensorStream,20,20,1.0,20,6,6,0.03429815755045175,0.0325492784763568,0.55,0.4,0.17508959356847678,0.15164108848404476,0.023448505084432025,0.05,1.0,0.9721200426285111,0.900751879699248
CDBD,SensorStream,20,20,1.0,4,9,9,0.0957563148801466,0.0,0.35,1.0,0.09852670213640183,0.1497712661412802,-0.05124456400487837,1.0,1.0,0.8786404437227849,0.8377259036144578
CDLEEDS,SensorStream,20,20,1.0,1,5,0,0.218782793028122,0.0,0.25,1.0,0.0,0.1353515042472695,-0.1353515042472695,1.0,1.0,,0.8491652866889684
CSDDM,SensorStream,20,20,1.0,27,2,2,0.015165456100284986,0.013516110658003096,0.65,0.5185185185185185,0.12449507384882347,0.12332129856025474,0.0011737752885687264,0.05,1.0,0.9939770308390125,0.9744360902255638
D3,SensorStream,20,20,1.0,20,8,8,0.07226304401537757,0.053935471145415505,0.45,0.45,0.20039053910140614,0.15391026867556548,0.04648027042584066,0.85,1.0,0.9506968799918131,0.5062053761516263
DAWIDD,SensorStream,20,20,1.0,16,2,1,0.029746953815166427,0.1420049321404353,0.8,0.0625,0.2301254157382509,0.19342783920294623,0.03669757653530467,0.1,1.0,0.6775760560563593,0.8086079871033942
DDAL,SensorStream,20,20,1.0,4,8,8,0.07794370005909594,0.06388556676416521,0.05,0.25,0.23345490880840625,0.21427191221993586,0.01918299658847039,0.45,1.0,0.8464441149228069,0.837407772888384
EDFS,SensorStream,20,20,1.0,17,2,2,0.05238557619590388,0.04287407828796326,0.1,0.11764705882352941,0.12702223362589216,0.12214826278664327,0.004873970839248884,0.45,1.0,0.9871768400167631,0.9879699248120299
HDDDM,SensorStream,20,20,1.0,6,3,3,0.18796963765053878,0.10606060606060606,0.15,0.3333333333333333,0.24029947944547664,0.18260004243736905,0.05769943700810759,1.0,0.6666666666666666,0.7072451504710067,0.9759398496240601
IBDD,SensorStream,20,20,1.0,20,5,0,0.046592000055205376,0.051557989797235616,0.25,0.25,0.20877680712918775,0.18016849548469446,0.02860831164449329,1.0,1.0,0.9902184894979308,0.9883415516541411
IKS,SensorStream,20,20,1.0,1,7,0,0.11985924821414395,0.0,0.6,1.0,0.0,0.17538236059786227,-0.17538236059786227,1.0,1.0,,-0.12542508999904037
NNDVI,SensorStream,20,5,0.25,0,10,0,0.0,0.0,1.0,1.0,0.11945904680116706,0.75,-0.630540953198833,1.0,1.0,-0.6,0.09999999999999999
OCDD,SensorStream,20,20,1.0,21,5,5,0.04169087665472432,0.04851963075888278,0.15,0.14285714285714285,0.12970835985894377,0.10997418049576921,0.019734179363174564,0.1,0.2,0.9249393174551037,0.8544566230434583
PCACD,SensorStream,20,20,1.0,4,2,1,0.25973673642385925,0.0834914123136172,0.05,0.25,0.20514314114266557,0.19151709693984545,0.013626044202820126,0.15,1.0,0.8125240736836987,0.7378714323993245
SlidShaps,SensorStream,20,20,1.0,0,4,4,0.0,0.0,1.0,1.0,0.0,0.75,-0.75,1.0,1.0,,0.8416698601986179
SPLL,SensorStream,20,20,1.0,23,2,1,0.009827278577169623,0.013820555378205325,0.65,0.6521739130434783,0.11957690803386972,0.11885729438472586,0.0007196136491438576,0.1,1.0,0.9951078981386992,0.9954887218045112
STUDD,SensorStream,20,20,1.0,15,1,1,0.031304433623815534,0.021421735966321694,0.7,0.7333333333333333,0.20722007092656763,0.20751139494602752,-0.0002913240194598876,0.15,1.0,0.7889705732211791,0.8085747093060895
UCDD,SensorStream,20,0,0.0,0,2,0,,,,,,,,,,,
UDetect,SensorStream,20,20,1.0,19,8,8,0.0012680014416593833,0.004545055608404259,0.9,0.8421052631578947,0.16085977880550095,0.16819295831314152,-0.007333179507640564,0.5,1.0,0.9431278494697595,0.9409553128762029
WindowKDE,SensorStream,20,3,0.15,0,1,0,0.0,0.0,1.0,1.0,0.0,0.75,-0.75,1.0,1.0,,-0.5
