detector,dataset_file_count,completed_pair_count,zero_completion_pair_count,recommendation_attempted_count,recommendation_completed_count,completion_rate,benchmark_pareto_completed_count,paper_default_total_count,paper_default_completed_count,gd_plus,valid_pair_count__gd_plus,igd_plus,valid_pair_count__igd_plus,recommendation_benchmark_dominance_rate,valid_pair_count__recommendation_benchmark_dominance_rate,benchmark_pareto_dominated_rate,valid_pair_count__benchmark_pareto_dominated_rate,exact_r2_recommendations,valid_pair_count__exact_r2_recommendations,exact_r2_benchmark,valid_pair_count__exact_r2_benchmark,r2_gap,valid_pair_count__r2_gap,recommendation_default_dominance_rate,valid_pair_count__recommendation_default_dominance_rate,default_dominated_rate,valid_pair_count__default_dominated_rate,spearman_accuracy,valid_pair_count__spearman_accuracy,spearman_runtime,valid_pair_count__spearman_runtime
BNDM,9,9,0,180,180,1.0,108,58,58,0.07291646921650274,9,0.11393010031801684,9,0.30000000000000004,9,0.3203703703703703,9,0.20685703843145817,9,0.16148065691503272,9,0.04537638151642541,9,0.3555555555555555,9,0.8148148148148148,9,0.8576091471371623,8,0.8709222198549659,8
CDBD,9,9,0,180,180,1.0,36,81,81,0.32618744382453335,9,0.17440186295732665,9,0.09444444444444444,9,0.24603174603174605,9,0.1821767695535041,9,0.11108810228886448,9,0.07108866726463961,9,0.6444444444444444,9,0.7777777777777778,9,0.574608475833432,7,0.8064751546505639,7
CDLEEDS,9,9,0,180,152,0.84,26,41,23,0.28706045720430123,9,0.2945293375055169,9,0.2611111111111111,9,0.42962962962962964,9,0.2730833568560511,9,0.241321674129935,9,0.0317616827261161,9,0.8333333333333334,9,0.911111111111111,9,0.575267943038538,6,0.6982464913415861,9
CSDDM,9,9,0,180,180,1.0,109,22,20,0.06392572180029472,9,0.06544661583932207,9,0.4722222222222222,9,0.5778707524830078,9,0.16768287806405305,9,0.16203620053811008,9,0.005646677525942988,9,0.3055555555555555,9,0.8888888888888888,9,0.8903044285326543,8,0.9137722103243767,8
D3,9,9,0,180,180,1.0,99,72,72,0.0846125871462931,9,0.1763964789655181,9,0.25000000000000006,9,0.2778988068461753,9,0.2431339647908327,9,0.15852818107353536,9,0.08460578371729739,9,0.4666666666666667,9,0.6527777777777778,9,0.8245432065174475,7,0.7589414588580057,7
DAWIDD,9,9,0,180,180,1.0,85,18,16,0.15000075240202354,9,0.2339580544141025,9,0.18333333333333332,9,0.013480392156862746,9,0.2649365497977639,9,0.18486097945646218,9,0.08007557034130168,9,0.27222222222222225,9,0.5,9,0.5319731246238377,8,0.5715977505925514,8
DDAL,9,9,0,180,180,1.0,43,72,72,0.24031305380004886,9,0.3007707697363861,9,0.12222222222222223,9,0.0992063492063492,9,0.2998681046295641,9,0.1859548683823982,9,0.11391323624716593,9,0.2611111111111111,9,0.5416666666666666,9,0.7156117998105103,5,0.7533716476206681,5
EDFS,9,9,0,180,180,1.0,71,18,16,0.07816977522628749,9,0.11305344705529656,9,0.30000000000000004,9,0.4270930594460006,9,0.2027540905867523,9,0.16357556689651845,9,0.03917852369023389,9,0.27222222222222225,9,0.7222222222222222,9,0.8046695023039343,8,0.8576138807311209,8
HDDDM,9,9,0,180,180,1.0,67,27,27,0.19348154275305574,9,0.1999894458966673,9,0.21666666666666667,9,0.33105413105413106,9,0.18214026560746466,9,0.12299105992272247,9,0.05914920568474217,9,0.3111111111111111,9,0.2962962962962963,9,0.6890645756008631,8,0.6889333349168807,8
IBDD,9,9,0,180,180,1.0,97,45,38,0.10579057865225756,9,0.054971794490948626,9,0.2222222222222222,9,0.4970588235294118,9,0.13782256765166345,9,0.13816538047179644,9,-0.00034281282013301804,9,0.6333333333333333,9,0.911111111111111,9,0.7544322950105156,9,0.8114708165178975,9
