source,accuracy_estimation,runtime_estimation,ACCURACY,RUNTIME,Status,recent_samples_size,n_samples,const,max_depth,threshold
benchmark_pareto,0.56,4.0,0.56,2.0,Completed,2061.0,3346.0,8.572,4.0,0.909
benchmark_pareto,0.59,5.0,0.59,3.0,Completed,678.0,3104.0,0.263,4.0,0.447
benchmark_pareto,0.6,9.0,0.6,5.0,Completed,927.0,1572.0,1.457,2.0,0.027
benchmark_pareto,0.61,11.0,0.61,6.0,Completed,3007.0,1557.0,4.203,9.0,0.131
benchmark_pareto,0.63,14.0,0.63,8.0,Completed,3702.0,1533.0,10.0,1.0,0.001
benchmark_pareto,0.68,21.0,0.68,10.0,Completed,180.0,146.0,10.0,1.0,0.922
benchmark_pareto,0.74,22.0,0.74,11.0,Completed,2004.0,6.0,2.077,20.0,0.999
benchmark_pareto,0.79,24.0,0.79,14.0,Completed,1.0,1.0,0.001,20.0,0.999
benchmark_pareto,0.81,49.0,0.81,26.0,Completed,23.0,9.0,3.53,18.0,0.699
benchmark_pareto,0.82,91.0,0.82,52.0,Completed,2069.0,5.0,1.146,1.0,0.966
benchmark_pareto,0.86,322.0,0.86,178.0,Completed,2074.0,1.0,0.001,1.0,0.999
benchmark_max_rt,,13389.0,,6400.0,Completed,1921.0,802.0,3.854,19.0,0.039
benchmark_min_acc,0.46,,0.46,,Completed,1.0,508.0,7.868,1.0,0.001
paper_default,-1.0,-1.0,0.66,50.0,Completed,100.0,100.0,1.0,3.0,0.5
paper_default,-1.0,-1.0,0.64,121.0,Completed,100.0,100.0,4.0,3.0,0.5
paper_default,-1.0,-1.0,0.65,149.0,Completed,100.0,100.0,55.0,3.0,0.5
paper_default,-1.0,-1.0,0.69,220.0,Completed,100.0,100.0,99.0,3.0,0.5
paper_default,-1.0,-1.0,0.66,219.0,Completed,100.0,100.0,75.0,3.0,0.5
paper_default,-1.0,-1.0,0.69,220.0,Completed,100.0,100.0,95.0,3.0,0.5
recommendation_system,0.3313332088884409,0.9883589288801642,0.52,2.0,Completed,346.0,4797.0,0.3767947080908343,1.0,0.4179148578643799
recommendation_system,0.3357766137286479,0.9842135437760104,0.53,3.0,Completed,658.0,4545.0,0.2919725754829124,2.0,0.6554608775954693
recommendation_system,0.3367292582525134,0.98375470727437,0.55,3.0,Completed,632.0,3545.0,0.3633618933289534,1.0,0.9885592343043984
recommendation_system,0.3402369498906556,0.9809961531608472,0.59,3.0,Completed,786.0,3150.0,0.4255386188421398,1.0,0.4385756674166768
recommendation_system,0.3422192841342544,0.9779539369447208,0.54,3.0,Completed,3108.0,4053.0,0.3252850272429126,2.0,0.7994328241559822
recommendation_system,0.3726185215247707,0.9552511769697232,0.61,6.0,Completed,3196.0,1492.0,0.3235284212371334,1.0,0.2195303737726062
recommendation_system,0.3727711416490477,0.954203585416421,0.6,5.0,Completed,1219.0,1706.0,0.0594897390417754,2.0,0.5695126797109842
recommendation_system,0.3805523652569429,0.9506728846476996,0.59,8.0,Completed,4938.0,1722.0,1.75987645832949,1.0,0.9885592343043984
recommendation_system,0.4233085446799097,0.9129280650900312,0.59,13.0,Completed,4659.0,862.0,0.3712428447266497,1.0,0.9144337226776184
recommendation_system,0.4689930020722167,0.82972855906325,0.63,18.0,Completed,3237.0,378.0,6.867846929889224,1.0,0.9239029873455517
recommendation_system,0.4775938221101216,0.8187330468772814,0.62,15.0,Completed,3204.0,468.0,7.528648652014323,1.0,0.6219164261519909
recommendation_system,0.4828081031801958,0.806616409538692,0.66,20.0,Completed,3104.0,313.0,6.767987766655163,1.0,0.988003386694938
recommendation_system,0.501686399047227,0.7825443709345923,0.64,26.0,Completed,4976.0,335.0,9.096268934741808,1.0,0.9731767767963078
recommendation_system,0.517842699734051,0.7525101949442375,0.67,48.0,Completed,4938.0,156.0,1.75987645832949,1.0,0.9894589020753116
recommendation_system,0.5220126774737962,0.7460329539846885,0.67,48.0,Completed,4938.0,156.0,1.4194368518166816,1.0,0.9894589020753116
recommendation_system,0.5294941589552777,0.7432825199639727,0.67,49.0,Completed,4975.0,156.0,1.4194368518166816,1.0,0.9894589020753116
recommendation_system,0.5556652617677322,0.7186318332786295,0.72,49.0,Completed,4926.0,148.0,9.50699571028004,1.0,0.93188021645778
recommendation_system,0.6667603034078318,0.6276530899844912,0.74,86.0,Completed,5000.0,74.0,8.747040430748708,1.0,0.937557099268314
recommendation_system,0.7083919229322565,0.4949882211438422,0.8,330.0,Completed,4996.0,16.0,8.849002421946466,1.0,0.9326036946287268
recommendation_system,0.713400090851762,0.4652292205965986,0.79,295.0,Completed,4756.0,18.0,8.44823695683449,1.0,0.985459428612436
