source,accuracy_estimation,runtime_estimation,ACCURACY,RUNTIME,Status,recent_samples_size,n_samples,const,max_depth,threshold
benchmark_pareto,0.74,1.0,0.74,1.0,Completed,1871.0,3730.0,9.711,1.0,0.977
benchmark_pareto,0.75,3.0,0.75,2.0,Completed,4637.0,1126.0,3.181,1.0,0.321
benchmark_max_rt,,14031.0,,6677.0,Completed,3934.0,1595.0,9.105,12.0,0.442
benchmark_min_acc,0.7,,0.7,,Completed,2479.0,1.0,5.768,2.0,0.999
paper_default,-1.0,-1.0,0.74,1.0,Completed,100.0,100.0,1.0,3.0,0.5
paper_default,-1.0,-1.0,0.74,1.0,Completed,100.0,100.0,4.0,3.0,0.5
paper_default,-1.0,-1.0,0.74,1.0,Completed,100.0,100.0,55.0,3.0,0.5
paper_default,-1.0,-1.0,0.74,2.0,Completed,100.0,100.0,99.0,3.0,0.5
paper_default,-1.0,-1.0,0.74,2.0,Completed,100.0,100.0,75.0,3.0,0.5
paper_default,-1.0,-1.0,0.74,1.0,Completed,100.0,100.0,95.0,3.0,0.5
recommendation_system,0.2126449013949015,0.9302896002814152,0.73,0.0,Completed,20.0,4819.0,0.0229881430314853,1.0,0.7025133607331664
recommendation_system,0.2206261423761425,0.9280660282999024,0.73,0.0,Completed,5.0,2935.0,8.874875950959511,1.0,0.9979057059288023
recommendation_system,0.2251814724627226,0.9235129643226738,0.73,0.0,Completed,54.0,2786.0,0.1023577037593349,1.0,0.9605735221691428
recommendation_system,0.2660894585738336,0.9201479661686082,0.73,0.0,Completed,1088.0,3920.0,0.0785833836583024,1.0,0.8044196889804119
recommendation_system,0.280675302128427,0.9181028672139204,0.73,0.0,Completed,883.0,3137.0,0.1253157840958766,1.0,0.7442525708980768
recommendation_system,0.3021073382635882,0.9133391589038772,0.74,1.0,Completed,4519.0,3776.0,0.0341592152168278,2.0,0.6110473546903767
recommendation_system,0.3377566062409815,0.8911527757455906,0.74,1.0,Completed,4882.0,2198.0,0.0517347735186907,1.0,0.1282111015796944
recommendation_system,0.3380445150913903,0.8905967286116235,0.74,1.0,Completed,4908.0,2215.0,0.1031568200815486,1.0,0.1586014576596083
recommendation_system,0.3512663239538242,0.8848054712590337,0.74,1.0,Completed,4854.0,2018.0,0.154418348414172,1.0,0.1434752156065284
recommendation_system,0.3633734217171719,0.8761649819779641,0.74,1.0,Completed,4925.0,1875.0,0.2285957070784643,1.0,0.1151916140392422
recommendation_system,0.3664168470418469,0.8703162260040328,0.74,1.0,Completed,1162.0,1127.0,4.475987493662164,1.0,0.7850010268688202
recommendation_system,0.3874562251984127,0.8619511492561818,0.74,1.0,Completed,4414.0,1680.0,4.867952693713829,1.0,0.923631730169058
recommendation_system,0.3929940776815775,0.8596924800926111,0.74,1.0,Completed,4858.0,1592.0,0.9402395652213208,1.0,0.1283531069552887
recommendation_system,0.3941518871753243,0.8587746233579694,0.74,1.0,Completed,4519.0,1444.0,0.0341592152168278,2.0,0.6625204592625114
recommendation_system,0.3955684824434824,0.8583662419976185,0.74,1.0,Completed,1444.0,942.0,4.534916055954062,1.0,0.7198489428069442
recommendation_system,0.403213318966608,0.8568774898706308,0.74,1.0,Completed,466.0,600.0,6.0722508261490615,1.0,0.5647546354059015
recommendation_system,0.4086603948713324,0.8527755881540106,0.74,1.0,Completed,4441.0,1444.0,5.695379414314974,1.0,0.9865649966207184
recommendation_system,0.4347909617003364,0.8433664433799172,0.74,1.0,Completed,1088.0,678.0,0.0785833836583024,1.0,0.8044196889804119
recommendation_system,0.4486975871367065,0.8386514573466726,0.75,2.0,Completed,1711.0,576.0,2.478571690604091,2.0,0.646975429866463
recommendation_system,0.6134672995194747,0.6807222164228999,0.74,1.0,Completed,2134.0,122.0,0.806673907826251,1.0,0.8479501803745613
