source,accuracy_estimation,runtime_estimation,ACCURACY,RUNTIME,Status,recent_samples_size,n_samples,const,max_depth,threshold
benchmark_pareto,0.55,0.0,0.55,0.0,Completed,306.0,1103.0,3.921,10.0,0.768
benchmark_pareto,0.57,1.0,0.57,1.0,Completed,2874.0,131.0,9.192,1.0,0.999
benchmark_pareto,0.58,2.0,0.58,2.0,Completed,2994.0,117.0,4.602,1.0,0.123
benchmark_max_rt,,7472.0,,3215.0,Completed,433.0,670.0,6.938,20.0,0.027
benchmark_min_acc,0.55,,0.55,,Completed,306.0,1103.0,3.921,10.0,0.768
paper_default,-1.0,-1.0,0.55,0.0,Completed,100.0,100.0,1.0,3.0,0.5
paper_default,-1.0,-1.0,0.55,0.0,Completed,100.0,100.0,4.0,3.0,0.5
paper_default,-1.0,-1.0,0.55,1.0,Completed,100.0,100.0,55.0,3.0,0.5
paper_default,-1.0,-1.0,0.55,2.0,Completed,100.0,100.0,99.0,3.0,0.5
paper_default,-1.0,-1.0,0.55,0.0,Completed,100.0,100.0,5.0,3.0,0.5
paper_default,-1.0,-1.0,0.55,1.0,Completed,100.0,100.0,15.0,3.0,0.5
paper_default,-1.0,-1.0,0.55,1.0,Completed,100.0,100.0,35.0,3.0,0.5
recommendation_system,0.2235254765959707,0.8986746266033182,0.55,0.0,Completed,20.0,4819.0,0.0229881430314853,1.0,0.7025133607331664
recommendation_system,0.2434239154068368,0.8954110644221555,0.55,0.0,Completed,276.0,4426.0,0.2497098167799413,1.0,0.4511374178156256
recommendation_system,0.2691669143329754,0.8929452328792358,0.55,0.0,Completed,2216.0,4622.0,0.3795920914420815,1.0,0.4380981624203131
recommendation_system,0.2833231653816684,0.8904571900587704,0.55,0.0,Completed,2253.0,4358.0,0.0404977655524194,1.0,0.4310959703719071
recommendation_system,0.2910035648567629,0.8867414452845164,0.55,0.0,Completed,2215.0,4222.0,0.0410840696812504,1.0,0.4622620397155728
recommendation_system,0.2954982194942225,0.8808936841024826,0.55,0.0,Completed,2038.0,4182.0,0.1425556510360189,1.0,0.3696636753494237
recommendation_system,0.3037207793955614,0.879275182973915,0.55,0.0,Completed,2195.0,3753.0,0.0400422946458759,1.0,0.3828242166164551
recommendation_system,0.3125238222829063,0.8770763253921628,0.55,0.0,Completed,2178.0,3420.0,0.0963464516705181,1.0,0.526534719917582
recommendation_system,0.3293083775881738,0.8767626075873758,0.55,0.0,Completed,2178.0,3245.0,0.0963464516705181,1.0,0.6293237371541576
recommendation_system,0.329949208131984,0.8701220593898354,0.55,0.0,Completed,1815.0,3420.0,0.0963464516705181,1.0,0.5061492660233362
recommendation_system,0.3527695581227555,0.8517406113472772,0.55,0.0,Completed,3400.0,3245.0,0.2798369362396477,1.0,0.7644234314243994
recommendation_system,0.641071495437596,0.7143444754538123,0.56,0.0,Completed,1582.0,307.0,3.8246822361609256,1.0,0.90286582193067
recommendation_system,0.7120232396629299,0.6372948293167288,0.57,0.0,Completed,2416.0,119.0,0.7853492234800625,1.0,0.7972146564902348
recommendation_system,0.7647514680490693,0.5537375707720626,0.56,0.0,Completed,2178.0,52.0,5.314974785624845,1.0,0.912542230783112
recommendation_system,0.7667066888618482,0.5531670778116756,0.56,0.0,Completed,2178.0,52.0,5.314974785624845,1.0,0.9058074047388376
recommendation_system,0.7676768556459685,0.542097976492655,0.57,0.0,Completed,2222.0,52.0,5.314974785624845,1.0,0.9058074047388376
recommendation_system,0.7692592538594104,0.5244050090109514,0.57,2.0,Completed,1938.0,43.0,3.777351582978583,1.0,0.9283253845170346
recommendation_system,0.778456925358233,0.5209383404732248,0.57,1.0,Completed,2186.0,38.0,4.528130355653242,1.0,0.9270271902631284
recommendation_system,0.7932699384756072,0.4859789081370564,0.57,1.0,Completed,2056.0,7.0,3.575523078888089,1.0,0.9365692823338778
recommendation_system,0.8029377389272007,0.4223686896970512,0.54,17.0,Completed,2486.0,1.0,4.956226634304457,1.0,0.9376048787990856
