source,accuracy_estimation,runtime_estimation,ACCURACY,RUNTIME,Status,recent_samples_size,n_samples,const,max_depth,threshold
benchmark_pareto,0.23,23.0,0.23,15.0,Completed,1.0,5000.0,10.0,1.0,0.999
benchmark_pareto,0.32,24.0,0.32,17.0,Completed,1.0,2431.0,1.807,1.0,0.999
benchmark_pareto,0.58,26.0,0.58,20.0,Completed,2032.0,4721.0,0.228,13.0,0.629
benchmark_pareto,0.6,27.0,0.6,21.0,Completed,2050.0,2843.0,6.421,4.0,0.076
benchmark_pareto,0.64,28.0,0.64,22.0,Completed,183.0,4258.0,7.053,1.0,0.312
benchmark_pareto,0.71,31.0,0.71,23.0,Completed,250.0,3887.0,2.138,3.0,0.497
benchmark_pareto,0.72,32.0,0.72,24.0,Completed,2467.0,4979.0,7.209,5.0,0.524
benchmark_pareto,0.74,36.0,0.74,26.0,Completed,2693.0,4960.0,4.716,5.0,0.775
benchmark_pareto,0.75,40.0,0.75,29.0,Completed,69.0,679.0,8.119,2.0,0.507
benchmark_pareto,0.76,41.0,0.76,30.0,Completed,2430.0,2742.0,0.818,4.0,0.141
benchmark_pareto,0.78,44.0,0.78,32.0,Completed,551.0,2252.0,0.935,2.0,0.384
benchmark_pareto,0.79,49.0,0.79,35.0,Completed,2810.0,2768.0,0.001,9.0,0.999
benchmark_pareto,0.8,51.0,0.8,36.0,Completed,3135.0,3690.0,1.503,5.0,0.881
benchmark_pareto,0.81,54.0,0.81,38.0,Completed,1024.0,3005.0,5.929,2.0,0.885
benchmark_pareto,0.83,62.0,0.83,46.0,Completed,3384.0,2967.0,1.509,4.0,0.527
benchmark_pareto,0.84,70.0,0.84,55.0,Completed,4770.0,2919.0,0.001,1.0,0.001
benchmark_pareto,0.85,72.0,0.85,56.0,Completed,4666.0,3096.0,6.86,4.0,0.999
benchmark_pareto,0.86,83.0,0.86,65.0,Completed,3903.0,2882.0,3.704,1.0,0.036
benchmark_pareto,0.87,91.0,0.87,73.0,Completed,582.0,828.0,3.495,2.0,0.622
benchmark_pareto,0.89,105.0,0.89,85.0,Completed,1293.0,1214.0,7.357,1.0,0.001
benchmark_pareto,0.9,123.0,0.9,95.0,Completed,4742.0,1626.0,4.143,3.0,0.36
benchmark_pareto,0.91,134.0,0.91,98.0,Completed,4854.0,1415.0,6.863,2.0,0.317
benchmark_pareto,0.92,229.0,0.92,178.0,Completed,1081.0,431.0,7.163,1.0,0.001
benchmark_pareto,0.93,262.0,0.93,234.0,Completed,2302.0,101.0,1.579,1.0,0.335
benchmark_max_rt,,14324.0,,8618.0,Completed,1511.0,2837.0,5.303,11.0,0.235
benchmark_min_acc,0.23,,0.23,,Completed,1.0,5000.0,10.0,1.0,0.999
paper_default,-1.0,-1.0,0.88,128.0,Completed,100.0,100.0,1.0,3.0,0.5
paper_default,-1.0,-1.0,0.89,191.0,Completed,100.0,100.0,4.0,3.0,0.5
paper_default,-1.0,-1.0,0.89,200.0,Completed,100.0,100.0,55.0,3.0,0.5
