source,accuracy_estimation,runtime_estimation,ACCURACY,RUNTIME,Status,recent_samples_size,n_samples,const,max_depth,threshold
benchmark_pareto,0.32,9.0,0.32,4.0,Completed,1.0,4982.0,0.001,1.0,0.369
benchmark_pareto,0.34,11.0,0.34,6.0,Completed,2222.0,4397.0,1.629,1.0,0.787
benchmark_pareto,0.37,13.0,0.37,8.0,Completed,265.0,1855.0,5.552,4.0,0.998
benchmark_pareto,0.38,15.0,0.38,11.0,Completed,2321.0,2174.0,9.598,1.0,0.504
benchmark_pareto,0.41,16.0,0.41,12.0,Completed,2890.0,3757.0,1.923,2.0,0.63
benchmark_pareto,0.43,17.0,0.43,13.0,Completed,2232.0,909.0,1.167,2.0,0.64
benchmark_pareto,0.44,18.0,0.44,14.0,Completed,2384.0,1247.0,5.719,1.0,0.554
benchmark_pareto,0.47,19.0,0.47,15.0,Completed,584.0,1556.0,6.761,2.0,0.489
benchmark_pareto,0.5,23.0,0.5,20.0,Completed,1928.0,3433.0,1.015,1.0,0.001
benchmark_pareto,0.51,32.0,0.51,21.0,Completed,613.0,822.0,0.001,6.0,0.999
benchmark_pareto,0.52,33.0,0.52,22.0,Completed,2498.0,669.0,1.189,3.0,0.559
benchmark_pareto,0.54,38.0,0.54,23.0,Completed,3700.0,1716.0,1.517,2.0,0.958
benchmark_pareto,0.55,39.0,0.55,24.0,Completed,3136.0,965.0,10.0,1.0,0.999
benchmark_pareto,0.56,42.0,0.56,27.0,Completed,2334.0,302.0,1.214,1.0,0.601
benchmark_pareto,0.57,47.0,0.57,31.0,Completed,3831.0,1243.0,6.046,1.0,0.462
benchmark_pareto,0.58,53.0,0.58,34.0,Completed,3936.0,1163.0,7.938,2.0,0.6
benchmark_pareto,0.59,55.0,0.59,36.0,Completed,4413.0,1111.0,0.755,4.0,0.194
benchmark_pareto,0.6,58.0,0.6,41.0,Completed,889.0,482.0,6.174,1.0,0.662
benchmark_pareto,0.61,64.0,0.61,43.0,Completed,3347.0,635.0,10.0,1.0,0.001
benchmark_pareto,0.62,143.0,0.62,100.0,Completed,4240.0,362.0,10.0,1.0,0.999
benchmark_max_rt,,14122.0,,7587.0,Completed,842.0,2428.0,5.23,13.0,0.988
benchmark_min_acc,0.3,,0.3,,Completed,2038.0,2634.0,3.314,3.0,0.871
paper_default,-1.0,-1.0,0.58,512.0,Completed,100.0,100.0,1.0,3.0,0.5
paper_default,-1.0,-1.0,0.58,780.0,Completed,100.0,100.0,4.0,3.0,0.5
paper_default,-1.0,-1.0,0.57,844.0,Completed,100.0,100.0,55.0,3.0,0.5
paper_default,-1.0,-1.0,0.58,859.0,Completed,100.0,100.0,99.0,3.0,0.5
paper_default,-1.0,-1.0,0.57,805.0,Completed,100.0,100.0,10.0,3.0,0.5
paper_default,-1.0,-1.0,0.57,843.0,Completed,100.0,100.0,25.0,3.0,0.5
paper_default,-1.0,-1.0,0.57,854.0,Completed,100.0,100.0,50.0,3.0,0.5
recommendation_system,0.2564601790328534,0.9550564437481068,0.31,3.0,Completed,5.0,4029.0,0.0080645896161095,1.0,0.4055222483065578
recommendation_system,0.2580189372965535,0.9490614115321132,0.32,4.0,Completed,99.0,4291.0,2.1113954102890604,1.0,0.4112968185123062
recommendation_system,0.259189911993691,0.9472302125797358,0.32,4.0,Completed,99.0,4291.0,4.813823825517298,1.0,0.4112968185123062
recommendation_system,0.275977126609394,0.945043124841968,0.33,4.0,Completed,144.0,4080.0,0.085327347691432,1.0,0.4494424511903264
recommendation_system,0.2762605225846504,0.9408874661247836,0.34,5.0,Completed,263.0,4326.0,0.0937815741468221,1.0,0.3291011303700507
recommendation_system,0.2770119131514479,0.9388269382060352,0.35,5.0,Completed,276.0,4439.0,0.2497098167799413,1.0,0.4511374178156256
recommendation_system,0.277075589784892,0.9370193233498664,0.36,5.0,Completed,362.0,4484.0,0.1243050243064041,1.0,0.4154234718939573
recommendation_system,0.2827515227021039,0.9335516993737956,0.38,5.0,Completed,549.0,4442.0,1.4085729214202,1.0,0.4010364700959921
recommendation_system,0.328724025974026,0.9104035982971952,0.43,7.0,Completed,822.0,3384.0,4.708387077287907,1.0,0.6423799555716054
recommendation_system,0.3372539200140942,0.8974331367587901,0.47,8.0,Completed,1345.0,3384.0,4.708387077287907,1.0,0.4112968185123062
recommendation_system,0.4092685422888911,0.8189693384891215,0.42,6.0,Completed,89.0,592.0,7.155957852714696,1.0,0.8252345876488835
recommendation_system,0.470158932268585,0.785918631824774,0.5,10.0,Completed,159.0,330.0,1.7862365776854492,1.0,0.8785293561923168
recommendation_system,0.5050808152119198,0.7819960867330815,0.51,12.0,Completed,99.0,211.0,2.800055407203992,1.0,0.8120695047622438
recommendation_system,0.5794121011519932,0.733764678397636,0.59,48.0,Completed,127.0,121.0,3.380578305642121,1.0,0.8545417251493782
recommendation_system,0.6031553415060948,0.7279191338899974,0.61,70.0,Completed,259.0,135.0,6.167314334790003,1.0,0.7934152071193052
recommendation_system,0.6064760074043974,0.7212040589789672,0.61,88.0,Completed,356.0,130.0,5.791857682542449,1.0,0.7977157394140288
recommendation_system,0.6174267621334224,0.7046883992644015,0.62,97.0,Completed,399.0,126.0,6.261877269381325,1.0,0.7753029574051657
recommendation_system,0.62287007855409,0.6891094910052838,0.53,14.0,Completed,2097.0,170.0,1.0247494646132504,1.0,0.7981174051665506
recommendation_system,0.6609416137160581,0.6233440178139759,0.62,116.0,Completed,3353.0,170.0,4.813823825517298,1.0,0.7222197591272375
recommendation_system,0.6856189010981417,0.6011250761442991,0.62,169.0,Completed,3473.0,117.0,2.31728836650122,1.0,0.7816626084949821
