source,accuracy_estimation,runtime_estimation,ACCURACY,RUNTIME,Status,recent_samples_size,feature_id,batch_size,divergence,detect_batch,statistic,significance,subsets
benchmark_pareto,0.96,0.0,0.96,0.0,Completed,3965,42,3630,H,2,stdev,0.9,70
benchmark_max_rt,,753.0,,411.0,Completed,5000,0,1,H,2,tstat,0.999,100
benchmark_min_acc,0.96,,0.96,,Completed,825,48,127,str('KL'),3,str('stdev'),0.752,88
paper_default,-1.0,-1.0,0.96,0.0,Completed,100,0,100,KL,1,stdev,0.001,5
paper_default,-1.0,-1.0,0.96,0.0,Completed,100,0,100,KL,2,stdev,0.001,5
paper_default,-1.0,-1.0,0.96,0.0,Completed,100,0,100,KL,3,stdev,0.001,5
paper_default,-1.0,-1.0,0.96,0.0,Completed,100,0,100,KL,1,stdev,0.5,5
paper_default,-1.0,-1.0,0.96,0.0,Completed,100,0,100,KL,2,stdev,0.5,5
paper_default,-1.0,-1.0,0.96,0.0,Completed,100,0,100,KL,3,stdev,0.5,5
paper_default,-1.0,-1.0,0.96,0.0,Completed,100,0,100,KL,1,stdev,0.999,5
paper_default,-1.0,-1.0,0.96,0.0,Completed,100,0,100,KL,2,stdev,0.999,5
paper_default,-1.0,-1.0,0.96,0.0,Completed,100,0,100,KL,3,stdev,0.999,5
recommendation_system,0.6118426905362536,0.8674800383868533,0.96,0.0,Completed,4605,3,4357,H,3,stdev,0.9931510824987252,1
recommendation_system,0.6356678796152965,0.8581226292308499,0.96,0.0,Completed,327,3,1805,H,3,stdev,0.9931510824987252,1
recommendation_system,0.6399125189915147,0.8580257205116769,0.96,0.0,Completed,289,3,1805,H,3,stdev,0.9931510824987252,1
recommendation_system,0.6707031020071283,0.8342424372966064,0.96,0.0,Completed,3694,3,4357,KL,2,stdev,0.0147180629033225,1
recommendation_system,0.7025908815646137,0.8303514676459021,0.96,0.0,Completed,417,3,4207,KL,1,stdev,0.0012351488337818,29
recommendation_system,0.7218518951501163,0.7959885641779514,0.96,0.0,Completed,1867,3,1958,KL,1,stdev,0.0280418005184765,1
recommendation_system,0.7342437537027482,0.7909707679150223,0.96,0.0,Completed,695,3,1245,KL,1,stdev,0.0100360532572102,1
recommendation_system,0.7366335850007647,0.7415704716843622,0.96,0.0,Completed,327,3,108,H,1,stdev,0.0280418005184765,1
recommendation_system,0.5847638270768831,0.8633327833170595,0.96,0.0,Completed,3455,3,4402,H,3,stdev,0.987706334025432,2
recommendation_system,0.6299722075903947,0.8579624979912966,0.96,0.0,Completed,521,3,1805,H,3,stdev,0.9931510824987252,1
recommendation_system,0.6311989698596301,0.8573854583778452,0.96,0.0,Completed,465,3,1805,H,3,stdev,0.9931510824987252,1
recommendation_system,0.7009969285106826,0.8244459748122924,0.96,0.0,Completed,695,3,1805,H,2,stdev,0.0280418005184765,1
recommendation_system,0.727840907842182,0.7898532188385907,0.96,0.0,Completed,695,3,1245,H,1,stdev,0.0100360532572102,1
recommendation_system,0.5836454188644268,0.8608838835332843,0.96,0.0,Completed,3409,3,4576,H,3,stdev,0.9624984109210974,1
recommendation_system,0.6383513576544163,0.8523073096719321,0.96,0.0,Completed,521,3,1805,KL,3,stdev,0.9931510824987252,1
recommendation_system,0.653806339403451,0.834219096744789,0.96,0.0,Completed,327,3,938,KL,3,tstat,0.9931510824987252,1
recommendation_system,0.7218338314126821,0.7842902094681421,0.96,0.0,Completed,74,3,938,H,1,stdev,0.0280418005184765,1
recommendation_system,0.7220755097848103,0.7626692481074837,0.96,0.0,Completed,521,3,190,KL,1,stdev,0.0280418005184765,1
recommendation_system,0.7226613451606272,0.7617512190299741,0.96,0.0,Completed,521,3,190,KL,1,stdev,0.0754015423924112,1
recommendation_system,0.7267169054939224,0.7517386873273244,0.96,0.0,Completed,327,3,108,KL,1,stdev,0.0280418005184765,1
