source,accuracy_estimation,runtime_estimation,ACCURACY,RUNTIME,Status,recent_samples_size,feature_id,batch_size,divergence,detect_batch,statistic,significance,subsets
benchmark_pareto,0.49,200.0,0.49,100.0,Completed,4996,3,1290,H,3,tstat,0.001,24
benchmark_pareto,0.5,212.0,0.5,108.0,Completed,5000,3,327,H,3,stdev,0.001,1
benchmark_pareto,0.51,233.0,0.51,116.0,Completed,4026,3,2881,KL,3,stdev,0.001,29
benchmark_pareto,0.54,467.0,0.54,234.0,Completed,1,5,5000,H,1,stdev,0.999,56
benchmark_pareto,0.55,508.0,0.55,254.0,Completed,593,5,2765,KL,3,tstat,0.001,93
benchmark_pareto,0.56,524.0,0.56,256.0,Completed,2746,5,3869,KL,3,tstat,0.001,94
benchmark_max_rt,,12135.0,,6419.0,Completed,4814,4,136,H,1,stdev,0.053,98
benchmark_min_acc,0.39,,0.39,,Completed,54,3,3858,str('H'),3,str('tstat'),0.071,17
paper_default,-1.0,-1.0,0.5,511.0,Completed,100,0,100,KL,1,stdev,0.001,5
paper_default,-1.0,-1.0,0.5,509.0,Completed,100,0,100,KL,2,stdev,0.001,5
paper_default,-1.0,-1.0,0.5,514.0,Completed,100,0,100,KL,3,stdev,0.001,5
paper_default,-1.0,-1.0,0.5,509.0,Completed,100,0,100,KL,1,stdev,0.5,5
paper_default,-1.0,-1.0,0.5,509.0,Completed,100,0,100,KL,2,stdev,0.5,5
paper_default,-1.0,-1.0,0.5,506.0,Completed,100,0,100,KL,3,stdev,0.5,5
paper_default,-1.0,-1.0,0.5,508.0,Completed,100,0,100,KL,1,stdev,0.999,5
paper_default,-1.0,-1.0,0.5,508.0,Completed,100,0,100,KL,2,stdev,0.999,5
paper_default,-1.0,-1.0,0.5,509.0,Completed,100,0,100,KL,3,stdev,0.999,5
recommendation_system,0.5938203835688757,0.8295134557042197,0.4,99.0,Completed,4739,3,1672,H,3,tstat,0.0224598031749583,12
recommendation_system,0.5953908635883688,0.8292269269503404,0.5,98.0,Completed,4667,3,1050,H,3,tstat,0.0199206667974479,12
recommendation_system,0.6130640482862243,0.8257658193823273,0.44,100.0,Completed,4765,3,1638,H,3,tstat,0.0088380900416523,16
recommendation_system,0.6231120197774526,0.8225208549680941,0.5,96.0,Completed,4984,3,1060,H,3,tstat,0.0060514606785262,1
recommendation_system,0.6329163722384659,0.8160819716037215,0.46,117.0,Completed,4984,3,4989,H,3,stdev,0.0060514606785262,1
recommendation_system,0.6713187946718643,0.7916317909780536,0.51,133.0,Completed,124,3,3886,KL,2,stdev,0.9945166229067788,1
recommendation_system,0.7228676596003892,0.7494605729888095,0.52,156.0,Completed,4723,3,4999,KL,1,stdev,0.0020036069716295,7
recommendation_system,0.7271497928849894,0.7385060046262536,0.51,182.0,Completed,4984,3,2928,KL,1,stdev,0.0060514606785262,1
recommendation_system,0.7411804337231963,0.7310655069347426,0.51,186.0,Completed,3989,3,4939,KL,1,tstat,0.9969118056129664,1
recommendation_system,0.7482778640756983,0.724443421218382,0.51,185.0,Completed,49,3,4989,KL,1,stdev,0.0060514606785262,1
recommendation_system,0.601421976526965,0.8253271882752828,0.51,105.0,Completed,4728,3,1162,H,3,tstat,0.0033077569547232,14
recommendation_system,0.6049033107943464,0.8241357435222546,0.42,106.0,Completed,4901,3,2014,H,3,tstat,0.0034616708701193,14
recommendation_system,0.609167996669915,0.823202413423455,0.47,107.0,Completed,4889,3,1512,H,3,tstat,0.003815624568866,19
recommendation_system,0.6158769594704354,0.8213350230004407,0.44,110.0,Completed,1422,3,3718,KL,3,stdev,0.9963074181582504,2
recommendation_system,0.6293764518356072,0.8167572510827602,0.44,111.0,Completed,1006,3,3829,KL,3,stdev,0.9887221629548024,1
recommendation_system,0.6411086744639373,0.8099217127196658,0.46,129.0,Completed,2807,3,4989,H,3,stdev,0.0060514606785262,1
recommendation_system,0.6817905346409999,0.7815088333226357,0.51,138.0,Completed,476,3,3559,KL,2,stdev,0.0036145596280694,1
recommendation_system,0.6918127995045483,0.7790267151376227,0.51,141.0,Completed,153,3,2513,H,2,stdev,0.0060514606785262,1
recommendation_system,0.7457714678768679,0.723243406823356,0.51,185.0,Completed,153,3,4989,KL,1,stdev,0.0060514606785262,1
recommendation_system,0.7473111446150094,0.7161325077829778,0.51,184.0,Completed,153,3,4989,KL,1,stdev,0.4191098946071004,1
