source,accuracy_estimation,runtime_estimation,ACCURACY,RUNTIME,Status,recent_samples_size,feature_id,batch_size,divergence,detect_batch,statistic,significance,subsets
benchmark_pareto,0.07,462.0,0.07,253.0,Completed,480,3,5000,KL,3,stdev,0.999,100
benchmark_pareto,0.08,464.0,0.08,256.0,Completed,1,3,5000,KL,3,tstat,0.06,1
benchmark_pareto,0.09,487.0,0.09,289.0,Completed,368,3,716,KL,3,stdev,0.001,36
benchmark_pareto,0.1,531.0,0.1,398.0,Completed,653,3,2792,KL,1,stdev,0.999,3
benchmark_max_rt,,12625.0,,6394.0,Completed,3039,3,31,H,1,stdev,0.469,58
benchmark_min_acc,0.01,,0.01,,Completed,1524,0,158,str('KL'),3,str('stdev'),0.785,61
paper_default,-1.0,-1.0,0.03,567.0,Completed,100,0,100,KL,1,stdev,0.001,5
paper_default,-1.0,-1.0,0.03,604.0,Completed,100,0,100,KL,2,stdev,0.001,5
paper_default,-1.0,-1.0,0.03,598.0,Completed,100,0,100,KL,3,stdev,0.001,5
paper_default,-1.0,-1.0,0.02,561.0,Completed,100,0,100,KL,1,stdev,0.5,5
paper_default,-1.0,-1.0,0.03,507.0,Completed,100,0,100,KL,2,stdev,0.5,5
paper_default,-1.0,-1.0,0.03,580.0,Completed,100,0,100,KL,3,stdev,0.5,5
paper_default,-1.0,-1.0,0.02,874.0,Completed,100,0,100,KL,1,stdev,0.999,5
paper_default,-1.0,-1.0,0.01,549.0,Completed,100,0,100,KL,2,stdev,0.999,5
paper_default,-1.0,-1.0,0.01,575.0,Completed,100,0,100,KL,3,stdev,0.999,5
recommendation_system,0.62145032,0.866653358,0.08,253.0,Completed,4999,3,4987,H,3,stdev,0.001134424,1
recommendation_system,0.655890951,0.854332164,0.08,256.0,Completed,4999,3,4987,KL,3,stdev,0.001134424,1
recommendation_system,0.664285017,0.828582383,0.08,252.0,Completed,4999,3,1875,KL,3,stdev,0.001134424,1
recommendation_system,0.675242236,0.791433994,0.09,269.0,Completed,4999,3,1318,KL,1,stdev,0.010178658,12
recommendation_system,0.681852671,0.777556529,0.09,280.0,Completed,4999,3,4943,KL,1,stdev,0.001134424,8
recommendation_system,0.690105056,0.754751488,0.1,301.0,Completed,4999,3,2325,KL,1,stdev,0.001134424,1
recommendation_system,0.612132295,0.865501723,0.08,268.0,Completed,4999,3,4988,H,3,stdev,0.006494788,1
recommendation_system,0.653306724,0.853794968,0.08,276.0,Completed,4999,3,4987,KL,3,stdev,0.001134424,35
recommendation_system,0.667108136,0.798293356,0.09,284.0,Completed,4999,3,2325,KL,1,stdev,0.010178658,13
recommendation_system,0.676149324,0.779581854,0.09,290.0,Completed,4999,3,1214,KL,1,stdev,0.010751306,7
recommendation_system,0.682088637,0.74638568,0.09,316.0,Completed,4999,3,4943,KL,1,stdev,0.010178658,1
recommendation_system,0.689712476,0.746060785,0.09,317.0,Completed,4999,3,4987,KL,1,stdev,0.001134424,1
recommendation_system,0.596567118,0.8641278,0.08,273.0,Completed,4999,3,4987,H,3,stdev,0.010751306,1
recommendation_system,0.596567118,0.8641278,0.08,269.0,Completed,4999,3,4988,H,3,stdev,0.010178658,1
recommendation_system,0.605935729,0.856247887,0.08,274.0,Completed,4999,3,4987,H,3,stdev,0.001134424,12
recommendation_system,0.662136817,0.798285807,0.08,285.0,Completed,4999,3,2582,KL,1,stdev,0.010751306,13
recommendation_system,0.662947733,0.797480704,0.08,285.0,Completed,4999,3,2668,KL,1,stdev,0.010178658,13
recommendation_system,0.66614773,0.793096015,0.08,281.0,Completed,4999,3,4318,KL,1,stdev,0.010178658,12
recommendation_system,0.667738968,0.785349564,0.09,288.0,Completed,4999,3,1103,KL,1,stdev,0.010751306,13
recommendation_system,0.68042197,0.74638568,0.09,313.0,Completed,4999,3,4943,KL,1,stdev,0.010751306,1
