source,accuracy_estimation,runtime_estimation,ACCURACY,RUNTIME,Status,recent_samples_size,significance,gamma,max_node_size,max_tree_depth,max_time_stationary
benchmark_pareto,0.71,25.0,0.71,13.0,Completed,1.0,0.999,0.001,1.0,5000.0,3313.0
benchmark_pareto,0.79,132.0,0.79,105.0,Completed,1.0,0.001,0.001,1020.0,5000.0,5000.0
benchmark_pareto,0.83,154.0,0.83,116.0,Completed,1.0,0.562,0.064,1707.0,1932.0,4442.0
benchmark_pareto,0.84,1260.0,0.84,834.0,Completed,1.0,0.537,0.999,1844.0,1303.0,4406.0
benchmark_max_rt,,14387.0,,7237.0,Completed,1876.0,0.742,0.651,4445.0,1270.0,2096.0
benchmark_min_acc,0.71,,0.71,,Completed,3515.0,0.001,0.999,1.0,5000.0,1.0
paper_default,-1.0,-1.0,0.75,890.0,Completed,200.0,0.01,0.95,200.0,5.0,100.0
paper_default,-1.0,-1.0,0.74,533.0,Completed,100.0,0.01,0.95,200.0,5.0,100.0
paper_default,-1.0,-1.0,,,MAX_RT,500.0,0.01,0.95,200.0,5.0,100.0
paper_default,-1.0,-1.0,,,MAX_RT,1000.0,0.01,0.95,200.0,5.0,100.0
paper_default,-1.0,-1.0,,,MAX_RT,2000.0,0.01,0.95,200.0,5.0,100.0
recommendation_system,0.519039663926859,0.5988050259469889,0.71,17.0,Completed,627.0,0.3186959928330034,0.24482009267807,2.0,4914.0,2532.0
recommendation_system,0.5282611483367574,0.5962417712714553,0.71,17.0,Completed,1307.0,0.8673148839976639,0.1210714119430631,3.0,4951.0,181.0
recommendation_system,0.6027938890377907,0.5950009325107903,0.71,29.0,Completed,41.0,0.5052753254976123,0.7438588558044285,2.0,30.0,170.0
recommendation_system,0.6444444183864916,0.5734010787885706,0.71,62.0,Completed,122.0,0.9902384645955122,0.3819544697554892,3.0,134.0,4029.0
recommendation_system,0.7238853383066796,0.4156086080798013,0.75,410.0,Completed,21.0,0.9852383229906436,0.967551800039195,4187.0,103.0,3082.0
recommendation_system,0.7291015016825991,0.4098203540982706,0.75,399.0,Completed,21.0,0.9852383229906436,0.9686454585090294,3883.0,103.0,3516.0
recommendation_system,0.4890673776765236,0.6201399066868576,0.71,16.0,Completed,3239.0,0.003406056670472,0.8177437094468624,1.0,2674.0,2073.0
recommendation_system,0.528108430864528,0.5961482682545216,0.71,15.0,Completed,2247.0,0.9346540095806122,0.288335083855316,2.0,4855.0,3471.0
recommendation_system,0.5495814221686168,0.5765810542081207,0.71,37.0,Completed,1517.0,0.9779709328468889,0.36270974429138,2.0,1072.0,1189.0
recommendation_system,0.5857443238333481,0.5762082585753567,0.71,14.0,Completed,18.0,0.8631041786335408,0.8708329158555717,1.0,1540.0,1710.0
recommendation_system,0.600141510318949,0.5726884360875678,0.71,14.0,Completed,241.0,0.7902109691202843,0.6482237370889785,1.0,139.0,3580.0
recommendation_system,0.6732118236099938,0.4765348686518746,0.75,151.0,Completed,21.0,0.0491156147828349,0.0153647016524963,53.0,103.0,3355.0
recommendation_system,0.6734632277613981,0.473114745418709,0.73,148.0,Completed,21.0,0.0234243697034771,0.0253519799934249,53.0,103.0,2022.0
recommendation_system,0.6744166309300452,0.4620886240350556,0.74,202.0,Completed,21.0,0.9852383229906436,0.53024152898266,53.0,103.0,3258.0
recommendation_system,0.6874567043390213,0.4152949537465467,0.74,304.0,Completed,64.0,0.9988169489458798,0.1068338600952957,273.0,98.0,4678.0
recommendation_system,0.6913288573215404,0.4121542139897864,0.74,167.0,Completed,21.0,0.0234243697034771,0.0253519799934249,3883.0,103.0,1311.0
recommendation_system,0.7271646884957861,0.4094813299206267,0.75,315.0,Completed,21.0,0.9852383229906436,0.942023884504694,3883.0,103.0,3516.0
recommendation_system,0.6683836244378922,0.4968663783818821,0.72,121.0,Completed,21.0,0.0062191543158269,0.0153647016524963,76.0,329.0,3516.0
recommendation_system,0.6991043807141369,0.4084342608843535,0.75,384.0,Completed,21.0,0.9852383229906436,0.942023884504694,4510.0,103.0,4545.0
recommendation_system,0.7208373164775604,0.4075779119884535,0.75,374.0,Completed,21.0,0.9852383229906436,0.942023884504694,3657.0,103.0,3516.0
