source,accuracy_estimation,runtime_estimation,ACCURACY,RUNTIME,Status,recent_samples_size,significance,gamma,max_node_size,max_tree_depth,max_time_stationary
benchmark_pareto,0.58,559,0.58,217,Completed,3623,0.58,0.193,1,2975,1182
benchmark_pareto,0.8,11842,0.8,5784,Completed,597,0.113,0.043,7,1488,95
benchmark_pareto,0.84,12705,0.84,6117,Completed,35,0.983,0.18,563,3,1125
benchmark_max_rt,,12705,,6117,Completed,35,0.983,0.18,563,3,1125
benchmark_min_acc,0.58,,0.58,,Completed,3623,0.58,0.193,1,2975,1182
paper_default,-1,-1,,,MAX_RT,200,0.01,0.95,200,5,100
paper_default,-1,-1,,,MAX_RT,100,0.01,0.95,200,5,100
paper_default,-1,-1,,,MAX_RT,500,0.01,0.95,200,5,100
paper_default,-1,-1,,,MAX_RT,1000,0.01,0.95,200,5,100
paper_default,-1,-1,,,MAX_RT,2000,0.01,0.95,200,5,100
recommendation_system,0.310697368,0.563539964,,,MAX_RT,3455,0.979057629,0.187729289,3,1534,186
recommendation_system,0.323191672,0.563448399,,,MAX_RT,3346,0.974903932,0.13083735,8,83,135
recommendation_system,0.324200945,0.552367218,,,MAX_RT,3532,0.976879373,0.147443444,6,2353,165
recommendation_system,0.326563478,0.550119506,,,MAX_RT,3471,0.950668851,0.106970415,2,2049,307
recommendation_system,0.333638845,0.544447098,0.58,222,Completed,3459,0.884062711,0.159704477,1,2285,116
recommendation_system,0.337880314,0.536605432,,,MAX_RT,3547,0.970756885,0.113176695,6,823,695
recommendation_system,0.414092429,0.479388836,,,MAX_RT,54,0.976879373,0.18322157,8,102,451
recommendation_system,0.511843396,0.339730857,,,MAX_RT,54,0.461740733,0.18322157,394,33,1082
recommendation_system,0.512385894,0.33238819,,,MAX_RT,54,0.176028792,0.18322157,394,102,689
recommendation_system,0.516895192,0.330302778,,,MAX_RT,54,0.251803872,0.190732738,394,82,689
recommendation_system,0.518853627,0.325802176,,,MAX_RT,54,0.270599934,0.190732738,343,133,716
recommendation_system,0.315985434,0.562434799,,,MAX_RT,3532,0.976879373,0.18322157,11,102,277
recommendation_system,0.32589625,0.547056014,,,MAX_RT,3618,0.958017171,0.111733917,4,2140,260
recommendation_system,0.346201917,0.515096132,0.58,263,Completed,3104,0.977354552,0.142794273,1,1413,268
recommendation_system,0.425587547,0.457091613,0.58,269,Completed,64,0.552598731,0.154652133,1,20,131
recommendation_system,0.46685486,0.382575011,,,MAX_RT,54,0.95682348,0.189493066,67,133,311
recommendation_system,0.511544325,0.339730857,,,MAX_RT,54,0.461740733,0.184701488,394,33,1082
recommendation_system,0.512336432,0.32652109,,,MAX_RT,54,0.411555597,0.18322157,394,133,689
recommendation_system,0.512375891,0.325752433,,,MAX_RT,54,0.405845722,0.184701488,343,133,716
recommendation_system,0.518677178,0.323713993,,,MAX_RT,54,0.270599934,0.18322157,394,133,689
