source,accuracy_estimation,runtime_estimation,ACCURACY,RUNTIME,Status,recent_samples_size,significance,gamma,max_node_size,max_tree_depth,max_time_stationary
benchmark_pareto,0.52,17,0.52,11,Completed,1,0.999,0.025,1,622,242
benchmark_pareto,0.82,129,0.82,92,Completed,1,0.001,0.001,289,1,2766
benchmark_pareto,0.83,143,0.83,110,Completed,1,0.001,0.001,1144,1,5000
benchmark_pareto,0.87,741,0.87,425,Completed,2041,0.664,0.037,1176,1,3759
benchmark_pareto,0.88,4375,0.88,2452,Completed,10,0.869,0.387,4420,161,3064
benchmark_max_rt,,14339,,7636,Completed,4582,0.947,0.651,713,250,644
benchmark_min_acc,0.38,,0.38,,Completed,1833,0.003,0.686,10,4822,698
paper_default,-1,-1,0.85,735,Completed,200,0.01,0.95,200,5,100
paper_default,-1,-1,0.85,579,Completed,100,0.01,0.95,200,5,100
paper_default,-1,-1,,,MAX_RT,500,0.01,0.95,200,5,100
paper_default,-1,-1,,,MAX_RT,1000,0.01,0.95,200,5,100
paper_default,-1,-1,,,MAX_RT,2000,0.01,0.95,200,5,100
recommendation_system,0.497265683,0.792944746,0.52,10,Completed,18,0.863104179,0.870832916,1,1540,1710
recommendation_system,0.505155975,0.786933002,0.52,10,Completed,4771,0.885506421,0.777473786,1,3839,98
recommendation_system,0.507598294,0.781523088,0.77,292,Completed,3290,0.46978742,0.944775186,4,239,16
recommendation_system,0.525389176,0.758430969,0.85,575,Completed,265,0.970847488,0.962602232,8,10,2253
recommendation_system,0.53230477,0.727042692,0.85,718,Completed,321,0.978757156,0.998791835,54,6,2470
recommendation_system,0.556389354,0.642769431,0.62,313,Completed,817,0.003669112,0.036447916,17,4436,55
recommendation_system,0.557797731,0.598957021,0.87,455,Completed,50,0.787704994,0.769600951,1521,5,4689
recommendation_system,0.63842569,0.34137682,0.88,340,Completed,2014,0.981819998,0.695422419,2052,11,3440
recommendation_system,0.484404297,0.81327459,0.52,10,Completed,1036,0.397620834,0.969765682,1,1895,4930
recommendation_system,0.494852847,0.80157136,0.52,11,Completed,1971,0.530271572,0.929526098,1,873,2877
recommendation_system,0.505234559,0.761146921,0.52,192,Completed,41,0.505275325,0.743858856,2,30,170
recommendation_system,0.508841445,0.744218906,0.52,1122,Completed,3367,0.942946443,0.511461672,2,781,383
recommendation_system,0.514156988,0.741536499,0.76,372,Completed,4508,0.091133793,0.727385697,10,1559,6
recommendation_system,0.516445807,0.729808865,0.67,733,Completed,2439,0.377544014,0.991236916,34,360,196
recommendation_system,0.520250901,0.728341843,0.54,760,Completed,36,0.081669401,0.992296865,24,2130,224
recommendation_system,0.528388613,0.688944935,0.7,887,Completed,3814,0.651427424,0.896851809,17,357,219
recommendation_system,0.548497201,0.639297267,0.87,1104,Completed,5,0.216915678,0.077336603,4740,33,2691
recommendation_system,0.607026601,0.424306483,0.86,557,Completed,2074,0.859857079,0.968593473,4035,2,2717
recommendation_system,0.63569934,0.341884368,0.85,801,Completed,2143,0.96097563,0.26633107,4524,4,2120
recommendation_system,0.653013174,0.228616204,0.86,1967,Completed,4214,0.984441838,0.041085098,3010,2,3860
