source,accuracy_estimation,runtime_estimation,ACCURACY,RUNTIME,Status,recent_samples_size,significance,gamma,max_node_size,max_tree_depth,max_time_stationary
benchmark_pareto,0.32,60.0,0.32,57.0,Completed,999.0,0.001,0.999,1.0,1530.0,3229.0
benchmark_pareto,0.72,638.0,0.72,491.0,Completed,1.0,0.559,0.493,1221.0,5000.0,1100.0
benchmark_pareto,0.73,724.0,0.73,537.0,Completed,1.0,0.193,0.508,682.0,4999.0,424.0
benchmark_max_rt,,14374.0,,10506.0,Completed,2631.0,0.577,0.065,4510.0,4370.0,4676.0
benchmark_min_acc,0.32,,0.32,,Completed,3436.0,0.665,0.539,2.0,939.0,2319.0
paper_default,-1.0,-1.0,0.53,4039.0,Completed,200.0,0.01,0.95,200.0,5.0,100.0
paper_default,-1.0,-1.0,0.53,2197.0,Completed,100.0,0.01,0.95,200.0,5.0,100.0
paper_default,-1.0,-1.0,0.54,5258.0,Completed,500.0,0.01,0.95,200.0,5.0,100.0
paper_default,-1.0,-1.0,0.54,8866.0,Completed,1000.0,0.01,0.95,200.0,5.0,100.0
paper_default,-1.0,-1.0,,,MAX_RT,2000.0,0.01,0.95,200.0,5.0,100.0
recommendation_system,0.766690385,0.433468195,0.55,1361.0,Completed,24.0,0.0073731,0.026368288,111.0,103.0,2729.0
recommendation_system,0.77370754,0.425351327,0.57,1190.0,Completed,16.0,0.012916932,0.0341476,92.0,102.0,3079.0
recommendation_system,0.818816453,0.325700525,0.57,1723.0,Completed,24.0,0.014068268,0.280477255,3869.0,103.0,2729.0
recommendation_system,0.821014072,0.321343299,0.57,1686.0,Completed,24.0,0.014068268,0.342763083,3869.0,103.0,2729.0
recommendation_system,0.827161569,0.315101454,0.58,1675.0,Completed,24.0,0.0073731,0.452413648,4024.0,103.0,3491.0
recommendation_system,0.827246368,0.300567054,0.57,1721.0,Completed,24.0,0.221170729,0.544936865,4242.0,103.0,2729.0
recommendation_system,0.563828846,0.438649798,0.32,48.0,Completed,3136.0,0.942946443,0.511461672,2.0,781.0,383.0
recommendation_system,0.760631838,0.424894854,0.55,1360.0,Completed,24.0,0.014068268,0.026368288,72.0,103.0,2843.0
recommendation_system,0.760631838,0.424894854,0.55,1365.0,Completed,24.0,0.014068268,0.026368288,72.0,103.0,2868.0
recommendation_system,0.763078785,0.424369607,0.55,1353.0,Completed,24.0,0.014068268,0.026368288,72.0,103.0,3088.0
recommendation_system,0.764395849,0.424304827,0.55,1328.0,Completed,24.0,0.014068268,0.026368288,72.0,103.0,4112.0
recommendation_system,0.805654945,0.396248832,0.57,1645.0,Completed,24.0,0.014068268,0.026368288,2273.0,103.0,4225.0
recommendation_system,0.811293132,0.388870514,0.57,1649.0,Completed,24.0,0.014068268,0.026368288,2415.0,66.0,3081.0
recommendation_system,0.813353388,0.379024206,0.57,1689.0,Completed,24.0,0.014068268,0.021903071,4024.0,103.0,2729.0
recommendation_system,0.819309127,0.318668078,0.57,1655.0,Completed,24.0,0.014068268,0.479223514,2830.0,103.0,2729.0
recommendation_system,0.821476221,0.31622464,0.62,851.0,Completed,5.0,0.676896239,0.928698843,2510.0,23.0,3398.0
recommendation_system,0.822549908,0.314066795,0.57,1679.0,Completed,24.0,0.014068268,0.479223514,3959.0,103.0,2746.0
recommendation_system,0.826720543,0.293301321,0.57,1684.0,Completed,24.0,0.531291922,0.715540284,4024.0,103.0,2729.0
recommendation_system,0.827033761,0.292849676,0.57,1680.0,Completed,24.0,0.531291922,0.600912782,4024.0,103.0,2629.0
recommendation_system,0.827181166,0.289805826,0.57,1678.0,Completed,24.0,0.865443793,0.479223514,3959.0,103.0,2451.0
