source,accuracy_estimation,runtime_estimation,ACCURACY,RUNTIME,Status,recent_samples_size,significance,gamma,max_node_size,max_tree_depth,max_time_stationary
benchmark_pareto,0.06,1861.0,0.06,1061.0,Completed,886.0,0.072,0.853,1.0,4670.0,2160.0
benchmark_max_rt,,2200.0,,1119.0,Completed,745.0,0.003,0.869,1.0,3925.0,2811.0
benchmark_min_acc,0.06,,0.06,,Completed,745.0,0.003,0.869,1.0,3925.0,2811.0
paper_default,-1.0,-1.0,,,MAX_RT,200.0,0.01,0.95,200.0,5.0,100.0
paper_default,-1.0,-1.0,,,MAX_RT,100.0,0.01,0.95,200.0,5.0,100.0
paper_default,-1.0,-1.0,,,MAX_RT,500.0,0.01,0.95,200.0,5.0,100.0
paper_default,-1.0,-1.0,,,MAX_RT,1000.0,0.01,0.95,200.0,5.0,100.0
paper_default,-1.0,-1.0,,,MAX_RT,2000.0,0.01,0.95,200.0,5.0,100.0
recommendation_system,0.3616289823997145,0.683434579262747,0.06,1120.0,Completed,791.0,0.0032826609083466,0.8537558593222895,1.0,4165.0,2670.0
recommendation_system,0.362105172875905,0.6833625552426278,0.06,1072.0,Completed,791.0,0.0032826609083466,0.8537558593222895,1.0,4169.0,2735.0
recommendation_system,0.3633067601774923,0.6798588091711226,0.06,990.0,Completed,791.0,0.0032826609083466,0.8537558593222895,1.0,4307.0,2676.0
recommendation_system,0.3644875576997533,0.679801189043602,0.06,966.0,Completed,791.0,0.0032826609083466,0.8537558593222895,1.0,4319.0,2735.0
recommendation_system,0.3655481938116089,0.6793929495577741,0.06,971.0,Completed,857.0,0.0030955077413562,0.8533802083794634,1.0,4319.0,2731.0
recommendation_system,0.3660798505018022,0.6764118278666731,0.06,1005.0,Completed,850.0,0.003692835838642,0.8530310527377047,1.0,4303.0,2731.0
recommendation_system,0.3736918967211654,0.6038246475845548,0.06,1017.0,Completed,750.0,0.0452216653212083,0.8556946022378424,1.0,4319.0,2731.0
recommendation_system,0.3738628368921056,0.6016416903559295,0.06,1069.0,Completed,746.0,0.0452216653212083,0.8558796729703185,1.0,4319.0,2735.0
recommendation_system,0.3749128979421666,0.5928818935774974,0.06,1082.0,Completed,797.0,0.0478719847016036,0.8536683178991079,1.0,4322.0,2744.0
recommendation_system,0.3759949015753898,0.582949412225115,0.06,1092.0,Completed,850.0,0.0520426491931021,0.8558796729703185,1.0,4319.0,2681.0
recommendation_system,0.3761968879359126,0.5821582404831661,0.06,1093.0,Completed,846.0,0.0520426491931021,0.8558796729703185,1.0,4307.0,2735.0
recommendation_system,0.3761968879359126,0.5821582404831661,0.06,1104.0,Completed,855.0,0.0520426491931021,0.8546152422823986,1.0,4308.0,2748.0
recommendation_system,0.3779623484916172,0.5714212463368228,0.06,1140.0,Completed,746.0,0.0621851184398076,0.8560401746738688,1.0,4319.0,2735.0
recommendation_system,0.378818466898955,0.5690423090583329,0.06,1172.0,Completed,850.0,0.0621851184398076,0.8560401746738688,1.0,4318.0,2735.0
recommendation_system,0.378818466898955,0.5690423090583329,0.06,1211.0,Completed,850.0,0.0621851184398076,0.8544581136293408,1.0,4322.0,2735.0
recommendation_system,0.378818466898955,0.5690423090583329,0.06,1263.0,Completed,850.0,0.0621851184398076,0.8558796729703185,1.0,4319.0,2748.0
recommendation_system,0.378818466898955,0.5690423090583329,0.06,1268.0,Completed,850.0,0.0621851184398076,0.8548753789663389,1.0,4319.0,2732.0
recommendation_system,0.378818466898955,0.5690423090583329,0.06,1266.0,Completed,850.0,0.0621851184398076,0.8547882414074995,1.0,4318.0,2735.0
recommendation_system,0.378818466898955,0.5690423090583329,0.06,1350.0,Completed,850.0,0.0621851184398076,0.8546152422823986,1.0,4318.0,2735.0
recommendation_system,0.3788825694630576,0.5646655457167533,0.06,1366.0,Completed,850.0,0.0573428324581398,0.8568801315528137,1.0,4319.0,2745.0
