source,accuracy_estimation,runtime_estimation,ACCURACY,RUNTIME,Status,recent_samples_size,n_samples,feature_proportion,n_clusters,confidence
benchmark_pareto,0.71,8.0,0.71,5.0,Completed,21.0,4013.0,0.195,48.0,0.05
benchmark_pareto,0.73,9.0,0.73,6.0,Completed,2125.0,3195.0,0.555,41.0,0.01
benchmark_pareto,0.74,10.0,0.74,7.0,Completed,3149.0,4206.0,0.58,41.0,0.25
benchmark_pareto,0.75,16.0,0.75,10.0,Completed,2170.0,141.0,0.3,15.0,0.005
benchmark_max_rt,,321.0,,190.0,Completed,1046.0,54.0,0.57,50.0,0.01
benchmark_min_acc,0.62,,0.62,,Completed,1.0,3652.0,0.001,50.0,0.1
paper_default,-1.0,-1.0,0.72,7.0,Completed,336.0,336.0,0.9,2.0,0.05
paper_default,-1.0,-1.0,0.74,24.0,Completed,2000.0,336.0,0.9,2.0,0.05
recommendation_system,0.3926877190055556,0.9276645314492192,0.69,3.0,Completed,50.0,4397.0,0.7861062825425023,1.0,0.025
recommendation_system,0.4012796824602381,0.9253490451559984,0.66,3.0,Completed,152.0,4549.0,0.6054517565165557,3.0,0.1
recommendation_system,0.4043573926265447,0.9250728795520624,0.71,3.0,Completed,165.0,4497.0,0.6649930306722708,5.0,0.1
recommendation_system,0.4203200785580901,0.9230799964059454,0.66,4.0,Completed,476.0,4440.0,0.2040543665205258,4.0,0.25
recommendation_system,0.526797433565562,0.907225463297889,0.67,4.0,Completed,3551.0,4751.0,0.6990891421618026,8.0,0.005
recommendation_system,0.5380056480457063,0.90392720986517,0.68,4.0,Completed,3822.0,4896.0,0.9030600056956724,11.0,0.025
recommendation_system,0.542412976134029,0.8969406522782936,0.72,4.0,Completed,3553.0,4516.0,0.9121317827467974,33.0,0.025
recommendation_system,0.5625254453283692,0.8903093057556812,0.69,4.0,Completed,4076.0,4361.0,0.8598154345985752,11.0,0.001
recommendation_system,0.6178642369186231,0.856812272092138,0.69,5.0,Completed,4248.0,3386.0,0.8607010492421965,12.0,0.01
recommendation_system,0.6491141507004085,0.8367434874813333,0.71,6.0,Completed,3789.0,2382.0,0.91035564084535,22.0,0.025
recommendation_system,0.7377904903441451,0.7778281167879083,0.74,7.0,Completed,3382.0,1236.0,0.4772934807978509,1.0,0.05
recommendation_system,0.7403928188422333,0.760709983577837,0.73,7.0,Completed,3584.0,1225.0,0.9329804888254872,21.0,0.05
recommendation_system,0.782331483823004,0.6844252769218137,0.73,6.0,Completed,2379.0,402.0,0.875313443746944,16.0,0.05
recommendation_system,0.7954868553017803,0.6447779705221476,0.73,11.0,Completed,814.0,297.0,0.864830593152706,14.0,0.025
recommendation_system,0.8086213352241132,0.6070816882439659,0.74,14.0,Completed,3054.0,294.0,0.6525789654458702,19.0,0.25
recommendation_system,0.8215758605096325,0.5866925839319896,0.73,16.0,Completed,3072.0,267.0,0.643584071798763,17.0,0.25
recommendation_system,0.8239427496209655,0.5005251770000634,0.73,29.0,Completed,3612.0,212.0,0.8051868441906492,21.0,0.1
recommendation_system,0.827928445989849,0.4415032528546244,0.74,35.0,Completed,4800.0,212.0,0.8101426966682719,23.0,0.1
recommendation_system,0.8317519114143377,0.3865650653288199,0.74,54.0,Completed,4783.0,141.0,0.9050871540509088,27.0,0.1
recommendation_system,0.8326659671367267,0.3481018384989267,0.73,83.0,Completed,4876.0,97.0,0.8919182206236902,20.0,0.1
