source,accuracy_estimation,runtime_estimation,ACCURACY,RUNTIME,Status,recent_samples_size,n_samples,feature_proportion,n_clusters,confidence
benchmark_pareto,0.58,130.0,0.58,67.0,Completed,2003.0,3291.0,0.418,24.0,0.1
benchmark_pareto,0.59,131.0,0.59,68.0,Completed,24.0,4326.0,0.103,3.0,0.025
benchmark_pareto,0.62,134.0,0.62,71.0,Completed,116.0,4226.0,0.9,5.0,0.005
benchmark_pareto,0.64,141.0,0.64,76.0,Completed,136.0,4476.0,0.958,1.0,0.1
benchmark_pareto,0.65,148.0,0.65,79.0,Completed,234.0,4417.0,0.194,7.0,0.25
benchmark_pareto,0.66,152.0,0.66,80.0,Completed,2328.0,4566.0,0.313,4.0,0.25
benchmark_pareto,0.67,163.0,0.67,84.0,Completed,2259.0,3045.0,0.074,47.0,0.05
benchmark_pareto,0.68,174.0,0.68,92.0,Completed,2456.0,3899.0,0.3,26.0,0.025
benchmark_pareto,0.69,185.0,0.69,99.0,Completed,283.0,2153.0,0.148,47.0,0.01
benchmark_pareto,0.7,206.0,0.7,114.0,Completed,282.0,1598.0,0.279,4.0,0.25
benchmark_pareto,0.71,216.0,0.71,131.0,Completed,2373.0,1754.0,0.201,13.0,0.01
benchmark_pareto,0.72,262.0,0.72,144.0,Completed,2486.0,1715.0,0.08,3.0,0.005
benchmark_pareto,0.73,297.0,0.73,169.0,Completed,279.0,894.0,0.096,31.0,0.005
benchmark_pareto,0.74,304.0,0.74,172.0,Completed,295.0,753.0,0.27,26.0,0.025
benchmark_pareto,0.75,391.0,0.75,278.0,Completed,2549.0,1074.0,0.894,31.0,0.05
benchmark_pareto,0.76,414.0,0.76,313.0,Completed,2505.0,843.0,0.069,14.0,0.25
benchmark_pareto,0.77,549.0,0.77,355.0,Completed,686.0,867.0,0.181,22.0,0.025
benchmark_pareto,0.78,648.0,0.78,404.0,Completed,2426.0,414.0,0.153,35.0,0.001
benchmark_pareto,0.79,817.0,0.79,487.0,Completed,212.0,191.0,0.178,28.0,0.05
benchmark_pareto,0.8,1042.0,0.8,714.0,Completed,2528.0,242.0,0.673,36.0,0.1
benchmark_pareto,0.82,1169.0,0.82,983.0,Completed,2191.0,56.0,0.526,25.0,0.25
benchmark_pareto,0.83,2339.0,0.83,1412.0,Completed,2382.0,53.0,0.708,14.0,0.1
benchmark_pareto,0.85,6834.0,0.85,5779.0,Completed,2386.0,8.0,0.137,7.0,0.1
benchmark_max_rt,,11263.0,,9622.0,Completed,4288.0,150.0,0.223,39.0,0.1
benchmark_min_acc,0.58,,0.58,,Completed,2067.0,1.0,0.001,1.0,0.001
paper_default,-1.0,-1.0,,,MAX_RT,1000.0,1000.0,0.9,7.0,0.05
paper_default,-1.0,-1.0,,,MAX_RT,2000.0,1000.0,0.9,7.0,0.05
recommendation_system,0.322031924,0.899621922,0.61,56.0,Completed,48.0,4793.0,0.384795282,34.0,0.05
recommendation_system,0.331393212,0.897056364,0.6,53.0,Completed,20.0,4652.0,0.260871373,11.0,0.05
recommendation_system,0.345094547,0.893007179,0.64,63.0,Completed,184.0,4567.0,0.390114443,35.0,0.05
recommendation_system,0.34568065,0.892758617,0.61,56.0,Completed,35.0,4863.0,0.220496395,49.0,0.05
recommendation_system,0.355029653,0.892028582,0.62,58.0,Completed,121.0,4676.0,0.24518438,10.0,0.05
recommendation_system,0.362575174,0.891689055,0.61,56.0,Completed,35.0,4863.0,0.220496395,49.0,0.1
recommendation_system,0.371452337,0.890587548,0.63,60.0,Completed,157.0,4962.0,0.303325589,20.0,0.05
recommendation_system,0.402194572,0.87906498,0.68,75.0,Completed,499.0,4669.0,0.269638284,12.0,0.025
recommendation_system,0.409372322,0.878750737,0.68,75.0,Completed,499.0,4669.0,0.269638284,12.0,0.05
recommendation_system,0.437134935,0.871208934,0.66,65.0,Completed,2257.0,4609.0,0.406052114,24.0,0.25
recommendation_system,0.607801312,0.845311032,0.69,90.0,Completed,68.0,441.0,0.259889615,7.0,0.25
recommendation_system,0.659689215,0.827983874,0.71,101.0,Completed,72.0,368.0,0.588875449,18.0,0.25
recommendation_system,0.674620626,0.8074787,0.74,148.0,Completed,137.0,343.0,0.394626324,11.0,0.25
recommendation_system,0.684369553,0.794702663,0.76,191.0,Completed,254.0,441.0,0.562838753,6.0,0.25
recommendation_system,0.74243902,0.770021602,0.72,118.0,Completed,33.0,134.0,0.436864238,3.0,0.25
recommendation_system,0.764118117,0.732435602,0.78,284.0,Completed,145.0,166.0,0.286085095,3.0,0.25
recommendation_system,0.764785846,0.718989393,0.77,226.0,Completed,108.0,156.0,0.275501593,5.0,0.25
recommendation_system,0.769842988,0.714350923,0.79,306.0,Completed,169.0,170.0,0.560711206,3.0,0.25
recommendation_system,0.808411787,0.644735476,0.8,467.0,Completed,92.0,62.0,0.264954928,5.0,0.25
recommendation_system,0.815409481,0.597733379,0.81,625.0,Completed,190.0,65.0,0.184481425,12.0,0.25
