source,accuracy_estimation,runtime_estimation,ACCURACY,RUNTIME,Status,recent_samples_size,n_samples,feature_proportion,n_clusters,confidence
benchmark_pareto,0.54,6.0,0.54,4.0,Completed,1.0,1994.0,0.001,1.0,0.01
benchmark_pareto,0.58,7.0,0.58,5.0,Completed,88.0,3365.0,0.089,15.0,0.001
benchmark_pareto,0.59,8.0,0.59,6.0,Completed,90.0,1476.0,0.189,21.0,0.25
benchmark_pareto,0.61,10.0,0.61,7.0,Completed,2296.0,1973.0,0.037,48.0,0.025
benchmark_pareto,0.62,15.0,0.62,8.0,Completed,127.0,744.0,0.895,31.0,0.1
benchmark_pareto,0.64,17.0,0.64,9.0,Completed,297.0,1039.0,0.869,34.0,0.025
benchmark_pareto,0.68,18.0,0.68,10.0,Completed,2127.0,444.0,0.237,44.0,0.05
benchmark_pareto,0.69,52.0,0.69,31.0,Completed,804.0,276.0,0.552,50.0,0.025
benchmark_pareto,0.7,62.0,0.7,32.0,Completed,2568.0,175.0,0.751,31.0,0.1
benchmark_pareto,0.72,63.0,0.72,33.0,Completed,2502.0,154.0,0.478,21.0,0.05
benchmark_pareto,0.73,75.0,0.73,40.0,Completed,2668.0,139.0,0.001,1.0,0.1
benchmark_pareto,0.74,87.0,0.74,49.0,Completed,2792.0,121.0,0.001,1.0,0.05
benchmark_pareto,0.78,100.0,0.78,54.0,Completed,2256.0,40.0,0.106,6.0,0.1
benchmark_max_rt,,772.0,,426.0,Completed,4632.0,87.0,0.518,36.0,0.005
benchmark_min_acc,0.48,,0.48,,Completed,962.0,4872.0,0.942,41.0,0.025
paper_default,-1.0,-1.0,0.6,9.0,Completed,1000.0,1000.0,0.9,6.0,0.05
paper_default,-1.0,-1.0,0.61,14.0,Completed,2000.0,1000.0,0.9,6.0,0.05
recommendation_system,0.4377119202535871,0.9879673495006184,0.55,2.0,Completed,100.0,4237.0,0.4440156346578151,48.0,0.05
recommendation_system,0.4402545267489712,0.9876909619240274,0.52,2.0,Completed,140.0,4796.0,0.5333208057247102,43.0,0.05
recommendation_system,0.4688197475253031,0.9848888857695126,0.56,3.0,Completed,835.0,4285.0,0.9333888054881244,44.0,0.1
recommendation_system,0.4719712851740629,0.9836552242999376,0.56,3.0,Completed,993.0,4170.0,0.8009531031902879,46.0,0.1
recommendation_system,0.4744755561116671,0.9832472925786916,0.56,3.0,Completed,2225.0,3053.0,0.8350145025867969,41.0,0.05
recommendation_system,0.4974117422978533,0.978362107425604,0.6,5.0,Completed,1500.0,2473.0,0.8996878766771406,50.0,0.25
recommendation_system,0.5249433906128351,0.966066023470807,0.62,9.0,Completed,1761.0,1595.0,0.8330846747945342,39.0,0.1
recommendation_system,0.5277168084751418,0.9574616385909962,0.61,7.0,Completed,3094.0,1503.0,0.9800869050733744,50.0,0.25
recommendation_system,0.5278509231453676,0.954119799991904,0.62,9.0,Completed,3733.0,1595.0,0.7512194993521546,33.0,0.1
recommendation_system,0.5288627349571795,0.9518496426091404,0.62,9.0,Completed,3708.0,1550.0,0.761725337954238,34.0,0.1
recommendation_system,0.5310501140028918,0.9500400449302864,0.63,14.0,Completed,1838.0,949.0,0.7355097384694964,29.0,0.1
recommendation_system,0.6212249999999998,0.7307931363588043,0.68,18.0,Completed,2914.0,397.0,0.2033618803201311,23.0,0.25
recommendation_system,0.6545033755978199,0.6431790403039228,0.71,23.0,Completed,2893.0,260.0,0.1904008932430297,20.0,0.25
recommendation_system,0.6713098487376262,0.5990958894494527,0.72,26.0,Completed,2851.0,208.0,0.14956643655159,23.0,0.25
recommendation_system,0.6873733844956064,0.578776972407168,0.71,27.0,Completed,2870.0,193.0,0.164572386689843,22.0,0.25
recommendation_system,0.6919713658102544,0.5609867339081972,0.71,29.0,Completed,2788.0,168.0,0.2220116480251816,23.0,0.25
recommendation_system,0.698286658881103,0.5499135222804925,0.71,30.0,Completed,2792.0,155.0,0.1827562901178143,22.0,0.25
recommendation_system,0.7004396674452226,0.5365945935434409,0.74,30.0,Completed,2672.0,135.0,0.1948060277331387,22.0,0.25
recommendation_system,0.7130559615170722,0.5288885234870015,0.72,36.0,Completed,2787.0,123.0,0.1500577788800001,22.0,0.25
recommendation_system,0.7442764180847509,0.4920572531816976,0.73,45.0,Completed,3069.0,118.0,0.2071370764488691,22.0,0.25
