source,accuracy_estimation,runtime_estimation,ACCURACY,RUNTIME,Status,recent_samples_size,n_samples,feature_proportion,n_clusters,confidence
benchmark_pareto,0.74,3.0,0.74,2.0,Completed,1738.0,4428.0,0.955,11.0,0.01
benchmark_pareto,0.75,6.0,0.75,3.0,Completed,2759.0,663.0,0.541,1.0,0.25
benchmark_max_rt,,837.0,,338.0,Completed,3655.0,3204.0,0.066,42.0,0.005
benchmark_min_acc,0.71,,0.71,,Completed,4381.0,65.0,0.541,2.0,0.25
paper_default,-1.0,-1.0,0.75,4.0,Completed,365.0,365.0,0.9,2.0,0.05
paper_default,-1.0,-1.0,0.74,10.0,Completed,2000.0,365.0,0.9,2.0,0.05
paper_default,-1.0,-1.0,0.74,3.0,Completed,1000.0,1000.0,0.9,2.0,0.05
paper_default,-1.0,-1.0,0.75,5.0,Completed,2000.0,1000.0,0.9,2.0,0.05
recommendation_system,0.2942265396975921,0.9197366754509504,0.72,1.0,Completed,317.0,4954.0,0.3905468519896519,34.0,0.05
recommendation_system,0.3514022917654495,0.918351108119106,0.73,2.0,Completed,3309.0,4994.0,0.4265037349648773,31.0,0.05
recommendation_system,0.3537889020599544,0.9135719584033036,0.73,2.0,Completed,1340.0,4946.0,0.4089397752918303,32.0,0.25
recommendation_system,0.377074798482693,0.9114617537624472,0.74,2.0,Completed,3636.0,4437.0,0.2743025486283004,28.0,0.1
recommendation_system,0.3807841657446918,0.9074669059321276,0.73,2.0,Completed,3691.0,4791.0,0.2192848522849381,31.0,0.25
recommendation_system,0.3884555766292602,0.9066486730647978,0.73,1.0,Completed,4820.0,4951.0,0.4780089520439505,23.0,0.05
recommendation_system,0.4254524340129598,0.8868941841417918,0.74,2.0,Completed,3490.0,3441.0,0.5318996735755355,28.0,0.05
recommendation_system,0.4288919208682367,0.8835825527552259,0.74,2.0,Completed,3453.0,3341.0,0.4841471500322222,17.0,0.1
recommendation_system,0.4374583847004897,0.8793746348522711,0.74,2.0,Completed,3327.0,3482.0,0.6352680511176586,27.0,0.25
recommendation_system,0.4385299378325689,0.8788800571065957,0.74,2.0,Completed,3490.0,3441.0,0.5318996735755355,28.0,0.25
recommendation_system,0.4420679389916228,0.8781726224042279,0.74,2.0,Completed,3729.0,3333.0,0.4205945763513445,23.0,0.05
recommendation_system,0.4488334228965804,0.8754730119716794,0.74,2.0,Completed,3729.0,3333.0,0.4205945763513445,23.0,0.1
recommendation_system,0.451444296928507,0.872187276462974,0.74,2.0,Completed,3589.0,3350.0,0.5080356824211699,25.0,0.25
recommendation_system,0.4585768083873343,0.8649633531401403,0.74,2.0,Completed,3734.0,3139.0,0.1846289703175425,24.0,0.1
recommendation_system,0.4701290659080134,0.8587621584723144,0.74,2.0,Completed,4599.0,3335.0,0.2004515933189541,25.0,0.25
recommendation_system,0.5976951891076053,0.8005328793986072,0.75,3.0,Completed,450.0,496.0,0.7942619834318757,14.0,0.1
recommendation_system,0.6024546416263289,0.7923121508926836,0.75,3.0,Completed,510.0,531.0,0.3155006787572056,18.0,0.1
recommendation_system,0.6050964595457128,0.790696567889109,0.75,4.0,Completed,450.0,496.0,0.7942619834318757,14.0,0.025
recommendation_system,0.6699741911077434,0.7009433406773227,0.75,5.0,Completed,540.0,305.0,0.2678921491028536,23.0,0.1
recommendation_system,0.7283809072230121,0.6011797549183235,0.75,8.0,Completed,3294.0,305.0,0.6568005853753807,25.0,0.25
