source,accuracy_estimation,runtime_estimation,ACCURACY,RUNTIME,Status,recent_samples_size,n_samples,feature_proportion,n_clusters,confidence
benchmark_pareto,0.55,0.0,0.55,0.0,Completed,3003.0,3236.0,0.766,45.0,0.01
benchmark_pareto,0.57,1.0,0.57,1.0,Completed,2556.0,297.0,0.999,50.0,0.1
benchmark_pareto,0.58,3.0,0.58,2.0,Completed,2838.0,131.0,0.62,25.0,0.25
benchmark_max_rt,,25.0,,20.0,Completed,2430.0,114.0,0.931,48.0,0.001
benchmark_min_acc,0.55,,0.55,,Completed,2732.0,785.0,0.466,47.0,0.1
paper_default,-1.0,-1.0,0.55,0.0,Completed,1000.0,1000.0,0.9,40.0,0.05
paper_default,-1.0,-1.0,0.55,0.0,Completed,2000.0,1000.0,0.9,40.0,0.05
recommendation_system,0.2172974045683108,0.8963640290474094,0.55,0.0,Completed,41.0,4477.0,0.3677166371140629,1.0,0.05
recommendation_system,0.2429332989422171,0.8940353369822458,0.55,0.0,Completed,191.0,4902.0,0.3740854127332568,5.0,0.05
recommendation_system,0.2628934283698902,0.8905439469821134,0.55,0.0,Completed,2353.0,4922.0,0.3454617582391947,23.0,0.01
recommendation_system,0.2813410903593649,0.8902085086683366,0.55,0.0,Completed,2260.0,4955.0,0.6579743798337877,31.0,0.25
recommendation_system,0.2869090709130178,0.8901469026417933,0.55,0.0,Completed,2557.0,4972.0,0.6718469494301825,23.0,0.25
recommendation_system,0.2940913493903257,0.8891239558278283,0.55,0.0,Completed,2276.0,4990.0,0.1170216472130268,9.0,0.25
recommendation_system,0.3076269703914439,0.8890526229164706,0.55,0.0,Completed,2154.0,4777.0,0.0455215525962412,8.0,0.25
recommendation_system,0.3229932395846135,0.8884708558786814,0.55,0.0,Completed,3186.0,4986.0,0.5977511213961989,26.0,0.25
recommendation_system,0.3230277572894531,0.8864291842911239,0.55,0.0,Completed,3220.0,4866.0,0.808970159811899,4.0,0.005
recommendation_system,0.3269166845207779,0.8858220288784454,0.55,0.0,Completed,3220.0,4866.0,0.808970159811899,4.0,0.001
recommendation_system,0.6691043675729458,0.7165833202109447,0.56,0.0,Completed,450.0,379.0,0.7942619834318757,14.0,0.025
recommendation_system,0.7002916352450607,0.6712077772002047,0.56,1.0,Completed,919.0,442.0,0.7257956683319062,11.0,0.01
recommendation_system,0.716593478645989,0.64921197936443,0.56,0.0,Completed,286.0,236.0,0.5129668462146073,15.0,0.1
recommendation_system,0.7653052985045586,0.5897317699931119,0.57,1.0,Completed,1863.0,210.0,0.2037265384598042,17.0,0.25
recommendation_system,0.7894717187097035,0.539001837729248,0.57,2.0,Completed,1838.0,142.0,0.2896741352809971,16.0,0.25
recommendation_system,0.8004906760604303,0.5085746034241095,0.58,2.0,Completed,1706.0,115.0,0.2516333078633914,17.0,0.25
recommendation_system,0.815991891880378,0.4534313595073625,0.58,1.0,Completed,681.0,102.0,0.4584397058095783,23.0,0.1
recommendation_system,0.8181377333219306,0.4159638177248725,0.58,2.0,Completed,1153.0,118.0,0.4929485237141523,18.0,0.1
recommendation_system,0.8276017989725626,0.3794491516225767,0.56,2.0,Completed,1020.0,78.0,0.5017206320222467,26.0,0.1
recommendation_system,0.844031607605571,0.3539354275312471,0.55,2.0,Completed,944.0,53.0,0.6714713992867619,20.0,0.1
