source,accuracy_estimation,runtime_estimation,ACCURACY,RUNTIME,Status,recent_samples_size,n_samples,feature_proportion,n_clusters,confidence
benchmark_pareto,0.91,0.0,0.91,0.0,Completed,4453.0,3283.0,0.273,27.0,0.001
benchmark_pareto,0.92,2.0,0.92,2.0,Completed,2788.0,112.0,0.055,6.0,0.1
benchmark_max_rt,,66.0,,35.0,Completed,3245.0,106.0,0.849,48.0,0.001
benchmark_min_acc,0.9,,0.9,,Completed,2161.0,150.0,0.746,17.0,0.025
paper_default,-1.0,-1.0,0.91,0.0,Completed,365.0,365.0,0.9,2.0,0.05
paper_default,-1.0,-1.0,0.91,0.0,Completed,2000.0,365.0,0.9,2.0,0.05
paper_default,-1.0,-1.0,0.91,0.0,Completed,1000.0,1000.0,0.9,2.0,0.05
paper_default,-1.0,-1.0,0.91,0.0,Completed,2000.0,1000.0,0.9,2.0,0.05
recommendation_system,0.3399230231693683,0.912899352761346,0.91,0.0,Completed,59.0,4680.0,0.8601633348856121,20.0,0.1
recommendation_system,0.3548780744194486,0.9116481113269056,0.91,0.0,Completed,221.0,4680.0,0.8305347359422461,2.0,0.1
recommendation_system,0.359434463410779,0.9104308789783075,0.91,0.0,Completed,187.0,4554.0,0.920240374404937,22.0,0.005
recommendation_system,0.3640732142961674,0.9092879380533436,0.91,0.0,Completed,187.0,4554.0,0.920240374404937,22.0,0.1
recommendation_system,0.3644132786295067,0.9085608215044798,0.91,0.0,Completed,251.0,4383.0,0.7969762397203595,14.0,0.1
recommendation_system,0.3729950709481409,0.907575337852999,0.91,0.0,Completed,257.0,4434.0,0.9234809215776624,23.0,0.1
recommendation_system,0.382471307857565,0.9050316590679366,0.91,0.0,Completed,375.0,4419.0,0.9888480492066593,20.0,0.01
recommendation_system,0.384869596789772,0.9040174393074516,0.91,0.0,Completed,2363.0,4694.0,0.6797758439891041,10.0,0.025
recommendation_system,0.3849945748379956,0.90299435026023,0.91,0.0,Completed,489.0,4697.0,0.78497124790214,9.0,0.1
recommendation_system,0.3912225563282578,0.9017575422525969,0.91,0.0,Completed,375.0,4419.0,0.9888480492066593,20.0,0.1
recommendation_system,0.7943366596273028,0.6912710925881147,0.91,0.0,Completed,2755.0,459.0,0.8134502250499995,9.0,0.05
recommendation_system,0.7982737504338382,0.681753636972294,0.91,0.0,Completed,2726.0,426.0,0.859153278706015,7.0,0.05
recommendation_system,0.8007671727845698,0.6697669982190143,0.91,0.0,Completed,3005.0,459.0,0.9089101782981172,9.0,0.05
recommendation_system,0.8013151894584645,0.6644691400482581,0.91,0.0,Completed,3647.0,722.0,0.7409245350062847,4.0,0.05
recommendation_system,0.8013205799366612,0.6556082744646916,0.91,0.0,Completed,4153.0,794.0,0.4597824668269604,7.0,0.05
recommendation_system,0.8060392685824583,0.6546004248229432,0.91,0.0,Completed,3812.0,726.0,0.4043147529400885,1.0,0.05
recommendation_system,0.8084401508671029,0.6468483125109343,0.91,0.0,Completed,3268.0,459.0,0.7947179161735933,4.0,0.05
recommendation_system,0.8113403164388376,0.6385441201856364,0.91,0.0,Completed,3268.0,426.0,0.7947179161735933,7.0,0.05
recommendation_system,0.8153296177098727,0.6330159906825514,0.91,0.0,Completed,3192.0,380.0,0.8573023300684958,8.0,0.05
recommendation_system,0.8257729972761724,0.5888220687069682,0.91,0.0,Completed,4927.0,463.0,0.8187975050900131,30.0,0.005
