source,accuracy_estimation,runtime_estimation,ACCURACY,RUNTIME,Status,recent_samples_size,n_samples,feature_proportion,n_clusters,confidence
benchmark_pareto,0.32,20.0,0.32,10.0,Completed,1.0,5000.0,0.001,1.0,0.01
benchmark_pareto,0.34,23.0,0.34,12.0,Completed,2083.0,3914.0,0.649,36.0,0.005
benchmark_pareto,0.37,24.0,0.37,13.0,Completed,154.0,4012.0,0.689,45.0,0.025
benchmark_pareto,0.39,25.0,0.39,14.0,Completed,2283.0,4987.0,0.417,27.0,0.025
benchmark_pareto,0.41,27.0,0.41,15.0,Completed,458.0,4419.0,0.392,12.0,0.25
benchmark_pareto,0.44,28.0,0.44,17.0,Completed,612.0,4664.0,0.829,2.0,0.1
benchmark_pareto,0.45,32.0,0.45,18.0,Completed,2791.0,4660.0,0.943,2.0,0.025
benchmark_pareto,0.47,33.0,0.47,19.0,Completed,2102.0,640.0,0.147,3.0,0.01
benchmark_pareto,0.49,36.0,0.49,20.0,Completed,2054.0,367.0,0.677,32.0,0.025
benchmark_pareto,0.5,40.0,0.5,24.0,Completed,3058.0,3142.0,0.048,33.0,0.05
benchmark_pareto,0.52,42.0,0.52,25.0,Completed,2165.0,567.0,0.851,1.0,0.005
benchmark_pareto,0.53,44.0,0.53,27.0,Completed,3508.0,3366.0,0.693,25.0,0.05
benchmark_pareto,0.54,47.0,0.54,29.0,Completed,1599.0,3139.0,0.132,31.0,0.25
benchmark_pareto,0.55,48.0,0.55,30.0,Completed,175.0,414.0,0.472,16.0,0.05
benchmark_pareto,0.59,52.0,0.59,33.0,Completed,82.0,171.0,0.87,14.0,0.01
benchmark_pareto,0.6,60.0,0.6,35.0,Completed,75.0,146.0,0.665,45.0,0.25
benchmark_pareto,0.61,79.0,0.61,47.0,Completed,329.0,361.0,0.008,8.0,0.25
benchmark_pareto,0.62,80.0,0.62,48.0,Completed,244.0,257.0,0.216,33.0,0.1
benchmark_pareto,0.64,197.0,0.63,95.0,Completed,2203.0,127.0,0.732,30.0,0.005
benchmark_max_rt,,1938.0,,980.0,Completed,1166.0,84.0,0.764,50.0,0.005
benchmark_min_acc,0.3,,0.3,,Completed,21.0,2629.0,0.965,31.0,0.01
paper_default,-1.0,-1.0,0.6,42.0,Completed,1000.0,1000.0,0.9,10.0,0.05
paper_default,-1.0,-1.0,0.61,71.0,Completed,2000.0,1000.0,0.9,10.0,0.05
recommendation_system,0.2875207274525987,0.9414075833928842,0.31,10.0,Completed,12.0,4342.0,0.5175193949405507,18.0,0.025
recommendation_system,0.2898039685884714,0.9401387419708596,0.34,11.0,Completed,92.0,4256.0,0.5454268943214718,25.0,0.01
recommendation_system,0.3063393081678167,0.938747390286443,0.37,11.0,Completed,145.0,4270.0,0.4872717345158305,18.0,0.01
recommendation_system,0.3172718215291313,0.9361061463677652,0.37,11.0,Completed,145.0,4270.0,0.4872717345158305,18.0,0.05
recommendation_system,0.3227120704037369,0.9310726744569608,0.39,12.0,Completed,274.0,4282.0,0.5176657061405056,17.0,0.05
recommendation_system,0.3763855703656871,0.8896331208122236,0.43,14.0,Completed,482.0,3425.0,0.4662530852483156,28.0,0.1
recommendation_system,0.4207700719725569,0.8622707108186969,0.51,22.0,Completed,1249.0,3221.0,0.5743692285589519,25.0,0.25
recommendation_system,0.423746276247007,0.8523501149385309,0.51,22.0,Completed,1259.0,3094.0,0.5511394845955785,5.0,0.25
recommendation_system,0.4448159776735797,0.8339808856067159,0.51,22.0,Completed,1018.0,2607.0,0.490937920862665,1.0,0.1
recommendation_system,0.4905532962512416,0.8043841003441905,0.45,15.0,Completed,54.0,552.0,0.2301614049747194,22.0,0.25
recommendation_system,0.5107091950137271,0.7995930616443027,0.48,17.0,Completed,71.0,483.0,0.6759444010443946,9.0,0.1
recommendation_system,0.5169073381861391,0.7941356416729477,0.48,17.0,Completed,71.0,483.0,0.6759444010443946,9.0,0.05
recommendation_system,0.5332751419323052,0.7935603913605729,0.48,17.0,Completed,71.0,483.0,0.6759444010443946,9.0,0.025
recommendation_system,0.553925425973171,0.7712635986008239,0.5,18.0,Completed,86.0,457.0,0.7544666287172809,11.0,0.25
recommendation_system,0.5860908819095442,0.7624948073118781,0.55,25.0,Completed,212.0,471.0,0.6963025921420769,14.0,0.025
recommendation_system,0.6753762144505324,0.6592815780165424,0.59,27.0,Completed,82.0,184.0,0.417325957971062,3.0,0.1
recommendation_system,0.702197693351202,0.6461189777436341,0.61,30.0,Completed,88.0,150.0,0.6637710321297629,3.0,0.025
recommendation_system,0.7126162923680389,0.622338040016127,0.62,37.0,Completed,117.0,155.0,0.3706376345649624,11.0,0.025
recommendation_system,0.7628638709643422,0.5673306964465353,0.67,40.0,Completed,39.0,54.0,0.2022320731390837,23.0,0.25
recommendation_system,0.782879355908477,0.5318396565927213,0.65,78.0,Completed,120.0,61.0,0.2629927950685846,19.0,0.25
