source,accuracy_estimation,runtime_estimation,ACCURACY,RUNTIME,Status,recent_samples_size,n_reference_samples,recent_samples_proportion,threshold
benchmark_pareto,0.58,41.0,0.58,25.0,Completed,2013.0,4451.0,0.159,0.056
benchmark_pareto,0.61,50.0,0.6,31.0,Completed,2021.0,3299.0,0.075,0.521
benchmark_pareto,0.63,55.0,0.62,34.0,Completed,2092.0,2889.0,0.023,0.434
benchmark_pareto,0.65,61.0,0.64,40.0,Completed,187.0,4443.0,0.753,0.347
benchmark_pareto,0.66,63.0,0.66,41.0,Completed,275.0,4459.0,0.223,0.409
benchmark_pareto,0.67,80.0,0.67,44.0,Completed,416.0,4112.0,0.275,0.423
benchmark_pareto,0.68,88.0,0.68,51.0,Completed,408.0,3678.0,0.016,0.142
benchmark_pareto,0.69,99.0,0.69,63.0,Completed,2247.0,1883.0,0.649,0.391
benchmark_pareto,0.7,114.0,0.7,75.0,Completed,495.0,2816.0,0.052,0.299
benchmark_pareto,0.71,141.0,0.71,95.0,Completed,2291.0,1263.0,0.776,0.267
benchmark_pareto,0.72,159.0,0.72,112.0,Completed,592.0,2005.0,0.091,0.012
benchmark_pareto,0.73,189.0,0.73,130.0,Completed,665.0,1812.0,0.579,0.3
benchmark_pareto,0.74,221.0,0.74,137.0,Completed,2320.0,826.0,0.378,0.147
benchmark_pareto,0.75,271.0,0.75,158.0,Completed,350.0,798.0,0.742,0.077
benchmark_pareto,0.77,356.0,0.77,232.0,Completed,2299.0,444.0,0.552,0.15
benchmark_pareto,0.78,442.0,0.78,192.0,Completed,2120.0,147.0,0.12,0.601
benchmark_pareto,0.8,559.0,0.8,388.0,Completed,113.0,104.0,0.763,0.163
benchmark_pareto,0.81,955.0,0.81,830.0,Completed,2442.0,135.0,0.25,0.464
benchmark_pareto,0.82,1203.0,0.82,978.0,Completed,622.0,129.0,0.921,0.264
benchmark_pareto,0.83,1361.0,0.83,1108.0,Completed,2578.0,86.0,0.934,0.655
benchmark_pareto,0.85,5798.0,0.85,4411.0,Completed,2535.0,12.0,0.937,0.917
benchmark_max_rt,,13064.0,,8100.0,Completed,4826.0,21.0,0.625,0.358
benchmark_min_acc,0.51,,0.51,,Completed,1910.0,2091.0,0.17,0.93
paper_default,-1.0,-1.0,0.79,373.0,Completed,100.0,100.0,0.1,0.7
paper_default,-1.0,-1.0,0.78,360.0,Completed,500.0,500.0,0.1,0.7
paper_default,-1.0,-1.0,0.79,257.0,Completed,100.0,100.0,0.3,0.7
paper_default,-1.0,-1.0,0.77,229.0,Completed,500.0,500.0,0.3,0.7
paper_default,-1.0,-1.0,0.79,259.0,Completed,100.0,100.0,0.1,0.8
paper_default,-1.0,-1.0,0.78,355.0,Completed,500.0,500.0,0.1,0.8
paper_default,-1.0,-1.0,0.79,366.0,Completed,100.0,100.0,0.3,0.8
paper_default,-1.0,-1.0,0.74,174.0,Completed,500.0,500.0,0.3,0.8
recommendation_system,0.3279338644239151,0.9372527343964264,0.61,27.0,Completed,56.0,4603.0,0.1866842688815668,0.1348839163044467
recommendation_system,0.3386112659426312,0.9330464490780532,0.61,27.0,Completed,54.0,4531.0,0.1988871519906636,0.2053876625463284
recommendation_system,0.3507909530362285,0.9316997140824032,0.64,30.0,Completed,126.0,4632.0,0.1978928030387212,0.1399412381458309
recommendation_system,0.360928937160285,0.9271398049763244,0.63,34.0,Completed,204.0,4761.0,0.1737915230132639,0.1136134981149807
recommendation_system,0.3859269451985455,0.9167952749130412,0.65,36.0,Completed,268.0,4995.0,0.1159015411431342,0.1930487444375159
recommendation_system,0.4875673499472432,0.8569565696506399,0.68,47.0,Completed,262.0,2234.0,0.4502077602725476,0.236741218230687
recommendation_system,0.5487949817905854,0.8301051485646304,0.66,38.0,Completed,58.0,769.0,0.1118461460554538,0.1671142684970593
recommendation_system,0.5965460286402279,0.8101787796654921,0.67,44.0,Completed,45.0,472.0,0.433268960338004,0.296072120045764
recommendation_system,0.6590349204840329,0.7719147607139836,0.7,63.0,Completed,70.0,370.0,0.1520756172966212,0.3897299428107216
recommendation_system,0.7161463984483039,0.7146653472405969,0.71,76.0,Completed,38.0,164.0,0.096150194206275,0.3270332245221361
recommendation_system,0.7340950984428125,0.6920154657850116,0.76,141.0,Completed,130.0,238.0,0.1074254476120695,0.3864321621805429
recommendation_system,0.7502087677193201,0.672537528159846,0.75,132.0,Completed,60.0,124.0,0.4358060503092009,0.3416132412497487
recommendation_system,0.7578947385887224,0.6580264981379244,0.77,191.0,Completed,179.0,237.0,0.3739834126970983,0.423932705972286
recommendation_system,0.7637205872946027,0.6528590445994308,0.78,214.0,Completed,152.0,181.0,0.4447422671802342,0.3031645610975101
recommendation_system,0.7643428300445766,0.6432367169029984,0.79,230.0,Completed,215.0,237.0,0.4321589149512244,0.4062056665343306
recommendation_system,0.8008022098132399,0.5585729318349659,0.81,478.0,Completed,289.0,130.0,0.3720846772245905,0.2021310512122874
recommendation_system,0.8070782787028591,0.5553416992688069,0.8,464.0,Completed,98.0,57.0,0.4321589149512244,0.2179713650081181
recommendation_system,0.8145595839628363,0.527401569533783,0.81,519.0,Completed,126.0,57.0,0.3910340201420753,0.2179713650081181
recommendation_system,0.8174522325396482,0.4979921210797579,0.82,548.0,Completed,179.0,57.0,0.38691360938343,0.1687888081301433
recommendation_system,0.8257190764106969,0.483782136708978,0.82,824.0,Completed,182.0,48.0,0.3967973883850977,0.2270603889976485
