source,accuracy_estimation,runtime_estimation,ACCURACY,RUNTIME,Status,recent_samples_size,n_reference_samples,recent_samples_proportion,threshold
benchmark_pareto,0.74,1.0,0.74,1.0,Completed,2245.0,4845.0,0.738,0.228
benchmark_pareto,0.75,2.0,0.75,2.0,Completed,3425.0,2019.0,0.133,0.456
benchmark_max_rt,,625.0,,352.0,Completed,1935.0,11.0,0.249,0.692
benchmark_min_acc,0.7,,0.7,,Completed,3906.0,14.0,0.37,0.464
paper_default,-1.0,-1.0,0.75,2.0,Completed,100.0,100.0,0.1,0.7
paper_default,-1.0,-1.0,0.75,2.0,Completed,500.0,500.0,0.1,0.7
paper_default,-1.0,-1.0,0.75,2.0,Completed,100.0,100.0,0.3,0.7
paper_default,-1.0,-1.0,0.74,2.0,Completed,500.0,500.0,0.3,0.7
paper_default,-1.0,-1.0,0.75,2.0,Completed,100.0,100.0,0.1,0.8
paper_default,-1.0,-1.0,0.75,2.0,Completed,500.0,500.0,0.1,0.8
paper_default,-1.0,-1.0,0.74,2.0,Completed,100.0,100.0,0.3,0.8
paper_default,-1.0,-1.0,0.74,2.0,Completed,500.0,500.0,0.3,0.8
recommendation_system,0.3942806382796327,0.8468642160690617,0.74,1.0,Completed,1700.0,4542.0,0.4621827404187658,0.3196626648993699
recommendation_system,0.3976807976473912,0.8443516504430608,0.74,1.0,Completed,1743.0,4542.0,0.4441194119417938,0.3064034451007608
recommendation_system,0.3984082060291713,0.8419409850047032,0.74,1.0,Completed,1743.0,4542.0,0.4621827404187658,0.3383637731302324
recommendation_system,0.4201700597059775,0.8325360723367085,0.74,1.0,Completed,1589.0,4431.0,0.4686221913908296,0.2919581310084416
recommendation_system,0.4202640246098188,0.8268110716519111,0.74,1.0,Completed,1720.0,3881.0,0.3856141873914748,0.3074523495268076
recommendation_system,0.431343976583225,0.818675341067912,0.74,1.0,Completed,1636.0,2779.0,0.1549181228261441,0.4156518051102757
recommendation_system,0.4377813162759946,0.8145197811304008,0.74,1.0,Completed,1664.0,2735.0,0.3054170748703181,0.3075374434422702
recommendation_system,0.4539744450933652,0.8142150547079707,0.74,1.0,Completed,1660.0,2678.0,0.1666970662716776,0.3403937562145293
recommendation_system,0.4564502933392817,0.8041846792489793,0.74,1.0,Completed,1897.0,2608.0,0.1045494354069233,0.2989547565449029
recommendation_system,0.4588260840818727,0.8026682680324511,0.74,1.0,Completed,1624.0,2597.0,0.186907014330849,0.2816325270924717
recommendation_system,0.4635894337837321,0.7998376061505105,0.74,1.0,Completed,1677.0,2246.0,0.1982844087798148,0.3491826846934855
recommendation_system,0.4643259890774466,0.7892495937342846,0.74,1.0,Completed,1605.0,2284.0,0.2178512574054087,0.3156669964950903
recommendation_system,0.4711534740454544,0.7832346861652244,0.74,1.0,Completed,1633.0,2195.0,0.2423887509796768,0.2067223713304847
recommendation_system,0.4741826055575578,0.7808287155137383,0.74,1.0,Completed,1597.0,2458.0,0.1737649669363125,0.3446908954508984
recommendation_system,0.4802149243057337,0.774481919475123,0.74,1.0,Completed,4502.0,3484.0,0.4379853497557342,0.3275410235133022
recommendation_system,0.4808894968915749,0.7715139258218661,0.74,1.0,Completed,1278.0,2187.0,0.1910129165817052,0.2964508361089975
recommendation_system,0.4810763767666594,0.7644642113494471,0.74,1.0,Completed,3590.0,2987.0,0.1392588654347438,0.3676180645791155
recommendation_system,0.4896284768613517,0.760153609422828,0.74,1.0,Completed,3543.0,2623.0,0.1189684688858687,0.4339246722366661
recommendation_system,0.5003132588232844,0.7554734160834911,0.74,1.0,Completed,3909.0,2674.0,0.1962834715878337,0.4276847097735484
recommendation_system,0.5012492610104856,0.7516654121340234,0.74,1.0,Completed,3909.0,2674.0,0.1962834715878337,0.3900239555053605
