source,accuracy_estimation,runtime_estimation,ACCURACY,RUNTIME,Status,recent_samples_size,n_reference_samples,recent_samples_proportion,threshold
benchmark_pareto,0.06,124.0,0.06,87.0,Completed,1.0,895.0,0.999,0.999
benchmark_pareto,0.11,165.0,0.11,107.0,Completed,5000.0,1661.0,0.999,0.999
benchmark_pareto,0.13,193.0,0.13,132.0,Completed,4744.0,490.0,0.855,0.994
benchmark_pareto,0.16,217.0,0.16,151.0,Completed,604.0,509.0,0.571,0.967
benchmark_pareto,0.18,232.0,0.17,155.0,Completed,4575.0,788.0,0.558,0.978
benchmark_pareto,0.2,394.0,0.2,216.0,Completed,1516.0,2461.0,0.34,0.516
benchmark_pareto,0.21,397.0,0.21,245.0,Completed,1888.0,2721.0,0.01,0.333
benchmark_pareto,0.23,418.0,0.23,260.0,Completed,3520.0,1902.0,0.548,0.513
benchmark_pareto,0.24,430.0,0.24,293.0,Completed,3370.0,1638.0,0.613,0.714
benchmark_pareto,0.26,436.0,0.26,302.0,Completed,2974.0,1184.0,0.519,0.103
benchmark_pareto,0.29,464.0,0.29,323.0,Completed,2751.0,813.0,0.854,0.079
benchmark_pareto,0.3,499.0,0.3,367.0,Completed,2293.0,342.0,0.986,0.512
benchmark_pareto,0.35,500.0,0.34,381.0,Completed,484.0,385.0,0.3,0.418
benchmark_pareto,0.36,579.0,0.36,430.0,Completed,567.0,389.0,0.832,0.136
benchmark_pareto,0.37,652.0,0.37,488.0,Completed,617.0,369.0,0.788,0.051
benchmark_pareto,0.38,681.0,0.38,527.0,Completed,534.0,292.0,0.804,0.044
benchmark_pareto,0.39,799.0,0.39,545.0,Completed,2501.0,262.0,0.425,0.438
benchmark_pareto,0.44,979.0,0.44,799.0,Completed,367.0,132.0,0.433,0.172
benchmark_pareto,0.46,1225.0,0.46,801.0,Completed,2432.0,138.0,0.568,0.001
benchmark_pareto,0.55,3296.0,0.55,2649.0,Completed,2359.0,49.0,0.553,0.15
benchmark_max_rt,,14025.0,,8394.0,Completed,3704.0,110.0,0.936,0.195
benchmark_min_acc,0.03,,0.03,,Completed,116.0,4558.0,0.295,0.607
paper_default,-1.0,-1.0,0.17,851.0,Completed,100.0,100.0,0.1,0.7
paper_default,-1.0,-1.0,0.17,412.0,Completed,500.0,500.0,0.1,0.7
paper_default,-1.0,-1.0,0.15,461.0,Completed,100.0,100.0,0.3,0.7
paper_default,-1.0,-1.0,0.18,355.0,Completed,500.0,500.0,0.3,0.7
paper_default,-1.0,-1.0,0.11,956.0,Completed,100.0,100.0,0.1,0.8
paper_default,-1.0,-1.0,0.16,378.0,Completed,500.0,500.0,0.1,0.8
paper_default,-1.0,-1.0,0.12,397.0,Completed,100.0,100.0,0.3,0.8
paper_default,-1.0,-1.0,0.16,304.0,Completed,500.0,500.0,0.3,0.8
recommendation_system,0.4687940792050364,0.9710146331962622,0.03,401.0,Completed,54.0,4847.0,0.0838909123260527,0.2995357247684151
recommendation_system,0.477239815074412,0.969601515276148,0.03,368.0,Completed,128.0,4747.0,0.4157913690954447,0.2940457432884722
recommendation_system,0.4914312251651274,0.9627899487195004,0.05,273.0,Completed,353.0,4841.0,0.099006736818701,0.3339248545244336
recommendation_system,0.5083061243263869,0.9579302584616232,0.14,208.0,Completed,1809.0,4919.0,0.1779496240793337,0.197021735995136
recommendation_system,0.5213840270121437,0.9546807596711224,0.14,211.0,Completed,1894.0,4925.0,0.399566513619827,0.1239056718402799
recommendation_system,0.5558984293510087,0.907428515449827,0.24,254.0,Completed,1826.0,2141.0,0.0737157373875849,0.3911842663228094
recommendation_system,0.5598977626173623,0.8974186343963705,0.15,221.0,Completed,4483.0,4570.0,0.4110139190744278,0.3060837184364807
recommendation_system,0.564010659160354,0.8972255978347039,0.16,217.0,Completed,4977.0,4590.0,0.3953609596472233,0.2937639217432588
recommendation_system,0.5641544617887202,0.8943539316395926,0.19,231.0,Completed,1262.0,2180.0,0.1021829585061749,0.4391613489721855
recommendation_system,0.5646769844250255,0.8918468859136912,0.23,233.0,Completed,1546.0,2083.0,0.1733217268567532,0.3985794665366411
recommendation_system,0.5736215609392956,0.8895023182738595,0.21,224.0,Completed,1308.0,2055.0,0.1153163745161146,0.3867525229919701
recommendation_system,0.5806306223582183,0.8711384724750523,0.25,261.0,Completed,1496.0,1649.0,0.5301910445632579,0.2743908492048216
recommendation_system,0.6095162128523901,0.8320425209150801,0.24,301.0,Completed,4931.0,2116.0,0.1774989614393562,0.3531304625738412
recommendation_system,0.6720986886489916,0.717213436436775,0.31,337.0,Completed,2408.0,436.0,0.4222219018098885,0.2160987043247794
recommendation_system,0.6745555065913261,0.6975319371682973,0.33,350.0,Completed,2420.0,394.0,0.3518846172727644,0.2614597323350608
recommendation_system,0.681178447238668,0.675207036773468,0.36,404.0,Completed,2570.0,395.0,0.1420193530451506,0.3057138848863542
recommendation_system,0.6829419729376128,0.6686939207745833,0.35,368.0,Completed,2445.0,348.0,0.6434610071014613,0.1491083708815276
recommendation_system,0.7213773168483384,0.6057949210339366,0.29,331.0,Completed,2144.0,221.0,0.320098534854129,0.1064025080334395
recommendation_system,0.7409678992868383,0.5108061838544008,0.45,889.0,Completed,2434.0,131.0,0.4330950911417603,0.1457819732129573
recommendation_system,0.7441269458040982,0.4778333572026808,0.39,457.0,Completed,2114.0,88.0,0.4072979017157632,0.2399582149054493
