source,accuracy_estimation,runtime_estimation,ACCURACY,RUNTIME,Status,recent_samples_size,max_window_size,min_window_size,min_p_value
benchmark_pareto,0.58,30.0,0.58,15.0,Completed,2070.0,723.0,2316.0,0.126
benchmark_pareto,0.6,90.0,0.6,61.0,Completed,669.0,4061.0,20.0,0.487
benchmark_pareto,0.62,95.0,0.62,63.0,Completed,2897.0,4167.0,66.0,0.368
benchmark_pareto,0.63,125.0,0.63,88.0,Completed,1093.0,1288.0,174.0,0.683
benchmark_pareto,0.64,149.0,0.64,91.0,Completed,3073.0,700.0,68.0,0.654
benchmark_pareto,0.65,200.0,0.65,122.0,Completed,3055.0,587.0,187.0,0.119
benchmark_pareto,0.67,208.0,0.67,124.0,Completed,3190.0,356.0,40.0,0.193
benchmark_pareto,0.68,351.0,0.68,202.0,Completed,3212.0,948.0,619.0,0.571
benchmark_pareto,0.69,391.0,0.69,208.0,Completed,1745.0,272.0,79.0,0.342
benchmark_pareto,0.71,549.0,0.71,370.0,Completed,1042.0,353.0,249.0,0.532
benchmark_pareto,0.73,1131.0,0.73,765.0,Completed,2293.0,468.0,426.0,0.426
benchmark_pareto,0.74,1427.0,0.74,869.0,Completed,2573.0,1061.0,1003.0,0.878
benchmark_pareto,0.78,4165.0,0.78,3041.0,Completed,1966.0,497.0,480.0,0.371
benchmark_max_rt,,13598.0,,6992.0,Completed,2729.0,3745.0,3725.0,0.561
benchmark_min_acc,0.55,,0.55,,Completed,4111.0,2625.0,3484.0,0.962
paper_default,-1.0,-1.0,0.74,798.0,Completed,90.0,90.0,70.0,0.001
paper_default,-1.0,-1.0,0.79,1977.0,Completed,2000.0,90.0,70.0,0.001
recommendation_system,0.17762027679559,0.9773718330422018,0.58,18.0,Completed,47.0,102.0,4968.0,0.0962699618590995
recommendation_system,0.1784571126085887,0.975914582799286,0.58,18.0,Completed,88.0,37.0,4209.0,0.2794468057556077
recommendation_system,0.1810654694380842,0.9745757790428644,0.58,18.0,Completed,100.0,1125.0,4990.0,0.1284600412566214
recommendation_system,0.1933115293276678,0.9741728931068346,0.58,18.0,Completed,268.0,170.0,4243.0,0.2375581930400803
recommendation_system,0.19405103118546,0.9716803155344822,0.58,18.0,Completed,178.0,223.0,4321.0,0.2923901688130572
recommendation_system,0.1958928921550261,0.9716347822500936,0.58,18.0,Completed,282.0,235.0,4449.0,0.3137720000306144
recommendation_system,0.2019662951539435,0.968527712568232,0.58,18.0,Completed,292.0,86.0,3689.0,0.9973891268964856
recommendation_system,0.2123237080250836,0.967418087257895,0.58,18.0,Completed,578.0,191.0,3722.0,0.9694453645404428
recommendation_system,0.2448532089368373,0.9498119959990494,0.58,18.0,Completed,757.0,508.0,3527.0,0.9975214771153406
recommendation_system,0.2477943025571429,0.9494046060034892,0.58,18.0,Completed,742.0,402.0,2847.0,0.9795545697659254
recommendation_system,0.2700363869522189,0.9273421304807522,0.58,18.0,Completed,720.0,512.0,2078.0,0.5493384998654947
recommendation_system,0.3011870058738821,0.8992951743590152,0.58,18.0,Completed,732.0,20.0,790.0,0.6547600645450875
recommendation_system,0.3343210892637435,0.8735558137084731,0.58,18.0,Completed,4156.0,253.0,876.0,0.3948776879254728
recommendation_system,0.34298998728741,0.8733453850932023,0.58,18.0,Completed,1068.0,341.0,928.0,0.6463787391548976
recommendation_system,0.3824872816050468,0.837699998117123,0.58,18.0,Completed,2432.0,385.0,705.0,0.7921520125446841
recommendation_system,0.3902740979598743,0.8257487871069626,0.58,18.0,Completed,4224.0,22.0,374.0,0.6513412181474268
recommendation_system,0.4095387152746444,0.8070743276698166,0.58,18.0,Completed,1114.0,399.0,719.0,0.8045549178365617
recommendation_system,0.488921091423906,0.772255250909871,0.58,18.0,Completed,4273.0,97.0,161.0,0.9854217835341368
recommendation_system,0.5550290712232931,0.6850484060377705,0.62,80.0,Completed,4712.0,2291.0,499.0,0.8933406822094694
recommendation_system,0.6562151073329736,0.60986861586511,0.64,93.0,Completed,4498.0,827.0,15.0,0.5420156203835121
