source,accuracy_estimation,runtime_estimation,ACCURACY,RUNTIME,Status,recent_samples_size,max_window_size,min_window_size,min_p_value
benchmark_pareto,0.54,4,0.54,3,Completed,1,1940,5000,0
benchmark_pareto,0.55,6,0.55,4,Completed,3866,259,4464,0.876
benchmark_pareto,0.57,7,0.57,5,Completed,1336,3724,475,0.421
benchmark_pareto,0.59,8,0.59,6,Completed,1548,1612,1,0.185
benchmark_pareto,0.6,14,0.6,9,Completed,3651,464,230,0.51
benchmark_pareto,0.61,42,0.61,29,Completed,1117,2719,2604,0.865
benchmark_pareto,0.64,55,0.64,34,Completed,3962,782,717,0.034
benchmark_pareto,0.75,3261,0.75,2441,Completed,3116,2553,2552,0.146
benchmark_min_acc,0.37,,0.37,,Completed,4461,2325,514,0.445
benchmark_max_rt,,3261,,2441,Completed,3116,2553,2552,0.146
paper_default,-1,-1,0.59,17,Completed,90,90,70,0.001
paper_default,-1,-1,0.67,58,Completed,2000,90,70,0.001
recommendation_system,0.061507113,0.996647274,0.52,2,Completed,455,2528,4997,0.480644293
recommendation_system,0.07403758,0.996459819,0.52,2,Completed,235,2423,4577,0.277353913
recommendation_system,0.074345551,0.995501385,0.52,2,Completed,235,2423,4564,0.277353913
recommendation_system,0.091315431,0.984148171,0.52,2,Completed,788,257,4096,0.939862182
recommendation_system,0.247280773,0.840018252,0.52,2,Completed,3164,261,2807,0.902729216
recommendation_system,0.255169259,0.835270867,0.52,2,Completed,3153,309,2955,0.896470343
recommendation_system,0.255845496,0.825990254,0.52,2,Completed,3297,261,2996,0.923885615
recommendation_system,0.268653467,0.823584107,0.52,2,Completed,3297,261,2996,0.910243224
recommendation_system,0.063538617,0.996393073,0.52,2,Completed,438,2420,4528,0.458344779
recommendation_system,0.064318225,0.996358428,0.52,2,Completed,422,2410,4976,0.573263436
recommendation_system,0.066963,0.995992962,0.52,2,Completed,2305,2283,4825,0.700418902
recommendation_system,0.06936446,0.995771081,0.52,2,Completed,2197,2905,4540,0.608426611
recommendation_system,0.069879199,0.995624109,0.52,2,Completed,2104,2611,4012,0.676016513
recommendation_system,0.072344655,0.995527208,0.52,2,Completed,305,2312,4482,0.0935723
recommendation_system,0.095416771,0.981331199,0.52,2,Completed,634,261,4216,0.912946216
recommendation_system,0.121936796,0.951385376,0.52,2,Completed,3023,16,3035,0.866472596
recommendation_system,0.245395037,0.825417293,0.52,2,Completed,3297,261,2996,0.902729216
recommendation_system,0.246050902,0.824760041,0.52,2,Completed,3164,261,3185,0.902729216
recommendation_system,0.270218424,0.703153989,0.69,97,Completed,4004,68,55,0.282842478
recommendation_system,0.276793187,0.665293564,0.57,8,Completed,4206,201,27,0.296741329
