source,accuracy_estimation,runtime_estimation,ACCURACY,RUNTIME,Status,recent_samples_size,max_window_size,min_window_size,min_p_value
benchmark_pareto,0.91,0.0,0.91,0.0,Completed,2960.0,1433.0,3134.0,0.569
benchmark_pareto,0.92,1.0,0.92,1.0,Completed,3132.0,248.0,2967.0,0.912
benchmark_max_rt,,76.0,,42.0,Completed,4287.0,94.0,93.0,0.293
benchmark_min_acc,0.91,,0.91,,Completed,2960.0,1433.0,3134.0,0.569
paper_default,-1.0,-1.0,0.91,1.0,Completed,90.0,90.0,70.0,0.001
paper_default,-1.0,-1.0,0.91,1.0,Completed,2000.0,90.0,70.0,0.001
recommendation_system,0.3933473440875631,0.9879703498732714,0.91,0.0,Completed,2337.0,21.0,3792.0,0.7093672922160477
recommendation_system,0.3960074149591792,0.9879348122464074,0.91,0.0,Completed,3602.0,57.0,4172.0,0.6091708841541075
recommendation_system,0.4008879372169245,0.9878944597276434,0.91,0.0,Completed,2670.0,44.0,4115.0,0.4553167251935229
recommendation_system,0.4051297771776811,0.9877333220086878,0.91,0.0,Completed,2695.0,84.0,4123.0,0.4454957493737032
recommendation_system,0.4056010356561862,0.9877295794734562,0.91,0.0,Completed,2911.0,66.0,4141.0,0.5360682001132518
recommendation_system,0.408954162333588,0.9874780723335458,0.91,0.0,Completed,2743.0,84.0,4123.0,0.4454957493737032
recommendation_system,0.4093975793024929,0.986528766476244,0.91,0.0,Completed,2223.0,11.0,2429.0,0.6604530523242429
recommendation_system,0.4097345411278876,0.9854884971107236,0.91,0.0,Completed,2824.0,237.0,4939.0,0.3508442042497918
recommendation_system,0.4330292975785667,0.980537567021472,0.91,0.0,Completed,28.0,1132.0,4913.0,0.3391132293809205
recommendation_system,0.4380956922011206,0.9805055185529808,0.91,0.0,Completed,52.0,1325.0,4923.0,0.4664190095728263
recommendation_system,0.5151547757519397,0.8520532799267968,0.91,0.0,Completed,4259.0,1925.0,2405.0,0.4344632239701442
recommendation_system,0.5280039918100647,0.834309507445445,0.91,0.0,Completed,2841.0,372.0,441.0,0.1320090026432933
recommendation_system,0.5956891867639499,0.6888444042682693,0.91,0.0,Completed,3057.0,775.0,240.0,0.6958948296094313
recommendation_system,0.601943349916801,0.6845419309264774,0.91,0.0,Completed,3759.0,957.0,441.0,0.1320090026432933
recommendation_system,0.6061856626166957,0.6805598375787513,0.91,0.0,Completed,3777.0,532.0,414.0,0.4909654521960765
recommendation_system,0.6151802071691802,0.6778316237181755,0.91,0.0,Completed,3744.0,832.0,127.0,0.5303626911286264
recommendation_system,0.6162833620711777,0.664493676365581,0.91,0.0,Completed,3759.0,689.0,357.0,0.4042877359888447
recommendation_system,0.6227059120223786,0.663626193064283,0.91,0.0,Completed,3758.0,761.0,237.0,0.5630405699658816
recommendation_system,0.6228938468451823,0.6609914969425512,0.91,0.0,Completed,3759.0,996.0,357.0,0.3882422289553816
recommendation_system,0.6336824338338075,0.6588056405597543,0.91,0.0,Completed,3759.0,775.0,357.0,0.4897358998663977
