source,accuracy_estimation,runtime_estimation,ACCURACY,RUNTIME,Status,recent_samples_size,max_window_size,min_window_size,min_p_value
benchmark_pareto,0.19,21.0,0.19,14.0,Completed,950.0,511.0,4191.0,0.663
benchmark_pareto,0.53,71.0,0.53,53.0,Completed,4746.0,4974.0,25.0,0.885
benchmark_pareto,0.6,75.0,0.6,54.0,Completed,5000.0,3682.0,1.0,0.0
benchmark_pareto,0.61,83.0,0.61,58.0,Completed,5000.0,1626.0,1.0,0.0
benchmark_pareto,0.68,89.0,0.68,60.0,Completed,4528.0,4919.0,1072.0,0.429
benchmark_pareto,0.69,103.0,0.69,65.0,Completed,5000.0,760.0,1.0,0.637
benchmark_pareto,0.7,116.0,0.7,69.0,Completed,5000.0,618.0,1.0,0.452
benchmark_pareto,0.73,127.0,0.73,81.0,Completed,5000.0,617.0,88.0,0.999
benchmark_pareto,0.75,136.0,0.75,89.0,Completed,4336.0,427.0,1.0,0.0
benchmark_pareto,0.77,161.0,0.77,107.0,Completed,3183.0,387.0,8.0,0.598
benchmark_pareto,0.78,169.0,0.78,110.0,Completed,443.0,268.0,1.0,0.0
benchmark_pareto,0.8,207.0,0.8,134.0,Completed,4181.0,398.0,126.0,0.999
benchmark_pareto,0.81,214.0,0.81,135.0,Completed,5000.0,346.0,71.0,0.999
benchmark_pareto,0.83,266.0,0.83,137.0,Completed,3327.0,329.0,86.0,0.006
benchmark_pareto,0.84,320.0,0.84,202.0,Completed,1960.0,410.0,223.0,0.006
benchmark_pareto,0.88,324.0,0.88,212.0,Completed,1246.0,212.0,47.0,0.218
benchmark_pareto,0.91,390.0,0.91,274.0,Completed,5000.0,165.0,1.0,0.999
benchmark_max_rt,,5291.0,,3267.0,Completed,344.0,4521.0,4475.0,0.469
benchmark_min_acc,0.18,,0.18,,Completed,2778.0,4098.0,453.0,0.307
paper_default,-1.0,-1.0,0.88,815.0,Completed,90.0,90.0,70.0,0.001
paper_default,-1.0,-1.0,0.91,1720.0,Completed,2000.0,90.0,70.0,0.001
recommendation_system,0.396545667,0.989266877,0.19,12.0,Completed,337.0,75.0,4510.0,0.503563175
recommendation_system,0.396807312,0.988436679,0.19,12.0,Completed,15.0,178.0,4535.0,0.233784203
recommendation_system,0.398782188,0.988252976,0.19,12.0,Completed,337.0,75.0,4084.0,0.503563175
recommendation_system,0.398895651,0.988001171,0.19,12.0,Completed,373.0,96.0,4577.0,0.500321896
recommendation_system,0.405811787,0.987920288,0.19,12.0,Completed,337.0,330.0,4510.0,0.530831546
recommendation_system,0.406121771,0.987613468,0.19,12.0,Completed,337.0,330.0,4510.0,0.503563175
recommendation_system,0.407873885,0.986683286,0.19,12.0,Completed,710.0,80.0,3986.0,0.718350548
recommendation_system,0.410651704,0.986185609,0.19,12.0,Completed,503.0,375.0,4688.0,0.877318879
recommendation_system,0.415186299,0.985554212,0.19,12.0,Completed,429.0,298.0,5000.0,0.234311516
recommendation_system,0.430772975,0.983326471,0.19,12.0,Completed,1079.0,262.0,3643.0,0.712822076
recommendation_system,0.432490685,0.981974856,0.19,12.0,Completed,424.0,287.0,3283.0,0.009724391
recommendation_system,0.485311532,0.914944915,0.19,12.0,Completed,952.0,330.0,1093.0,0.530831546
recommendation_system,0.529888418,0.850749667,0.19,12.0,Completed,750.0,458.0,606.0,0.998481418
recommendation_system,0.537481773,0.836335108,0.19,12.0,Completed,1242.0,234.0,481.0,0.503563175
recommendation_system,0.538735,0.833757534,0.19,12.0,Completed,2815.0,304.0,570.0,0.382361554
recommendation_system,0.574692822,0.762667556,0.19,12.0,Completed,1021.0,360.0,429.0,0.574364542
recommendation_system,0.598222492,0.708052451,0.19,12.0,Completed,2678.0,450.0,483.0,0.454425963
recommendation_system,0.604251728,0.665761959,0.76,204.0,Completed,1832.0,599.0,405.0,0.478807066
recommendation_system,0.608738549,0.662946459,0.79,307.0,Completed,1795.0,547.0,426.0,0.503563175
recommendation_system,0.609548328,0.662505592,0.85,378.0,Completed,1795.0,520.0,426.0,0.503563175
