source,accuracy_estimation,runtime_estimation,ACCURACY,RUNTIME,Status,recent_samples_size,max_window_size,min_window_size,min_p_value
benchmark_pareto,0.06,88.0,0.06,57.0,Completed,4096.0,640.0,2663.0,0.171
benchmark_pareto,0.07,470.0,0.07,265.0,Completed,4761.0,3988.0,1.0,0.0
benchmark_pareto,0.08,496.0,0.08,294.0,Completed,5000.0,2846.0,93.0,0.0
benchmark_pareto,0.09,497.0,0.09,315.0,Completed,3847.0,1662.0,11.0,0.999
benchmark_pareto,0.1,524.0,0.1,335.0,Completed,4550.0,1520.0,1.0,0.0
benchmark_pareto,0.11,528.0,0.11,343.0,Completed,4058.0,1498.0,1.0,0.999
benchmark_pareto,0.13,614.0,0.13,407.0,Completed,4988.0,872.0,110.0,0.609
benchmark_pareto,0.17,673.0,0.17,440.0,Completed,5000.0,499.0,74.0,0.999
benchmark_pareto,0.19,674.0,0.19,441.0,Completed,5000.0,548.0,1.0,0.999
benchmark_pareto,0.22,857.0,0.22,565.0,Completed,5000.0,651.0,319.0,0.0
benchmark_pareto,0.23,1027.0,0.23,697.0,Completed,4939.0,637.0,363.0,0.999
benchmark_pareto,0.25,1070.0,0.25,764.0,Completed,5000.0,645.0,408.0,0.999
benchmark_pareto,0.26,1350.0,0.26,843.0,Completed,5000.0,312.0,181.0,0.999
benchmark_pareto,0.27,1457.0,0.27,989.0,Completed,4940.0,558.0,406.0,0.999
benchmark_pareto,0.3,2134.0,0.3,1360.0,Completed,4887.0,472.0,384.0,0.999
benchmark_pareto,0.34,2393.0,0.34,1628.0,Completed,4876.0,569.0,481.0,0.0
benchmark_max_rt,,13587.0,,1584.0,Completed,1028.0,179.0,134.0,0.67
benchmark_min_acc,0.03,,0.03,,Completed,2037.0,1391.0,689.0,0.678
paper_default,-1.0,-1.0,0.25,2677.0,Completed,90.0,90.0,70.0,0.001
paper_default,-1.0,-1.0,,,MAX_RT,2000.0,90.0,70.0,0.001
recommendation_system,0.230541523670259,0.9873536984074186,0.06,54.0,Completed,15.0,181.0,4535.0,0.2337842032760381
recommendation_system,0.2325599636762034,0.9867916287237708,0.06,54.0,Completed,67.0,84.0,4268.0,0.4792285525957122
recommendation_system,0.245275080147648,0.9866764877634356,0.06,54.0,Completed,89.0,169.0,4362.0,0.4145839849803597
recommendation_system,0.2481304779814555,0.9857476937757996,0.06,55.0,Completed,288.0,117.0,4593.0,0.4908191630579531
recommendation_system,0.2498056165563909,0.9855353278320602,0.06,55.0,Completed,360.0,71.0,4685.0,0.496096532892154
recommendation_system,0.3009598309739894,0.985379437784037,0.06,55.0,Completed,377.0,350.0,4531.0,0.078593601741828
recommendation_system,0.3030779236573334,0.9828610854980124,0.06,53.0,Completed,502.0,243.0,4961.0,0.1126064004069194
recommendation_system,0.3265985503569877,0.9817915535908298,0.06,55.0,Completed,926.0,254.0,3944.0,0.5579547435215619
recommendation_system,0.3266646978054405,0.9808454070823258,0.06,55.0,Completed,497.0,308.0,4413.0,0.0511981846265305
recommendation_system,0.3297115712634884,0.9800036126001748,0.06,55.0,Completed,497.0,321.0,4047.0,0.0571380578829228
recommendation_system,0.3800073994352124,0.8858139506501036,0.06,55.0,Completed,900.0,378.0,871.0,0.5819571561334207
recommendation_system,0.3939817925325301,0.8615374247797005,0.06,55.0,Completed,1265.0,310.0,705.0,0.5245879737817439
recommendation_system,0.395920670759576,0.8594137709762998,0.06,55.0,Completed,2664.0,310.0,705.0,0.5245879737817439
recommendation_system,0.4279922559898854,0.8220898715272593,0.06,55.0,Completed,3137.0,253.0,454.0,0.1294486647667363
recommendation_system,0.4347451974782321,0.8097863189511583,0.06,55.0,Completed,2716.0,244.0,395.0,0.5252788472492248
recommendation_system,0.4417010780071523,0.7935095740435264,0.06,55.0,Completed,1783.0,310.0,427.0,0.5697022344293775
recommendation_system,0.4514129958289166,0.7727404230032416,0.32,2499.0,Completed,2678.0,389.0,353.0,0.646194071159241
recommendation_system,0.4710701898405155,0.7515541637723289,0.25,1542.0,Completed,2678.0,416.0,353.0,0.5819571561334207
recommendation_system,0.4790744923240535,0.7218410230570084,0.23,1314.0,Completed,2538.0,347.0,278.0,0.5556546944081783
recommendation_system,0.4911373507100092,0.7182480933868406,0.19,984.0,Completed,2698.0,389.0,282.0,0.5885612126865357
