source,accuracy_estimation,runtime_estimation,ACCURACY,RUNTIME,Status,recent_samples_size,batch_size,theta,lambida
benchmark_pareto,0.58,32.0,0.58,18.0,Completed,3152.0,600.0,0.999,0.233
benchmark_pareto,0.63,61.0,0.63,31.0,Completed,1234.0,138.0,0.84,0.694
benchmark_pareto,0.68,84.0,0.68,45.0,Completed,4008.0,54.0,0.704,0.888
benchmark_pareto,0.69,96.0,0.69,50.0,Completed,3141.0,4987.0,0.999,0.988
benchmark_pareto,0.7,100.0,0.7,53.0,Completed,4473.0,5000.0,0.999,0.999
benchmark_pareto,0.71,112.0,0.71,59.0,Completed,359.0,38.0,0.179,0.983
benchmark_pareto,0.72,143.0,0.72,79.0,Completed,121.0,3320.0,0.0,0.89
benchmark_max_rt,,222.0,,85.0,Completed,219.0,4853.0,0.0,0.601
benchmark_min_acc,0.58,,0.58,,Completed,2596.0,3389.0,0.2,0.507
paper_default,-1.0,-1.0,0.71,72.0,Completed,500.0,500.0,0.005,0.7
paper_default,-1.0,-1.0,0.71,72.0,Completed,500.0,500.0,0.005,0.75
paper_default,-1.0,-1.0,0.71,72.0,Completed,500.0,500.0,0.005,0.8
paper_default,-1.0,-1.0,0.71,73.0,Completed,500.0,500.0,0.005,0.85
paper_default,-1.0,-1.0,0.7,66.0,Completed,500.0,500.0,0.3,0.7
paper_default,-1.0,-1.0,0.7,66.0,Completed,500.0,500.0,0.3,0.75
paper_default,-1.0,-1.0,0.7,66.0,Completed,500.0,500.0,0.3,0.8
paper_default,-1.0,-1.0,0.7,64.0,Completed,500.0,500.0,0.3,0.85
recommendation_system,0.2651091664326965,0.9273270016024328,0.58,19.0,Completed,4718.0,112.0,0.3456250386843458,0.1951059448830783
recommendation_system,0.2657148760825238,0.9238558595041364,0.58,19.0,Completed,4071.0,112.0,0.3323863728093501,0.1759423480283294
recommendation_system,0.2690397565397573,0.922843521822548,0.58,18.0,Completed,4240.0,141.0,0.3341286870902404,0.2049744345638901
recommendation_system,0.2702017361723253,0.9191433257618888,0.58,19.0,Completed,3227.0,1187.0,0.3904622445646673,0.1394222049899399
recommendation_system,0.2738587148145979,0.9189982209220744,0.58,19.0,Completed,4971.0,346.0,0.3478180369231849,0.1535791112501174
recommendation_system,0.2756684709625894,0.9182991387379436,0.58,19.0,Completed,3882.0,565.0,0.3446169020785019,0.2321219793539494
recommendation_system,0.2772445637151528,0.9158339547930658,0.58,19.0,Completed,4211.0,816.0,0.3442531200293451,0.1556155468020588
recommendation_system,0.2786930879577945,0.9087101970065226,0.58,18.0,Completed,1197.0,46.0,0.1759116986570879,0.1733736697249114
recommendation_system,0.2800701586845896,0.9052172225930722,0.58,18.0,Completed,4062.0,421.0,0.3377957525700331,0.2513100010920316
recommendation_system,0.2920029643559061,0.893160128296628,0.58,18.0,Completed,3888.0,273.0,0.3202352717528119,0.2746117920298129
recommendation_system,0.2961246814187998,0.8782998270234947,0.58,18.0,Completed,566.0,191.0,0.1828367951977998,0.3238901272173971
recommendation_system,0.3112858737123448,0.8628742875841044,0.58,20.0,Completed,35.0,2787.0,0.0555135323453951,0.3146742301305237
recommendation_system,0.5168311464543083,0.6060424490924686,0.71,66.0,Completed,293.0,3342.0,0.0621081238193437,0.8226173985786736
recommendation_system,0.5270182454902125,0.6049800780597508,0.71,66.0,Completed,4836.0,2560.0,0.0772261104748292,0.970348212938532
recommendation_system,0.5656634131289462,0.5692398936615956,0.71,75.0,Completed,4837.0,2510.0,0.0174321175273507,0.976596184466034
recommendation_system,0.5775527989337729,0.5448440511148094,0.72,75.0,Completed,4075.0,4915.0,0.0506654576612636,0.9928365959879012
recommendation_system,0.5904642522680207,0.5392032091956006,0.71,77.0,Completed,4963.0,4655.0,0.0670789819154888,0.9930727039054036
recommendation_system,0.5943789932323937,0.5238476253998344,0.71,80.0,Completed,4719.0,2954.0,0.0807714690277353,0.998167365629226
recommendation_system,0.615714300507499,0.5046479369985174,0.72,78.0,Completed,1405.0,3841.0,0.0405963304894279,0.9955069638602358
recommendation_system,0.6573234533712473,0.4456235126483954,0.71,81.0,Completed,3252.0,3704.0,0.0167276090751827,0.997098371627302
