source,accuracy_estimation,runtime_estimation,ACCURACY,RUNTIME,Status,recent_samples_size,batch_size,theta,lambida
benchmark_pareto,0.56,0.0,0.56,0.0,Completed,4776.0,135.0,0.248,0.985
benchmark_max_rt,,1.0,,1.0,Completed,750.0,1051.0,0.007,0.73
benchmark_min_acc,0.55,,0.55,,Completed,2293.0,4679.0,0.438,0.158
paper_default,-1.0,-1.0,0.55,0.0,Completed,500.0,500.0,0.005,0.7
paper_default,-1.0,-1.0,0.55,0.0,Completed,500.0,500.0,0.005,0.75
paper_default,-1.0,-1.0,0.55,0.0,Completed,500.0,500.0,0.005,0.8
paper_default,-1.0,-1.0,0.55,0.0,Completed,500.0,500.0,0.005,0.85
paper_default,-1.0,-1.0,0.55,0.0,Completed,500.0,500.0,0.3,0.7
paper_default,-1.0,-1.0,0.55,0.0,Completed,500.0,500.0,0.3,0.75
paper_default,-1.0,-1.0,0.55,0.0,Completed,500.0,500.0,0.3,0.8
paper_default,-1.0,-1.0,0.55,0.0,Completed,500.0,500.0,0.3,0.85
recommendation_system,0.1982266752854991,0.9330512086231876,0.55,0.0,Completed,1935.0,181.0,0.6026762914778665,0.0526247233189642
recommendation_system,0.2039398509986748,0.9323262200859704,0.55,0.0,Completed,2147.0,126.0,0.5549509176230059,0.0582275375165045
recommendation_system,0.2110913841060903,0.9297642710283172,0.55,0.0,Completed,2398.0,115.0,0.5283657328393311,0.0309206052199006
recommendation_system,0.2138597921686159,0.9247533726444566,0.55,0.0,Completed,1922.0,269.0,0.4925514724859968,0.0746393702626228
recommendation_system,0.2181424621130506,0.9240041786748148,0.55,0.0,Completed,1945.0,441.0,0.4206892477311194,0.0306243798341602
recommendation_system,0.2186638769727007,0.9183159905221604,0.55,0.0,Completed,4914.0,589.0,0.5842291961777956,0.0057447033300995
recommendation_system,0.2214693313222727,0.9172947592918907,0.55,0.0,Completed,4863.0,615.0,0.4350762207414955,0.0635073067620396
recommendation_system,0.2262483105130167,0.9161074954866164,0.55,0.0,Completed,2466.0,173.0,0.4706997983381152,0.0258617416452616
recommendation_system,0.229452263422852,0.9123967157709668,0.55,0.0,Completed,2197.0,281.0,0.3904919649828225,0.1581877258457243
recommendation_system,0.231557565528154,0.9111677514108724,0.55,0.0,Completed,1144.0,270.0,0.2894617014608542,0.1928280511261805
recommendation_system,0.232013803190274,0.908521687784657,0.55,0.0,Completed,1857.0,106.0,0.6729761278806254,0.2524732341356575
recommendation_system,0.7199957966019542,0.3771473943824173,0.55,0.0,Completed,1704.0,3618.0,0.0670452782533315,0.9864027608841726
recommendation_system,0.7256536540291132,0.3733446883244696,0.55,0.0,Completed,658.0,3773.0,0.0436141377305612,0.9885530432723464
recommendation_system,0.727278342487441,0.3606599575110618,0.55,0.0,Completed,4347.0,3595.0,0.0209974214639514,0.9786937784813344
recommendation_system,0.7368471061210023,0.3584210281934671,0.55,0.0,Completed,1118.0,3408.0,0.0280646674976151,0.9905048486091068
recommendation_system,0.7448861449688655,0.3547076959783695,0.55,0.0,Completed,1430.0,3680.0,0.0373855601640834,0.9921485869986664
recommendation_system,0.7530144142690093,0.3474932078047881,0.55,0.0,Completed,1200.0,3306.0,0.0379496748168021,0.9932795496359468
recommendation_system,0.7544710016630973,0.3393696905719455,0.55,0.0,Completed,1851.0,4173.0,0.0252036486743018,0.9929346791058778
recommendation_system,0.7754463532450664,0.3155797117076857,0.55,0.0,Completed,1588.0,3379.0,0.0154821607433259,0.9980579533241688
recommendation_system,0.776996439868682,0.2911628103087486,0.55,0.0,Completed,767.0,3023.0,0.0242658850019797,0.9986705185379832
