source,accuracy_estimation,runtime_estimation,ACCURACY,RUNTIME,Status,recent_samples_size,batch_size,theta,lambida
benchmark_pareto,0.19,25.0,0.19,15.0,Completed,4949.0,492.0,0.448,0.573
benchmark_pareto,0.2,27.0,0.2,16.0,Completed,3475.0,1126.0,0.0,0.999
benchmark_pareto,0.21,30.0,0.21,17.0,Completed,3746.0,2476.0,0.653,0.999
benchmark_pareto,0.29,31.0,0.29,19.0,Completed,1451.0,777.0,0.0,0.999
benchmark_pareto,0.32,33.0,0.32,20.0,Completed,279.0,2791.0,0.999,0.999
benchmark_pareto,0.48,39.0,0.48,21.0,Completed,4209.0,4261.0,0.661,0.999
benchmark_pareto,0.49,42.0,0.49,24.0,Completed,53.0,2539.0,0.999,0.999
benchmark_pareto,0.61,49.0,0.61,30.0,Completed,1419.0,1298.0,0.958,0.995
benchmark_pareto,0.64,54.0,0.64,31.0,Completed,4241.0,3231.0,0.42,0.999
benchmark_pareto,0.8,61.0,0.74,44.0,Completed,3196.0,3407.0,0.0,0.999
benchmark_pareto,0.83,66.0,0.81,47.0,Completed,425.0,4670.0,0.0,0.999
benchmark_max_rt,,100.0,,67.0,Completed,2775.0,3648.0,0.367,0.999
benchmark_min_acc,0.19,,0.19,,Completed,4129.0,3335.0,0.495,0.753
paper_default,-1.0,-1.0,0.19,24.0,Completed,500.0,500.0,0.005,0.7
paper_default,-1.0,-1.0,0.19,24.0,Completed,500.0,500.0,0.005,0.75
paper_default,-1.0,-1.0,0.19,24.0,Completed,500.0,500.0,0.005,0.8
paper_default,-1.0,-1.0,0.19,24.0,Completed,500.0,500.0,0.005,0.85
paper_default,-1.0,-1.0,0.19,24.0,Completed,500.0,500.0,0.3,0.7
paper_default,-1.0,-1.0,0.19,24.0,Completed,500.0,500.0,0.3,0.75
paper_default,-1.0,-1.0,0.19,24.0,Completed,500.0,500.0,0.3,0.8
paper_default,-1.0,-1.0,0.19,24.0,Completed,500.0,500.0,0.3,0.85
recommendation_system,0.3734752747252752,0.9605630999223836,0.19,18.0,Completed,4586.0,215.0,0.5468688609525562,0.0545917059071362
recommendation_system,0.3902059541765429,0.9598140487488354,0.19,18.0,Completed,4609.0,38.0,0.7161433279830962,0.0313194020856171
recommendation_system,0.3970383538030602,0.955133219558053,0.19,18.0,Completed,4856.0,171.0,0.7568285261336714,0.0379177217762917
recommendation_system,0.3979366874955116,0.9502146258488048,0.19,19.0,Completed,4616.0,2698.0,0.9488661734825,0.3016749874018132
recommendation_system,0.4010270774976662,0.9474158194568928,0.19,18.0,Completed,4908.0,278.0,0.7332257626103237,0.118756215557456
recommendation_system,0.4047557480645721,0.9461738039418172,0.19,19.0,Completed,112.0,1156.0,0.8570503899632022,0.2604659853801131
recommendation_system,0.4054125667360967,0.9421824891622584,0.19,18.0,Completed,4473.0,386.0,0.7990554006913679,0.284615348681221
recommendation_system,0.4201599408217061,0.9400901317480232,0.19,18.0,Completed,3386.0,171.0,0.897667601633817,0.3581374790146946
recommendation_system,0.4980868994839581,0.8719723221059053,0.19,18.0,Completed,4487.0,253.0,0.8868936876822263,0.4985113937072455
recommendation_system,0.5118593933299813,0.8688705674042929,0.19,18.0,Completed,4447.0,91.0,0.8800554580511525,0.5238331901337951
recommendation_system,0.5171046328399267,0.8514162331915356,0.19,18.0,Completed,4273.0,307.0,0.8939607910761275,0.5308817571014397
recommendation_system,0.5546583889966242,0.8239406985862461,0.19,18.0,Completed,4369.0,63.0,0.6236135259317234,0.616112754734233
recommendation_system,0.6465512918454092,0.733683562943526,0.19,24.0,Completed,721.0,544.0,0.2407546768588945,0.6976576213315129
recommendation_system,0.7242498841028242,0.5354133760905616,0.19,21.0,Completed,2120.0,1901.0,0.0229670867258682,0.8560611690636725
recommendation_system,0.7284141865759506,0.5338089264837442,0.19,23.0,Completed,1907.0,3630.0,0.0238049533590674,0.8964540355578065
recommendation_system,0.7316349717820292,0.5312934979694847,0.19,25.0,Completed,1628.0,1884.0,0.0067726249527186,0.8422818558998406
recommendation_system,0.7332816529875342,0.5086472946936308,0.19,25.0,Completed,2090.0,2617.0,0.0232790683116763,0.987827268909663
recommendation_system,0.7357141496847368,0.5037588637487201,0.19,25.0,Completed,1291.0,3703.0,0.0190506708081811,0.9898644331581892
recommendation_system,0.7369105186752233,0.4862071965183967,0.81,57.0,Completed,3852.0,3458.0,0.0271803635107353,0.9940482445992528
recommendation_system,0.7399049670373191,0.4828852304219515,0.8,52.0,Completed,1588.0,3379.0,0.0154821607433259,0.9980579533241688
