source,accuracy_estimation,runtime_estimation,ACCURACY,RUNTIME,Status,recent_samples_size,batch_size,theta,lambida
benchmark_pareto,0.06,132.0,0.06,83.0,Completed,4487.0,636.0,0.0,0.211
benchmark_pareto,0.13,549.0,0.13,271.0,Completed,2883.0,1754.0,0.403,0.498
benchmark_pareto,0.16,564.0,0.16,317.0,Completed,341.0,4561.0,0.912,0.733
benchmark_pareto,0.17,768.0,0.17,377.0,Completed,4745.0,4957.0,0.999,0.53
benchmark_max_rt,,1091.0,,482.0,Completed,3685.0,479.0,0.443,0.464
benchmark_min_acc,0.06,,0.06,,Completed,1175.0,754.0,0.048,0.167
paper_default,-1.0,-1.0,0.15,381.0,Completed,500.0,500.0,0.005,0.7
paper_default,-1.0,-1.0,0.15,407.0,Completed,500.0,500.0,0.005,0.75
paper_default,-1.0,-1.0,0.15,413.0,Completed,500.0,500.0,0.005,0.8
paper_default,-1.0,-1.0,0.15,407.0,Completed,500.0,500.0,0.005,0.85
paper_default,-1.0,-1.0,0.16,397.0,Completed,500.0,500.0,0.3,0.7
paper_default,-1.0,-1.0,0.15,420.0,Completed,500.0,500.0,0.3,0.75
paper_default,-1.0,-1.0,0.15,416.0,Completed,500.0,500.0,0.3,0.8
paper_default,-1.0,-1.0,0.15,398.0,Completed,500.0,500.0,0.3,0.85
recommendation_system,0.4078629806794517,0.9795906623686896,0.06,87.0,Completed,4640.0,297.0,0.5067101767938584,0.1833281695619225
recommendation_system,0.4163413976872805,0.9790572143428043,0.06,87.0,Completed,4795.0,336.0,0.5071133134625853,0.0108462789878249
recommendation_system,0.4312203150661979,0.9765454250864328,0.06,87.0,Completed,4391.0,402.0,0.5048359296675772,0.2431411794051527
recommendation_system,0.4375017806267811,0.966788239897192,0.06,80.0,Completed,167.0,1254.0,0.2507321331007406,0.2830059342253953
recommendation_system,0.4379173418833351,0.9667493776223264,0.06,89.0,Completed,14.0,2714.0,0.2422746105277911,0.1284551155064255
recommendation_system,0.5328334132969427,0.8982348117470478,0.15,424.0,Completed,1234.0,93.0,0.2328972222606323,0.666887055685869
recommendation_system,0.5650192748210394,0.8867235175836432,0.16,438.0,Completed,1292.0,77.0,0.1794553309902548,0.697884221471846
recommendation_system,0.4090161085972854,0.9786916985906688,0.06,87.0,Completed,4792.0,143.0,0.4703157244557515,0.1412450011223554
recommendation_system,0.4167627628145279,0.9759946453079018,0.06,87.0,Completed,4741.0,219.0,0.4905606305887923,0.1996898423824459
recommendation_system,0.4235953120735479,0.9758548994164126,0.06,87.0,Completed,629.0,424.0,0.2128642713082954,0.0026289042104035
recommendation_system,0.4275842131724489,0.9725147690039074,0.06,88.0,Completed,3299.0,1201.0,0.3334027000050992,0.1371576981563121
recommendation_system,0.4863576400111327,0.941383558390668,0.16,337.0,Completed,1137.0,4941.0,0.1127769774086773,0.4682050805874169
recommendation_system,0.490029675866073,0.937274646127225,0.15,345.0,Completed,259.0,4925.0,0.0837682190325367,0.4401462340626087
recommendation_system,0.4906930977519213,0.934411901929447,0.15,361.0,Completed,208.0,2463.0,0.2214476744871101,0.5586031593354035
recommendation_system,0.5003336206277382,0.9299434466354352,0.15,364.0,Completed,229.0,2789.0,0.2214476744871101,0.5586031593354035
recommendation_system,0.540985302257655,0.8848469928574133,0.15,397.0,Completed,1507.0,58.0,0.1807201118501162,0.6817954313200892
recommendation_system,0.5465012650530295,0.8614300646306676,0.15,379.0,Completed,1321.0,165.0,0.1564614245200765,0.6791688832032253
recommendation_system,0.5465394042232276,0.8017255765678322,0.15,362.0,Completed,4814.0,3033.0,0.0683268626695498,0.8924947972055525
recommendation_system,0.5478875893306038,0.7960384627184312,0.15,354.0,Completed,4940.0,3270.0,0.0719014872657135,0.923941138708964
recommendation_system,0.5641751751448445,0.7834135555672268,0.16,366.0,Completed,4719.0,2954.0,0.0807714690277353,0.954204074960202
