source,accuracy_estimation,runtime_estimation,ACCURACY,RUNTIME,Status,recent_samples_size,n_subspaces,feature_percentage,alpha,window_size,mode
benchmark_pareto,0.71,3.0,0.71,2.0,Completed,1,17,0.001,0.782,737,EDFSMode.RANDOM
benchmark_pareto,0.73,8.0,0.73,4.0,Completed,1134,19,0.022,0.869,606,EDFSMode.RANDOM
benchmark_pareto,0.74,10.0,0.74,6.0,Completed,4131,23,0.001,0.028,695,EDFSMode.RANDOM
benchmark_pareto,0.75,16.0,0.75,9.0,Completed,4087,50,0.001,0.999,493,EDFSMode.RANDOM
benchmark_max_rt,,10079.0,,4216.0,Completed,1687,82,0.94,0.322,926,EDFSMode.RANDOM
benchmark_min_acc,0.57,,0.57,,Completed,2,4,0.157,0.099,707,EDFSMode.RANDOM
paper_default,-1.0,-1.0,0.69,2.0,Completed,1000,10,0.1,0.01,1000,EDFSMode.RANDOM
paper_default,-1.0,-1.0,0.71,4.0,Completed,2000,10,0.1,0.01,1000,EDFSMode.RANDOM
recommendation_system,0.5036746842574144,0.8304926729435604,0.66,2.0,Completed,43,34,0.0079138009998327,0.4772133482735477,998,EDFSMode.RANDOM
recommendation_system,0.6146060349562767,0.8237418567129924,0.67,2.0,Completed,2284,26,0.0254462045540832,0.4051365810398449,967,EDFSMode.RANDOM
recommendation_system,0.6150785743599754,0.8203633282274212,0.69,2.0,Completed,2284,25,0.0254462045540832,0.4051365810398449,995,EDFSMode.RANDOM
recommendation_system,0.6150785743599754,0.8203633282274212,0.69,2.0,Completed,2284,25,0.0254462045540832,0.4058268952162971,995,EDFSMode.RANDOM
recommendation_system,0.63740452649873,0.8169579760642388,0.68,2.0,Completed,743,30,0.0066552270089837,0.3349844662885466,988,EDFSMode.RANDOM
recommendation_system,0.6591311041794139,0.8168061298203328,0.7,3.0,Completed,957,27,0.0213299403271363,0.4762644024382818,1000,EDFSMode.RANDOM
recommendation_system,0.66570350945351,0.8140144085416423,0.71,3.0,Completed,1232,30,0.0237066894967343,0.4051365810398449,988,EDFSMode.RANDOM
recommendation_system,0.6908481906579738,0.7959270769896692,0.71,3.0,Completed,3393,29,0.0111855402068785,0.3954822613207774,988,EDFSMode.RANDOM
recommendation_system,0.7176617547330112,0.7807754414048834,0.73,4.0,Completed,3938,29,0.0066552270089837,0.3057920471413644,917,EDFSMode.RANDOM
recommendation_system,0.7181501156742708,0.7793213434823083,0.73,4.0,Completed,4140,29,0.012626696050167,0.5374865233693272,920,EDFSMode.RANDOM
recommendation_system,0.723296109866159,0.7758473537372194,0.73,4.0,Completed,4453,28,0.0032946023419499,0.7958502715136856,914,EDFSMode.RANDOM
recommendation_system,0.7723972411780384,0.7610304138926564,0.73,4.0,Completed,2759,17,0.0152749216463416,0.3418963508792221,402,EDFSMode.RANDOM
recommendation_system,0.7931946906198116,0.7539381186903823,0.74,5.0,Completed,3096,19,0.0191720928729757,0.3144286989768666,408,EDFSMode.RANDOM
recommendation_system,0.8283237650254565,0.7204842771320531,0.73,9.0,Completed,4107,29,0.0111855402068785,0.6043317125208871,393,EDFSMode.RANDOM
recommendation_system,0.8412571889775996,0.6926157676005766,0.73,11.0,Completed,4107,29,0.0107020428317124,0.8005238571561036,289,EDFSMode.RANDOM
recommendation_system,0.8865174341895358,0.615520135963369,0.73,16.0,Completed,3404,29,0.0127154899610459,0.585105388310767,128,EDFSMode.RANDOM
recommendation_system,0.8916308461175612,0.6023996605980618,0.74,19.0,Completed,3638,29,0.014778078177438,0.9126172834807272,124,EDFSMode.RANDOM
recommendation_system,0.8931265374230354,0.5985605318099152,0.73,19.0,Completed,3737,29,0.0066552270089837,0.921585359454542,125,EDFSMode.RANDOM
recommendation_system,0.8937894334150377,0.5984436023699955,0.73,21.0,Completed,4107,29,0.0225236856408652,0.921585359454542,128,EDFSMode.RANDOM
recommendation_system,0.8943375810314226,0.5493109042207345,0.73,23.0,Completed,4926,63,0.0596017263988742,0.8856788145923484,126,EDFSMode.RANDOM
