source,accuracy_estimation,runtime_estimation,ACCURACY,RUNTIME,Status,recent_samples_size,n_subspaces,feature_percentage,alpha,window_size,mode
benchmark_pareto,0.3,15.0,0.3,9.0,Completed,1,59,0.001,0.001,978,EDFSMode.RANDOM
benchmark_pareto,0.35,16.0,0.35,10.0,Completed,33,27,0.022,0.13,955,EDFSMode.RANDOM
benchmark_pareto,0.4,22.0,0.4,12.0,Completed,2121,19,0.102,0.807,908,EDFSMode.RANDOM
benchmark_pareto,0.49,23.0,0.49,16.0,Completed,267,12,0.004,0.347,571,EDFSMode.RANDOM
benchmark_pareto,0.5,30.0,0.5,18.0,Completed,424,22,0.001,0.999,744,EDFSMode.RANDOM
benchmark_pareto,0.51,34.0,0.51,22.0,Completed,2290,46,0.008,0.47,449,EDFSMode.RANDOM
benchmark_pareto,0.52,38.0,0.52,24.0,Completed,852,31,0.001,0.999,1000,EDFSMode.RANDOM
benchmark_pareto,0.55,48.0,0.55,33.0,Completed,1156,64,0.019,0.999,1000,EDFSMode.RANDOM
benchmark_pareto,0.58,52.0,0.58,35.0,Completed,783,26,0.001,0.001,556,EDFSMode.RANDOM
benchmark_pareto,0.59,59.0,0.59,39.0,Completed,732,22,0.007,0.869,440,EDFSMode.RANDOM
benchmark_pareto,0.6,62.0,0.6,46.0,Completed,2963,16,0.033,0.431,487,EDFSMode.RANDOM
benchmark_pareto,0.61,80.0,0.61,47.0,Completed,475,24,0.053,0.678,239,EDFSMode.RANDOM
benchmark_pareto,0.62,121.0,0.62,75.0,Completed,910,66,0.001,0.343,253,EDFSMode.RANDOM
benchmark_pareto,0.63,131.0,0.63,76.0,Completed,240,100,0.001,0.062,100,EDFSMode.RANDOM
benchmark_max_rt,,13353.0,,8699.0,Completed,2246,100,0.908,0.447,800,EDFSMode.RANDOM
benchmark_min_acc,0.3,,0.3,,Completed,1,100,0.001,0.999,421,EDFSMode.RANDOM
paper_default,-1.0,-1.0,0.52,18.0,Completed,1000,10,0.1,0.01,1000,EDFSMode.RANDOM
paper_default,-1.0,-1.0,0.59,29.0,Completed,2000,10,0.1,0.01,1000,EDFSMode.RANDOM
recommendation_system,0.511813106601754,0.7795256905472773,0.3,7.0,Completed,1,35,0.0015324768397213,0.9876357472918872,217,EDFSMode.RANDOM
recommendation_system,0.5281465653687877,0.7745963796859355,0.37,9.0,Completed,7,36,0.001193111196869,0.9865079447040328,201,EDFSMode.RANDOM
recommendation_system,0.5525254331685491,0.7639084574071717,0.49,12.0,Completed,46,36,0.0017432230095326,0.9860932533151928,192,EDFSMode.RANDOM
recommendation_system,0.5569531129766637,0.7580829656096113,0.49,12.0,Completed,46,46,0.0019870747326141,0.9871789474749396,192,EDFSMode.RANDOM
recommendation_system,0.5924386188154299,0.7519072143441585,0.46,12.0,Completed,19,39,0.0011889402340007,0.9783660440129276,142,EDFSMode.RANDOM
recommendation_system,0.6023865786879066,0.746521891123061,0.53,14.0,Completed,46,13,0.0019870747326141,0.9871789474749396,126,EDFSMode.RANDOM
recommendation_system,0.605742599568082,0.7463367010004632,0.53,14.0,Completed,46,13,0.0019870747326141,0.9860932533151928,119,EDFSMode.RANDOM
recommendation_system,0.6115688385464949,0.7387508343029617,0.54,15.0,Completed,46,19,0.0019870747326141,0.9871789474749396,110,EDFSMode.RANDOM
recommendation_system,0.6218414050388683,0.7282125571348773,0.56,17.0,Completed,46,44,0.0019870747326141,0.9860932533151928,105,EDFSMode.RANDOM
recommendation_system,0.6429474471895966,0.722779739917715,0.59,26.0,Completed,118,32,0.002313165021107,0.998139380317116,114,EDFSMode.RANDOM
recommendation_system,0.652749274455192,0.7186307819867271,0.61,32.0,Completed,198,18,0.0019870747326141,0.9862342820797788,126,EDFSMode.RANDOM
recommendation_system,0.6596474210393288,0.7179418980758698,0.6,30.0,Completed,150,32,0.0010172806224078,0.9759876229267772,110,EDFSMode.RANDOM
recommendation_system,0.6782966908963283,0.6941789195633843,0.62,40.0,Completed,255,39,0.0015299142152752,0.9673886151271136,128,EDFSMode.RANDOM
recommendation_system,0.691114617624279,0.6841426177785227,0.62,62.0,Completed,397,31,0.0013416844845284,0.9899127648296392,117,EDFSMode.RANDOM
recommendation_system,0.7282023911854824,0.6487543867330141,0.62,87.0,Completed,697,58,0.0017432230095326,0.9860932533151928,133,EDFSMode.RANDOM
recommendation_system,0.7299052623660108,0.6482663157381492,0.62,110.0,Completed,697,35,0.0019870747326141,0.9862342820797788,111,EDFSMode.RANDOM
recommendation_system,0.7623264713904806,0.6134793962732087,0.62,172.0,Completed,1169,63,0.0019870747326141,0.0880090648702115,126,EDFSMode.RANDOM
recommendation_system,0.8362827527410855,0.5664811819882383,0.61,189.0,Completed,4880,21,0.0019870747326141,0.9860932533151928,126,EDFSMode.RANDOM
recommendation_system,0.8420727739115415,0.5636097892127597,0.61,190.0,Completed,4998,35,0.0026590195392351,0.9860932533151928,126,EDFSMode.RANDOM
recommendation_system,0.8499039517246029,0.5524331579369528,0.61,199.0,Completed,4885,66,0.0026675370843704,0.9862342820797788,123,EDFSMode.RANDOM
