source,accuracy_estimation,runtime_estimation,ACCURACY,RUNTIME,Status,recent_samples_size,n_subspaces,feature_percentage,alpha,window_size,mode
benchmark_pareto,0.21,507.0,0.21,337.0,Completed,2845,9,0.273,0.037,805,EDFSMode.RANDOM
benchmark_pareto,0.27,553.0,0.27,380.0,Completed,4850,26,0.076,0.999,854,EDFSMode.RANDOM
benchmark_pareto,0.28,604.0,0.28,437.0,Completed,2973,21,0.081,0.27,479,EDFSMode.RANDOM
benchmark_pareto,0.3,646.0,0.3,495.0,Completed,1803,13,0.313,0.086,617,EDFSMode.RANDOM
benchmark_pareto,0.32,678.0,0.32,499.0,Completed,732,31,0.105,0.521,296,EDFSMode.RANDOM
benchmark_pareto,0.35,679.0,0.35,500.0,Completed,394,26,0.013,0.539,153,EDFSMode.RANDOM
benchmark_pareto,0.37,778.0,0.37,594.0,Completed,2601,33,0.122,0.243,178,EDFSMode.RANDOM
benchmark_pareto,0.38,893.0,0.38,698.0,Completed,1167,39,0.069,0.428,272,EDFSMode.RANDOM
benchmark_pareto,0.39,900.0,0.39,702.0,Completed,2873,31,0.132,0.826,202,EDFSMode.RANDOM
benchmark_pareto,0.4,1161.0,0.4,861.0,Completed,679,16,0.211,0.379,153,EDFSMode.RANDOM
benchmark_pareto,0.43,1211.0,0.43,901.0,Completed,874,24,0.089,0.538,145,EDFSMode.RANDOM
benchmark_pareto,0.44,1457.0,0.44,1020.0,Completed,788,24,0.072,0.544,118,EDFSMode.RANDOM
benchmark_pareto,0.45,1577.0,0.45,1382.0,Completed,807,24,0.056,0.585,100,EDFSMode.RANDOM
benchmark_pareto,0.46,1863.0,0.46,1773.0,Completed,1002,10,0.052,0.684,105,EDFSMode.RANDOM
benchmark_pareto,0.47,2209.0,0.47,1951.0,Completed,1013,22,0.001,0.645,100,EDFSMode.RANDOM
benchmark_pareto,0.48,2783.0,0.48,2230.0,Completed,3258,23,0.057,0.986,100,EDFSMode.RANDOM
benchmark_pareto,0.49,6914.0,0.49,3522.0,Completed,1784,10,0.377,0.999,100,EDFSMode.RANDOM
benchmark_max_rt,,13937.0,,10756.0,Completed,3435,10,0.665,0.345,620,EDFSMode.RANDOM
benchmark_min_acc,0.03,,0.03,,Completed,17,46,0.161,0.305,818,EDFSMode.RANDOM
paper_default,-1.0,-1.0,0.19,626.0,Completed,1000,10,0.1,0.01,1000,EDFSMode.RANDOM
paper_default,-1.0,-1.0,0.24,675.0,Completed,2000,10,0.1,0.01,1000,EDFSMode.RANDOM
recommendation_system,0.5437397209272209,0.8858024349804012,0.08,314.0,Completed,2288,27,0.0055334133345994,0.1742352445402995,992,EDFSMode.RANDOM
recommendation_system,0.5679406961351406,0.8784008399290651,0.19,256.0,Completed,2947,19,0.0032616726321322,0.2505145585453289,999,EDFSMode.RANDOM
recommendation_system,0.5712331200178423,0.8764560494604712,0.2,299.0,Completed,1122,15,0.010463659223169,0.5740492630209774,981,EDFSMode.RANDOM
recommendation_system,0.5906484718984721,0.8674225800231127,0.22,327.0,Completed,3454,19,0.0080404662014242,0.3131820717452241,995,EDFSMode.RANDOM
recommendation_system,0.5928863690322026,0.8672836423959414,0.25,451.0,Completed,1037,18,0.0092695994635415,0.4096038402539061,619,EDFSMode.RANDOM
recommendation_system,0.6081676361190254,0.8646882860074715,0.26,471.0,Completed,841,21,0.0060468394532799,0.2730005992669612,519,EDFSMode.RANDOM
recommendation_system,0.614578135342024,0.8612319806105283,0.24,344.0,Completed,3853,26,0.002554362822324,0.1239445798546075,999,EDFSMode.RANDOM
recommendation_system,0.6173301749690642,0.8587964130096842,0.28,540.0,Completed,868,20,0.007738470665523,0.7171607122133796,479,EDFSMode.RANDOM
recommendation_system,0.7010688796799909,0.8277479708467049,0.36,633.0,Completed,3753,21,0.0026690075052384,0.4281568592493803,393,EDFSMode.RANDOM
recommendation_system,0.7033761043483266,0.8275811932500757,0.35,596.0,Completed,3619,21,0.0042402164385522,0.2416726987224728,393,EDFSMode.RANDOM
recommendation_system,0.7149603585714701,0.8078971887810565,0.39,837.0,Completed,3753,21,0.0050127628422531,0.9944320014365282,279,EDFSMode.RANDOM
recommendation_system,0.7251888723416506,0.7894198077177459,0.4,953.0,Completed,3753,26,0.0042402164385522,0.9775246809369084,259,EDFSMode.RANDOM
recommendation_system,0.7442221898471891,0.7665307556117874,0.44,1104.0,Completed,1226,31,0.0017965046986937,0.9715710110254586,160,EDFSMode.RANDOM
recommendation_system,0.7512303951192839,0.7544769327971147,0.41,959.0,Completed,1190,53,0.0093227570826211,0.9762162625416686,182,EDFSMode.RANDOM
recommendation_system,0.7634766288238507,0.740087068886952,0.46,1713.0,Completed,1305,29,0.0018381348376905,0.802217795731758,122,EDFSMode.RANDOM
recommendation_system,0.783686598894932,0.728035893396009,0.45,2060.0,Completed,3984,27,0.0166004853848446,0.947338792015537,161,EDFSMode.RANDOM
recommendation_system,0.8102152939652935,0.7090975043691529,0.47,2740.0,Completed,3753,21,0.0039040399756718,0.5843199376876269,125,EDFSMode.RANDOM
recommendation_system,0.8219208826153268,0.6907822182050163,0.47,2779.0,Completed,3753,34,0.0026775763294268,0.4818369084443447,125,EDFSMode.RANDOM
recommendation_system,0.8302601153990039,0.672846290559536,0.47,2967.0,Completed,3869,78,0.0039040399756718,0.5083686289148889,125,EDFSMode.RANDOM
recommendation_system,0.840084570779015,0.6695965787980719,0.47,3379.0,Completed,4733,78,0.0039040399756718,0.2710293164190633,125,EDFSMode.RANDOM
