source,accuracy_estimation,runtime_estimation,ACCURACY,RUNTIME,Status,recent_samples_size,batch_size,gamma,alpha,use_mmd2,use_k2s_test
benchmark_pareto,0.19,21.0,0.19,16.0,Completed,654,4675,3.852,0.016,False,False
benchmark_pareto,0.23,22.0,0.23,17.0,Completed,357,4334,3.361,0.03,False,False
benchmark_pareto,0.61,23.0,0.61,20.0,Completed,4510,1139,2.89,0.005,False,False
benchmark_pareto,0.66,24.0,0.66,21.0,Completed,282,1733,2.018,0.011,False,False
benchmark_pareto,0.68,26.0,0.68,23.0,Completed,1497,2305,1.492,0.043,False,False
benchmark_pareto,0.72,30.0,0.72,26.0,Completed,3780,1992,1.322,0.024,False,False
benchmark_pareto,0.73,35.0,0.73,27.0,Completed,1969,464,0.871,0.033,False,False
benchmark_pareto,0.76,36.0,0.76,28.0,Completed,395,1162,0.628,0.02,False,False
benchmark_pareto,0.8,38.0,0.8,29.0,Completed,4471,1840,0.589,0.034,False,False
benchmark_pareto,0.81,45.0,0.81,30.0,Completed,3215,1920,0.693,0.047,False,False
benchmark_pareto,0.82,51.0,0.82,33.0,Completed,1,1958,0.471,0.05,False,False
benchmark_pareto,0.85,248.0,0.85,171.0,Completed,3762,5,0.53,0.008,False,False
benchmark_pareto,0.87,693.0,0.87,460.0,Completed,1163,3,0.001,0.05,True,False
benchmark_pareto,0.92,838.0,0.91,697.0,Completed,2521,33,6.054,0.031,False,True
benchmark_pareto,0.93,865.0,0.92,734.0,Completed,4637,54,8.685,0.036,False,True
benchmark_max_rt,,14380.0,,8448.0,Completed,612,508,2.955,0.045,False,True
benchmark_min_acc,0.16,,0.16,,Completed,334,695,4.765,0.041,False,False
paper_default,-1.0,-1.0,0.71,21.0,Completed,120,120,1.0,0.1,False,False
paper_default,-1.0,-1.0,0.71,21.0,Completed,2000,120,1.0,0.1,False,False
paper_default,-1.0,-1.0,0.75,18.0,Completed,2000,2000,1.0,0.1,False,False
recommendation_system,0.5377515354657391,0.977286020370314,0.19,17.0,Completed,1247,3467,5.600192977958739,0.0301281700147019,False,False
recommendation_system,0.5565999084406604,0.9748417946320852,0.19,21.0,Completed,1683,1677,9.462531195995398,0.0161402751225978,False,False
recommendation_system,0.5664360302938101,0.9661788739657262,0.58,15.0,Completed,1247,1741,3.17012632585314,0.0305907322417089,False,False
recommendation_system,0.5719462690946835,0.9615836868080998,0.62,15.0,Completed,2958,1560,3.1103219162076714,0.041024478431791,False,False
recommendation_system,0.591907002927127,0.9474257597961246,0.64,15.0,Completed,3479,1168,1.9495644774505068,0.0298531114281424,False,False
recommendation_system,0.5934322053720276,0.9432965435089083,0.62,14.0,Completed,3453,936,1.9495644774505068,0.029874985885052,False,False
recommendation_system,0.5951410428881405,0.9389687745369806,0.63,15.0,Completed,3479,1168,1.7987088475167496,0.0298531114281424,False,False
recommendation_system,0.6010329449031075,0.9249970751442024,0.66,16.0,Completed,4576,1034,1.41998732833378,0.0419694631360471,False,False
recommendation_system,0.6052986503305774,0.9179982717135584,0.67,16.0,Completed,3593,921,1.2991632601851597,0.0296978540252894,False,False
recommendation_system,0.6185127993280085,0.8892539804575866,0.8,30.0,Completed,75,861,0.1334417514288798,0.0208114278968423,False,False
recommendation_system,0.6188522508193558,0.8847671520001328,0.72,24.0,Completed,3803,1031,0.6808429648550227,0.0328068535774946,False,False
recommendation_system,0.6189906440308919,0.8827837166315536,0.76,30.0,Completed,1134,976,0.2568003933122382,0.0239939413964748,False,False
recommendation_system,0.6220134891338454,0.8824443477768097,0.79,31.0,Completed,1605,876,0.2828466755183909,0.0289346673698846,False,False
recommendation_system,0.6222571599940021,0.8802060194563162,0.75,28.0,Completed,203,911,0.2909672388015315,0.0374309903010726,False,False
recommendation_system,0.9001249630745602,0.3808185645409746,0.92,563.0,Completed,4314,28,5.937456587239169,0.0494443604722619,False,True
recommendation_system,0.900933390225186,0.3782195530312736,0.92,721.0,Completed,4871,74,6.838984298911877,0.0496001976542174,False,True
recommendation_system,0.9063230413837066,0.3757312364459604,0.92,689.0,Completed,4573,53,6.573445545769297,0.0497806541156023,False,True
recommendation_system,0.923887529170463,0.3610122544310575,0.9233333333333332,654.0,Completed,1544,45,1.778490772580728,0.049895533407107,False,True
recommendation_system,0.929209595365362,0.3540935953522987,0.92,663.0,Completed,1578,30,3.103055048629641,0.0496020431630313,True,True
recommendation_system,0.9303157953014763,0.3523545773821682,0.9233333333333332,569.0,Completed,1544,45,1.778490772580728,0.049895533407107,True,True
