source,accuracy_estimation,runtime_estimation,ACCURACY,RUNTIME,Status,recent_samples_size,n_samples,n_permutations,update_interval,n_consecutive_deviations
benchmark_pareto,0.72,3.0,0.72,2.0,Completed,1.0,1.0,1000.0,34.0,1.0
benchmark_pareto,0.74,4.0,0.74,3.0,Completed,1.0,1.0,2.0,13.0,1.0
benchmark_pareto,0.76,7.0,0.76,5.0,Completed,1.0,1.0,2.0,5.0,1.0
benchmark_pareto,0.77,10.0,0.77,9.0,Completed,2053.0,1.0,1000.0,43.0,3.0
benchmark_pareto,0.79,11.0,0.79,10.0,Completed,1.0,1.0,1000.0,2.0,1.0
benchmark_pareto,0.8,23.0,0.8,19.0,Completed,8.0,1.0,2.0,2.0,1.0
benchmark_pareto,0.81,31.0,0.81,27.0,Completed,1.0,311.0,2.0,2.0,1.0
benchmark_max_rt,,5312.0,,110.0,Completed,735.0,3063.0,988.0,87.0,8.0
benchmark_min_acc,0.53,,0.53,,Completed,2565.0,1710.0,300.0,224.0,126.0
paper_default,-1.0,-1.0,0.73,243.0,Completed,2000.0,400.0,20.0,50.0,3.0
paper_default,-1.0,-1.0,0.74,261.0,Completed,2000.0,800.0,20.0,50.0,3.0
paper_default,-1.0,-1.0,0.74,267.0,Completed,2000.0,1200.0,20.0,50.0,3.0
paper_default,-1.0,-1.0,0.73,248.0,Completed,2000.0,1600.0,20.0,50.0,3.0
paper_default,-1.0,-1.0,0.74,267.0,Completed,2000.0,2000.0,20.0,50.0,3.0
recommendation_system,0.5267783848254272,0.7845831765353838,0.71,2.0,Completed,2703.0,41.0,708.0,198.0,177.0
recommendation_system,0.5308244945836224,0.7826204794132328,0.71,2.0,Completed,2468.0,55.0,344.0,191.0,184.0
recommendation_system,0.5678788332063355,0.7764993105065469,0.71,2.0,Completed,2527.0,17.0,564.0,196.0,157.0
recommendation_system,0.5724118525559538,0.7752714563004869,0.71,2.0,Completed,2451.0,54.0,336.0,200.0,156.0
recommendation_system,0.58448835313761,0.7733448370782073,0.71,2.0,Completed,2541.0,36.0,416.0,197.0,151.0
recommendation_system,0.587427696708546,0.769371356105291,0.72,4.0,Completed,2454.0,38.0,383.0,192.0,150.0
recommendation_system,0.5893837128082399,0.7660061209264587,0.69,2.0,Completed,2706.0,16.0,682.0,192.0,150.0
recommendation_system,0.5985084827963468,0.7659135942026173,0.73,5.0,Completed,2654.0,29.0,355.0,197.0,147.0
recommendation_system,0.6155499820966356,0.7512630144113674,0.72,4.0,Completed,2635.0,32.0,854.0,178.0,138.0
recommendation_system,0.6440522485146394,0.7272374056853627,0.74,6.0,Completed,2344.0,147.0,566.0,196.0,133.0
recommendation_system,0.6616062399242759,0.7216789543049589,0.73,5.0,Completed,2340.0,102.0,273.0,190.0,111.0
recommendation_system,0.6964056929691655,0.672476529355988,0.75,9.0,Completed,1630.0,144.0,350.0,187.0,93.0
recommendation_system,0.7233909772895577,0.6279352237376417,0.73,5.0,Completed,256.0,199.0,684.0,219.0,26.0
recommendation_system,0.788414730759507,0.5421651329167319,0.73,13.0,Completed,486.0,624.0,556.0,194.0,2.0
recommendation_system,0.7960600317935842,0.5185175571840294,0.73,15.0,Completed,614.0,666.0,543.0,197.0,1.0
recommendation_system,0.7988287216655536,0.5121609184251436,0.72,15.0,Completed,632.0,644.0,548.0,193.0,1.0
recommendation_system,0.8046303894880565,0.5059656071127233,0.73,15.0,Completed,2685.0,657.0,429.0,221.0,2.0
recommendation_system,0.8085260888015566,0.5031953410106251,0.73,15.0,Completed,2625.0,670.0,692.0,214.0,1.0
recommendation_system,0.8115249303489104,0.4896665678178083,0.73,19.0,Completed,2771.0,698.0,622.0,202.0,1.0
recommendation_system,0.8122369247304166,0.3921761875729269,0.74,25.0,Completed,4205.0,425.0,881.0,221.0,1.0
