source,accuracy_estimation,runtime_estimation,ACCURACY,RUNTIME,Status,recent_samples_size,n_samples,n_permutations,update_interval,n_consecutive_deviations
benchmark_pareto,0.52,5.0,0.52,3.0,Completed,981.0,49.0,590.0,233.0,196.0
benchmark_pareto,0.55,6.0,0.55,4.0,Completed,1.0,1.0,1000.0,77.0,8.0
benchmark_pareto,0.56,7.0,0.56,5.0,Completed,1.0,117.0,98.0,243.0,8.0
benchmark_pareto,0.58,9.0,0.58,6.0,Completed,39.0,58.0,598.0,190.0,7.0
benchmark_pareto,0.62,12.0,0.62,7.0,Completed,2003.0,323.0,686.0,231.0,5.0
benchmark_pareto,0.63,15.0,0.63,9.0,Completed,2107.0,351.0,546.0,250.0,75.0
benchmark_pareto,0.66,23.0,0.66,10.0,Completed,2035.0,425.0,811.0,128.0,2.0
benchmark_pareto,0.68,28.0,0.68,11.0,Completed,59.0,363.0,134.0,132.0,8.0
benchmark_pareto,0.69,30.0,0.69,15.0,Completed,150.0,467.0,83.0,149.0,4.0
benchmark_pareto,0.71,47.0,0.71,26.0,Completed,239.0,1031.0,220.0,114.0,2.0
benchmark_pareto,0.73,54.0,0.73,29.0,Completed,200.0,1151.0,720.0,39.0,7.0
benchmark_pareto,0.74,223.0,0.74,106.0,Completed,1497.0,475.0,104.0,87.0,1.0
benchmark_pareto,0.75,390.0,0.75,171.0,Completed,5000.0,911.0,1000.0,61.0,1.0
benchmark_pareto,0.8,901.0,0.8,436.0,Completed,1090.0,1.0,1000.0,2.0,1.0
benchmark_max_rt,,2163.0,,913.0,Completed,303.0,4908.0,828.0,238.0,4.0
benchmark_min_acc,0.44,,0.44,,Completed,4194.0,481.0,565.0,196.0,190.0
paper_default,-1.0,-1.0,0.73,219.0,Completed,2000.0,400.0,20.0,50.0,3.0
paper_default,-1.0,-1.0,0.7,189.0,Completed,2000.0,800.0,20.0,50.0,3.0
paper_default,-1.0,-1.0,0.71,193.0,Completed,2000.0,1200.0,20.0,50.0,3.0
paper_default,-1.0,-1.0,0.71,163.0,Completed,2000.0,1600.0,20.0,50.0,3.0
paper_default,-1.0,-1.0,0.72,179.0,Completed,2000.0,2000.0,20.0,50.0,3.0
recommendation_system,0.6301705354032938,0.9333976009413014,0.52,3.0,Completed,6.0,76.0,586.0,230.0,196.0
recommendation_system,0.6431702147769593,0.9325288256581684,0.53,5.0,Completed,2456.0,169.0,443.0,215.0,199.0
recommendation_system,0.6495686239142121,0.930578101860377,0.47,4.0,Completed,581.0,103.0,532.0,248.0,220.0
recommendation_system,0.6533558915835352,0.9229430214458616,0.6,8.0,Completed,2613.0,273.0,411.0,215.0,178.0
recommendation_system,0.6569142659327751,0.922250326225732,0.54,10.0,Completed,2744.0,198.0,277.0,215.0,177.0
recommendation_system,0.6643872444242187,0.9206300181036928,0.55,9.0,Completed,2725.0,236.0,399.0,211.0,167.0
recommendation_system,0.666148348291053,0.9163382582357182,0.58,14.0,Completed,3260.0,307.0,399.0,211.0,168.0
recommendation_system,0.6904777860464981,0.910373338425948,0.6,13.0,Completed,2993.0,557.0,266.0,157.0,125.0
recommendation_system,0.6923606775521077,0.9070710879244568,0.59,13.0,Completed,2898.0,577.0,355.0,165.0,124.0
recommendation_system,0.6985035595743002,0.9030798589521164,0.6,19.0,Completed,527.0,741.0,197.0,178.0,65.0
recommendation_system,0.7162923603610726,0.8938675570791603,0.64,19.0,Completed,185.0,837.0,284.0,89.0,33.0
recommendation_system,0.7168521504281318,0.8901761300678452,0.67,23.0,Completed,182.0,1050.0,278.0,101.0,24.0
recommendation_system,0.7295920003668483,0.8756035666557119,0.7,33.0,Completed,2547.0,1253.0,446.0,207.0,16.0
recommendation_system,0.7569572878865038,0.8465837301571519,0.68,33.0,Completed,2538.0,932.0,391.0,194.0,1.0
recommendation_system,0.7676000008629322,0.7898545195694572,0.7,72.0,Completed,3509.0,759.0,557.0,188.0,1.0
recommendation_system,0.7778846989161389,0.7036311172619124,0.61,8.0,Completed,2112.0,194.0,793.0,100.0,46.0
recommendation_system,0.7979370089380228,0.6972535416655427,0.62,13.0,Completed,2240.0,230.0,862.0,104.0,41.0
recommendation_system,0.846975088467989,0.4702037781653665,0.65,62.0,Completed,4330.0,130.0,389.0,87.0,21.0
recommendation_system,0.8490701866779455,0.4608751798245265,0.65,67.0,Completed,4044.0,140.0,580.0,82.0,20.0
recommendation_system,0.8702897220539207,0.2609878105074066,0.69,72.0,Completed,3540.0,64.0,425.0,100.0,2.0
