source,accuracy_estimation,runtime_estimation,ACCURACY,RUNTIME,Status,recent_samples_size,n_samples,n_permutations,update_interval,n_consecutive_deviations
benchmark_pareto,0.73,1.0,0.73,1.0,Completed,1.0,1.0,1000.0,183.0,1.0
benchmark_pareto,0.74,3.0,0.74,2.0,Completed,2062.0,124.0,988.0,103.0,63.0
benchmark_pareto,0.75,5.0,0.75,3.0,Completed,1646.0,74.0,939.0,166.0,159.0
benchmark_max_rt,,4089.0,,98.0,Completed,1521.0,2858.0,122.0,12.0,9.0
benchmark_min_acc,0.7,,0.7,,Completed,1351.0,1996.0,25.0,22.0,1.0
paper_default,-1.0,-1.0,0.71,179.0,Completed,2000.0,400.0,20.0,50.0,3.0
paper_default,-1.0,-1.0,0.71,186.0,Completed,2000.0,800.0,20.0,50.0,3.0
paper_default,-1.0,-1.0,0.71,185.0,Completed,2000.0,1200.0,20.0,50.0,3.0
paper_default,-1.0,-1.0,0.72,169.0,Completed,2000.0,1600.0,20.0,50.0,3.0
paper_default,-1.0,-1.0,0.71,156.0,Completed,2000.0,2000.0,20.0,50.0,3.0
recommendation_system,0.4452425480293127,0.7656273713574069,0.73,1.0,Completed,2517.0,29.0,873.0,191.0,184.0
recommendation_system,0.4503957513982022,0.7591810344593645,0.73,1.0,Completed,2493.0,24.0,740.0,205.0,182.0
recommendation_system,0.4555850097614803,0.7588174347017346,0.73,1.0,Completed,2721.0,25.0,708.0,199.0,179.0
recommendation_system,0.4697671651152041,0.7551390084381984,0.73,1.0,Completed,3055.0,8.0,864.0,188.0,161.0
recommendation_system,0.4868203887615649,0.7523965606631491,0.73,1.0,Completed,2727.0,4.0,807.0,200.0,149.0
recommendation_system,0.4914420099689707,0.7499415473689793,0.73,1.0,Completed,2727.0,4.0,728.0,184.0,149.0
recommendation_system,0.4919510806005903,0.7481693431776651,0.73,1.0,Completed,2727.0,4.0,737.0,188.0,149.0
recommendation_system,0.4952926439936242,0.7378579930523927,0.73,1.0,Completed,719.0,15.0,504.0,245.0,170.0
recommendation_system,0.5035114992124796,0.73743273854977,0.73,1.0,Completed,2476.0,29.0,583.0,176.0,141.0
recommendation_system,0.5191633114525276,0.7255400695231681,0.73,2.0,Completed,2950.0,96.0,541.0,240.0,158.0
recommendation_system,0.5240375510473553,0.7209652584385392,0.75,2.0,Completed,2493.0,24.0,710.0,198.0,125.0
recommendation_system,0.5246395280334354,0.7187784075281971,0.73,1.0,Completed,2310.0,24.0,525.0,183.0,125.0
recommendation_system,0.6034102769053749,0.6604568946758705,0.73,3.0,Completed,56.0,317.0,294.0,243.0,10.0
recommendation_system,0.6157705910647089,0.6442835231434828,0.74,4.0,Completed,2362.0,287.0,230.0,241.0,96.0
recommendation_system,0.6186726355525374,0.6411199890477117,0.74,5.0,Completed,1685.0,333.0,234.0,245.0,109.0
recommendation_system,0.659068938115896,0.6364305804818776,0.74,6.0,Completed,74.0,464.0,260.0,78.0,19.0
recommendation_system,0.6692464434812939,0.6302842116781372,0.74,7.0,Completed,100.0,575.0,204.0,98.0,14.0
recommendation_system,0.7165124902101478,0.5830947761155202,0.74,11.0,Completed,156.0,702.0,118.0,89.0,3.0
recommendation_system,0.7278067438054343,0.5803411350603411,0.74,13.0,Completed,185.0,743.0,119.0,83.0,4.0
recommendation_system,0.7387761670280377,0.5627963735690688,0.74,16.0,Completed,190.0,1014.0,862.0,80.0,2.0
