source,accuracy_estimation,runtime_estimation,ACCURACY,RUNTIME,Status,recent_samples_size,n_samples,n_permutations,update_interval,n_consecutive_deviations
benchmark_pareto,0.55,0.0,0.55,0.0,Completed,4950.0,2992.0,197.0,239.0,173.0
benchmark_pareto,0.57,1.0,0.57,1.0,Completed,272.0,1.0,659.0,162.0,10.0
benchmark_pareto,0.58,2.0,0.58,2.0,Completed,545.0,681.0,513.0,182.0,1.0
benchmark_max_rt,,79.0,,45.0,Completed,3472.0,38.0,1000.0,2.0,1.0
benchmark_min_acc,0.53,,0.53,,Completed,2490.0,1.0,224.0,2.0,1.0
paper_default,-1.0,-1.0,0.58,3.0,Completed,2000.0,400.0,20.0,50.0,3.0
paper_default,-1.0,-1.0,0.57,3.0,Completed,2000.0,800.0,20.0,50.0,3.0
paper_default,-1.0,-1.0,0.56,3.0,Completed,2000.0,1200.0,20.0,50.0,3.0
paper_default,-1.0,-1.0,0.55,2.0,Completed,2000.0,1600.0,20.0,50.0,3.0
paper_default,-1.0,-1.0,0.55,0.0,Completed,2000.0,2000.0,20.0,50.0,3.0
recommendation_system,0.3690410109010518,0.689892659258968,0.55,0.0,Completed,372.0,10.0,498.0,215.0,167.0
recommendation_system,0.404591100523572,0.6769555442910956,0.55,0.0,Completed,2623.0,7.0,236.0,237.0,151.0
recommendation_system,0.6274511832700641,0.5872450163057941,0.56,0.0,Completed,140.0,7.0,220.0,77.0,17.0
recommendation_system,0.6561795204957817,0.5509954987885666,0.57,0.0,Completed,120.0,21.0,652.0,92.0,3.0
recommendation_system,0.7067764648077288,0.5233011282548594,0.56,1.0,Completed,56.0,100.0,211.0,51.0,1.0
recommendation_system,0.7104127971823135,0.5184575395244065,0.57,0.0,Completed,55.0,98.0,183.0,52.0,1.0
recommendation_system,0.806537991524786,0.3546679801970887,0.55,1.0,Completed,2175.0,669.0,354.0,56.0,1.0
recommendation_system,0.8213569955465193,0.3249036010104569,0.57,1.0,Completed,2404.0,869.0,756.0,54.0,1.0
recommendation_system,0.8260788895134448,0.2450859966256303,0.58,2.0,Completed,3227.0,912.0,602.0,84.0,1.0
recommendation_system,0.3191390263350208,0.6874389675289729,0.55,0.0,Completed,15.0,21.0,472.0,201.0,175.0
recommendation_system,0.3350369756517494,0.6865732242622535,0.55,0.0,Completed,676.0,2.0,688.0,202.0,190.0
recommendation_system,0.3393098954547575,0.6857890126417078,0.55,0.0,Completed,5.0,19.0,456.0,221.0,168.0
recommendation_system,0.3500422449486011,0.6844759142579239,0.55,0.0,Completed,341.0,62.0,582.0,205.0,180.0
recommendation_system,0.3530865254902616,0.6834846163196038,0.55,0.0,Completed,353.0,21.0,695.0,226.0,172.0
recommendation_system,0.3539143389446804,0.6834614643473256,0.55,0.0,Completed,116.0,5.0,907.0,239.0,161.0
recommendation_system,0.3560148800783522,0.6812304593615947,0.55,0.0,Completed,287.0,21.0,600.0,206.0,167.0
recommendation_system,0.3743013283857603,0.6759718575820632,0.55,0.0,Completed,2709.0,14.0,582.0,223.0,177.0
recommendation_system,0.6229894824853944,0.5748598658400104,0.57,0.0,Completed,57.0,5.0,246.0,83.0,3.0
recommendation_system,0.778551688875814,0.3806552493882344,0.58,1.0,Completed,403.0,750.0,184.0,70.0,1.0
recommendation_system,0.8012787780690162,0.3307972087809091,0.57,1.0,Completed,2337.0,873.0,542.0,52.0,2.0
