source,accuracy_estimation,runtime_estimation,ACCURACY,RUNTIME,Status,recent_samples_size,n_samples,n_permutations,update_interval,n_consecutive_deviations
benchmark_pareto,0.32,11.0,0.32,5.0,Completed,1.0,1.0,1000.0,130.0,10.0
benchmark_pareto,0.34,14.0,0.34,7.0,Completed,3695.0,1.0,1000.0,38.0,9.0
benchmark_pareto,0.39,17.0,0.39,8.0,Completed,3547.0,1.0,1000.0,45.0,8.0
benchmark_pareto,0.41,21.0,0.41,11.0,Completed,1903.0,5.0,765.0,182.0,93.0
benchmark_pareto,0.45,23.0,0.45,12.0,Completed,1031.0,22.0,239.0,160.0,135.0
benchmark_pareto,0.46,25.0,0.46,13.0,Completed,3122.0,85.0,475.0,148.0,137.0
benchmark_pareto,0.5,30.0,0.5,17.0,Completed,4336.0,86.0,923.0,204.0,157.0
benchmark_pareto,0.54,40.0,0.54,22.0,Completed,4390.0,96.0,384.0,184.0,123.0
benchmark_pareto,0.55,54.0,0.55,27.0,Completed,3976.0,1.0,1000.0,141.0,3.0
benchmark_pareto,0.56,61.0,0.56,34.0,Completed,4753.0,145.0,336.0,190.0,73.0
benchmark_pareto,0.57,67.0,0.57,38.0,Completed,1583.0,134.0,320.0,145.0,38.0
benchmark_pareto,0.58,77.0,0.58,40.0,Completed,3812.0,30.0,780.0,230.0,50.0
benchmark_pareto,0.59,88.0,0.59,49.0,Completed,4885.0,71.0,81.0,164.0,36.0
benchmark_pareto,0.6,173.0,0.6,108.0,Completed,2799.0,719.0,420.0,117.0,2.0
benchmark_pareto,0.61,193.0,0.61,122.0,Completed,3609.0,1218.0,649.0,224.0,4.0
benchmark_pareto,0.62,296.0,0.62,184.0,Completed,1566.0,771.0,77.0,187.0,2.0
benchmark_max_rt,,5935.0,,3417.0,Completed,2097.0,2505.0,902.0,183.0,4.0
benchmark_min_acc,0.27,,0.27,,Completed,77.0,4965.0,62.0,100.0,6.0
paper_default,-1.0,-1.0,0.57,87.0,Completed,2000.0,400.0,20.0,50.0,3.0
paper_default,-1.0,-1.0,0.49,54.0,Completed,2000.0,800.0,20.0,50.0,3.0
paper_default,-1.0,-1.0,0.33,52.0,Completed,2000.0,1200.0,20.0,50.0,3.0
paper_default,-1.0,-1.0,0.33,68.0,Completed,2000.0,1600.0,20.0,50.0,3.0
paper_default,-1.0,-1.0,0.34,81.0,Completed,2000.0,2000.0,20.0,50.0,3.0
recommendation_system,0.358971002281094,0.7933499777253503,0.3,15.0,Completed,24.0,33.0,412.0,222.0,165.0
recommendation_system,0.3596596754108589,0.7913173067051262,0.32,13.0,Completed,16.0,15.0,504.0,228.0,163.0
recommendation_system,0.3893988883083715,0.7864744331847673,0.33,9.0,Completed,2279.0,15.0,396.0,232.0,163.0
recommendation_system,0.5115934095860568,0.7535364919650765,0.39,10.0,Completed,47.0,8.0,136.0,204.0,27.0
recommendation_system,0.5424121659461417,0.7248631671027276,0.32,6.0,Completed,115.0,1.0,137.0,178.0,25.0
recommendation_system,0.5653008351488747,0.7057570183040915,0.35,9.0,Completed,21.0,12.0,520.0,93.0,18.0
recommendation_system,0.5779447808033003,0.7041996422507835,0.33,11.0,Completed,16.0,45.0,231.0,107.0,18.0
recommendation_system,0.5798854288420934,0.6877607247929077,0.32,6.0,Completed,2.0,1.0,574.0,42.0,10.0
recommendation_system,0.6266977067269497,0.6532078080600165,0.36,15.0,Completed,120.0,126.0,926.0,86.0,22.0
recommendation_system,0.6272216547945086,0.6529072623723182,0.39,15.0,Completed,122.0,106.0,527.0,116.0,19.0
recommendation_system,0.6665739559785373,0.6112913924186353,0.47,14.0,Completed,45.0,7.0,773.0,45.0,3.0
recommendation_system,0.6980721614345263,0.5953568740202577,0.51,20.0,Completed,76.0,95.0,874.0,60.0,3.0
recommendation_system,0.7008291906936542,0.58823702183966,0.54,26.0,Completed,52.0,13.0,525.0,35.0,1.0
recommendation_system,0.7032014374527357,0.5522843323348887,0.58,52.0,Completed,132.0,37.0,646.0,47.0,1.0
recommendation_system,0.7741978650509935,0.4526499246923773,0.47,50.0,Completed,255.0,734.0,553.0,37.0,1.0
recommendation_system,0.7786181378153867,0.4508229862326584,0.47,51.0,Completed,278.0,810.0,733.0,49.0,1.0
recommendation_system,0.7920772568771132,0.4333747896693682,0.49,55.0,Completed,377.0,742.0,145.0,41.0,1.0
recommendation_system,0.7924992942829919,0.3615887811222085,0.53,77.0,Completed,610.0,789.0,672.0,48.0,1.0
recommendation_system,0.793430452892073,0.3576680521886829,0.54,102.0,Completed,2422.0,755.0,986.0,58.0,1.0
recommendation_system,0.7997401323638215,0.3068118452180909,0.57,106.0,Completed,1090.0,863.0,701.0,48.0,1.0
