source,accuracy_estimation,runtime_estimation,ACCURACY,RUNTIME,Status,recent_samples_size,feature_id,threshold,window_size
benchmark_pareto,0.29,9.0,0.29,4.0,Completed,4232.0,8.0,0.925,394.0
benchmark_pareto,0.35,38.0,0.35,23.0,Completed,3627.0,8.0,0.725,1038.0
benchmark_pareto,0.38,202.0,0.38,107.0,Completed,108.0,69.0,0.61,107.0
benchmark_pareto,0.39,7799.0,0.39,3698.0,Completed,3446.0,79.0,0.182,884.0
benchmark_max_rt,,10550.0,,4723.0,Completed,4883.0,94.0,0.025,2360.0
benchmark_min_acc,0.1,,0.1,,Completed,536.0,71.0,0.701,55.0
paper_default,-1.0,-1.0,0.32,607.0,Completed,100.0,0.0,0.001,100.0
paper_default,-1.0,-1.0,,,MAX_RT,2000.0,0.0,0.001,100.0
paper_default,-1.0,-1.0,,,MAX_RT,500.0,0.0,0.001,500.0
paper_default,-1.0,-1.0,,,MAX_RT,2000.0,0.0,0.001,500.0
paper_default,-1.0,-1.0,,,MAX_RT,1000.0,0.0,0.001,1000.0
paper_default,-1.0,-1.0,,,MAX_RT,2000.0,0.0,0.001,1000.0
paper_default,-1.0,-1.0,,,MAX_RT,2000.0,0.0,0.001,2000.0
recommendation_system,0.838425908967576,0.9707802187712296,0.17,7.0,Completed,2930.0,36.0,0.9784347342811524,1265.0
recommendation_system,0.8517466422466422,0.9703447849899643,0.17,10.0,Completed,37.0,27.0,0.989524131716672,1225.0
recommendation_system,0.8884012006512008,0.9573316584416276,0.17,7.0,Completed,37.0,3.0,0.7760436590861582,1225.0
recommendation_system,0.8886895943562612,0.95148690611595,0.27,27.0,Completed,39.0,3.0,0.4978168830182216,1225.0
recommendation_system,0.8906587471170805,0.949158038099914,0.27,38.0,Completed,41.0,3.0,0.4640046217149595,1225.0
recommendation_system,0.937021559716004,0.915906685987392,0.28,313.0,Completed,66.0,3.0,0.0586649998743739,2668.0
recommendation_system,0.9376466218966216,0.9112630291407476,0.28,213.0,Completed,41.0,3.0,0.0650805192009838,1693.0
recommendation_system,0.9382544091710756,0.910353580792598,0.32,224.0,Completed,41.0,3.0,0.026368288490607,1673.0
recommendation_system,0.8330936100936105,0.9705428788030231,0.26,12.0,Completed,2944.0,25.0,0.9881311084311456,1908.0
recommendation_system,0.8378330789580791,0.970149574741742,0.17,14.0,Completed,2705.0,27.0,0.9817125602327288,2288.0
recommendation_system,0.8379394078144081,0.970114979646673,0.17,13.0,Completed,2330.0,36.0,0.9850290616952252,1682.0
recommendation_system,0.8482701465201467,0.9691458817083224,0.17,13.0,Completed,37.0,31.0,0.9720645336429408,1225.0
recommendation_system,0.8811445529778863,0.9586968462384492,0.17,13.0,Completed,41.0,3.0,0.7981167632712655,1225.0
recommendation_system,0.8906587471170805,0.948929307628256,0.28,67.0,Completed,37.0,3.0,0.4640046217149595,1225.0
recommendation_system,0.9032376486682044,0.9361550771107872,0.29,101.0,Completed,39.0,3.0,0.3645413213259793,1225.0
recommendation_system,0.903931047347714,0.9357949233859908,0.29,112.0,Completed,37.0,3.0,0.3345698420586687,1225.0
recommendation_system,0.9157643806810472,0.9342894778604408,0.26,149.0,Completed,37.0,3.0,0.2772741416405814,1225.0
recommendation_system,0.9347843632704742,0.914804042409376,0.28,189.0,Completed,39.0,3.0,0.0650805192009838,2720.0
recommendation_system,0.936640743001854,0.905911333172268,0.28,158.0,Completed,37.0,3.0,0.0650805192009838,2360.0
recommendation_system,0.9382544091710756,0.9052424104843084,0.32,204.0,Completed,37.0,3.0,0.026368288490607,1693.0
