source,accuracy_estimation,runtime_estimation,ACCURACY,RUNTIME,Status,recent_samples_size,feature_id,threshold,window_size
benchmark_pareto,0.69,13.0,0.69,7.0,Completed,2812.0,3.0,0.944,94.0
benchmark_pareto,0.7,16.0,0.7,9.0,Completed,1.0,3.0,0.001,1.0
benchmark_max_rt,,12936.0,,5618.0,Completed,1908.0,3.0,0.198,1214.0
benchmark_min_acc,0.66,,0.66,,Completed,4826.0,1.0,0.991,4941.0
paper_default,-1.0,-1.0,0.68,379.0,Completed,100.0,0.0,0.001,100.0
paper_default,-1.0,-1.0,,,MAX_RT,2000.0,0.0,0.001,100.0
paper_default,-1.0,-1.0,0.68,2229.0,Completed,500.0,0.0,0.001,500.0
paper_default,-1.0,-1.0,,,MAX_RT,2000.0,0.0,0.001,500.0
paper_default,-1.0,-1.0,,,MAX_RT,1000.0,0.0,0.001,1000.0
paper_default,-1.0,-1.0,,,MAX_RT,2000.0,0.0,0.001,1000.0
paper_default,-1.0,-1.0,,,MAX_RT,2000.0,0.0,0.001,2000.0
recommendation_system,0.52234623,0.854369436,0.69,6.0,Completed,2.0,3.0,0.986363443,432.0
recommendation_system,0.523658277,0.841819157,0.69,6.0,Completed,4.0,3.0,0.921341981,873.0
recommendation_system,0.546531853,0.837112396,0.69,6.0,Completed,32.0,3.0,0.976219836,347.0
recommendation_system,0.596474266,0.821815915,0.69,5.0,Completed,32.0,3.0,0.984679153,151.0
recommendation_system,0.598926373,0.8152856,0.69,5.0,Completed,32.0,3.0,0.984679153,124.0
recommendation_system,0.60218098,0.814877264,0.69,5.0,Completed,32.0,3.0,0.935856529,124.0
recommendation_system,0.60291427,0.811346606,0.69,5.0,Completed,32.0,3.0,0.935856529,108.0
recommendation_system,0.63235561,0.805957407,0.69,5.0,Completed,32.0,3.0,0.897234488,124.0
recommendation_system,0.63371564,0.803797608,0.69,5.0,Completed,13.0,3.0,0.910786691,59.0
recommendation_system,0.764793481,0.802233258,0.7,13.0,Completed,3.0,3.0,0.129638166,7.0
recommendation_system,0.782997907,0.785188337,0.7,11.0,Completed,2.0,3.0,0.091868104,30.0
recommendation_system,0.79057062,0.774938173,0.7,16.0,Completed,4.0,3.0,0.053574169,7.0
recommendation_system,0.791702401,0.737673847,0.7,56.0,Completed,14.0,3.0,0.074536335,11.0
recommendation_system,0.4466479,0.849859927,0.69,8.0,Completed,3785.0,3.0,0.966856144,734.0
recommendation_system,0.588387922,0.820573275,0.69,7.0,Completed,32.0,3.0,0.984679153,160.0
recommendation_system,0.60053386,0.813590508,0.69,7.0,Completed,24.0,3.0,0.935732481,124.0
recommendation_system,0.627018037,0.804201245,0.69,12.0,Completed,24.0,3.0,0.897234488,136.0
recommendation_system,0.672693887,0.801509792,0.69,16.0,Completed,12.0,3.0,0.893240106,22.0
recommendation_system,0.78042236,0.739497456,0.7,43.0,Completed,10.0,3.0,0.022664628,5.0
recommendation_system,0.787777935,0.705149554,0.7,85.0,Completed,21.0,3.0,0.064791603,27.0
