source,accuracy_estimation,runtime_estimation,ACCURACY,RUNTIME,Status,recent_samples_size,feature_id,threshold,window_size
benchmark_pareto,0.06,3.0,0.06,2.0,Completed,1708.0,12.0,0.585,3839.0
benchmark_pareto,0.08,4.0,0.08,3.0,Completed,5000.0,9.0,0.999,1805.0
benchmark_pareto,0.09,93.0,0.09,40.0,Completed,2042.0,9.0,0.001,494.0
benchmark_pareto,0.1,6115.0,0.1,2947.0,Completed,4991.0,9.0,0.013,368.0
benchmark_max_rt,,6446.0,,3605.0,Completed,3887.0,4.0,0.832,1.0
benchmark_min_acc,0.01,,0.01,,Completed,2412.0,6.0,0.999,1.0
paper_default,-1.0,-1.0,,,MAX_RT,500.0,0.0,0.001,500.0
paper_default,-1.0,-1.0,,,MAX_RT,2000.0,0.0,0.001,500.0
paper_default,-1.0,-1.0,,,MAX_RT,1000.0,0.0,0.001,1000.0
paper_default,-1.0,-1.0,,,MAX_RT,2000.0,0.0,0.001,1000.0
paper_default,-1.0,-1.0,0.04,2.0,Completed,2000.0,0.0,0.001,2000.0
recommendation_system,0.332995347,0.793517796,0.04,2.0,Completed,4101.0,16.0,0.978389926,646.0
recommendation_system,0.339540477,0.792559755,0.04,2.0,Completed,4278.0,15.0,0.955957459,742.0
recommendation_system,0.377951728,0.775554033,0.06,2.0,Completed,3543.0,8.0,0.935856529,868.0
recommendation_system,0.418139474,0.755684395,0.06,2.0,Completed,24.0,5.0,0.95238335,154.0
recommendation_system,0.432327818,0.744968439,0.06,2.0,Completed,33.0,5.0,0.998718238,114.0
recommendation_system,0.627654212,0.589974409,0.06,48.0,Completed,33.0,5.0,0.020153892,235.0
recommendation_system,0.629870036,0.573129587,0.06,42.0,Completed,33.0,5.0,0.020153892,456.0
recommendation_system,0.324214556,0.792611808,0.04,2.0,Completed,4159.0,16.0,0.961888712,1422.0
recommendation_system,0.324309407,0.792353908,0.04,2.0,Completed,4439.0,16.0,0.972064534,751.0
recommendation_system,0.355076875,0.783958317,0.06,2.0,Completed,4247.0,5.0,0.979812093,942.0
recommendation_system,0.357683962,0.781034614,0.06,2.0,Completed,3245.0,5.0,0.961168521,959.0
recommendation_system,0.365941461,0.778113622,0.06,2.0,Completed,4093.0,5.0,0.99735488,905.0
recommendation_system,0.37491154,0.777573448,0.06,2.0,Completed,68.0,5.0,0.998718238,967.0
recommendation_system,0.414618482,0.750153713,0.06,2.0,Completed,33.0,5.0,0.985029062,114.0
recommendation_system,0.415428391,0.749596367,0.06,2.0,Completed,24.0,5.0,0.985029062,119.0
recommendation_system,0.430673235,0.742955172,0.06,2.0,Completed,33.0,5.0,0.998718238,119.0
recommendation_system,0.447835895,0.666767754,0.04,3.0,Completed,33.0,6.0,0.509403284,1203.0
recommendation_system,0.580771287,0.661894034,0.05,11.0,Completed,8.0,5.0,0.136198519,116.0
recommendation_system,0.583517,0.66013113,0.06,13.0,Completed,9.0,5.0,0.113228977,220.0
recommendation_system,0.668300446,0.472337657,0.06,50.0,Completed,2040.0,5.0,0.016817767,485.0
