source,accuracy_estimation,runtime_estimation,ACCURACY,RUNTIME,Status,recent_samples_size,feature_id,threshold,window_size
benchmark_pareto,0.11,88.0,0.11,55.0,Completed,1169.0,0.0,0.999,1034.0
benchmark_pareto,0.19,103.0,0.19,65.0,Completed,4786.0,26.0,0.912,116.0
benchmark_pareto,0.2,108.0,0.2,67.0,Completed,1.0,0.0,0.095,1.0
benchmark_pareto,0.21,115.0,0.21,92.0,Completed,1.0,26.0,0.684,449.0
benchmark_pareto,0.23,141.0,0.23,109.0,Completed,1.0,26.0,0.456,1.0
benchmark_pareto,0.26,813.0,0.26,432.0,Completed,2010.0,26.0,0.001,96.0
benchmark_pareto,0.27,1765.0,0.27,1320.0,Completed,2025.0,26.0,0.001,780.0
benchmark_max_rt,,13903.0,,7090.0,Completed,504.0,13.0,0.715,675.0
benchmark_min_acc,0.07,,0.07,,Completed,1.0,25.0,0.999,117.0
paper_default,-1.0,-1.0,0.21,2386.0,Completed,100.0,0.0,0.001,100.0
paper_default,-1.0,-1.0,,,MAX_RT,2000.0,0.0,0.001,100.0
paper_default,-1.0,-1.0,,,MAX_RT,500.0,0.0,0.001,500.0
paper_default,-1.0,-1.0,,,MAX_RT,2000.0,0.0,0.001,500.0
paper_default,-1.0,-1.0,,,MAX_RT,1000.0,0.0,0.001,1000.0
paper_default,-1.0,-1.0,,,MAX_RT,2000.0,0.0,0.001,1000.0
paper_default,-1.0,-1.0,,,MAX_RT,2000.0,0.0,0.001,2000.0
recommendation_system,0.4053657,0.862756066,0.11,57.0,Completed,19.0,0.0,0.991978867,1274.0
recommendation_system,0.418336214,0.862417962,0.1,102.0,Completed,19.0,5.0,0.991978867,2211.0
recommendation_system,0.437422717,0.858443889,0.1,79.0,Completed,22.0,7.0,0.978571876,4845.0
recommendation_system,0.447003545,0.838478467,0.11,93.0,Completed,3.0,9.0,0.687227575,4974.0
recommendation_system,0.475124735,0.784451504,0.15,61.0,Completed,24.0,0.0,0.429788093,2776.0
recommendation_system,0.478184909,0.782324705,0.11,54.0,Completed,9.0,0.0,0.398513034,2962.0
recommendation_system,0.504188609,0.739168308,0.18,74.0,Completed,2.0,0.0,0.285834945,2651.0
recommendation_system,0.527877601,0.664216505,0.21,299.0,Completed,9.0,0.0,0.079637905,3230.0
recommendation_system,0.534705179,0.659247727,0.16,707.0,Completed,17.0,3.0,0.276492286,676.0
recommendation_system,0.553924318,0.641753146,0.17,750.0,Completed,14.0,3.0,0.136083374,1274.0
recommendation_system,0.568713245,0.624344133,0.17,832.0,Completed,14.0,3.0,0.085668039,1202.0
recommendation_system,0.594662837,0.610280286,0.21,308.0,Completed,4.0,9.0,0.07596793,2261.0
recommendation_system,0.596390691,0.594051929,0.17,632.0,Completed,9.0,3.0,0.040289948,3359.0
recommendation_system,0.332010749,0.874259213,0.1,115.0,Completed,1342.0,21.0,0.981050184,1025.0
recommendation_system,0.459160858,0.805506042,0.11,68.0,Completed,8.0,0.0,0.361182797,4751.0
recommendation_system,0.480588372,0.765493755,0.18,282.0,Completed,19.0,0.0,0.389517023,2229.0
recommendation_system,0.509512789,0.685996371,0.15,170.0,Completed,5.0,3.0,0.351937993,1217.0
recommendation_system,0.553732961,0.639029167,0.17,858.0,Completed,14.0,3.0,0.148157622,1274.0
recommendation_system,0.588150976,0.60055357,0.17,951.0,Completed,19.0,3.0,0.085668039,2967.0
recommendation_system,0.591973283,0.587170253,0.17,1120.0,Completed,19.0,3.0,0.066074182,2433.0
