source,accuracy_estimation,runtime_estimation,ACCURACY,RUNTIME,Status,recent_samples_size,n_samples,k_neighbors,n_permutations,significance_level
paper_default,-1.0,-1.0,,,MAX_RT,100,100,30,500,0.01
paper_default,-1.0,-1.0,,,MAX_RT,50,50,30,500,0.01
paper_default,-1.0,-1.0,,,MAX_RT,75,75,30,500,0.01
paper_default,-1.0,-1.0,,,MAX_RT,150,150,30,500,0.01
paper_default,-1.0,-1.0,,,MAX_RT,200,200,30,500,0.01
paper_default,-1.0,-1.0,,,MAX_RT,2000,100,30,500,0.01
paper_default,-1.0,-1.0,,,MAX_RT,2000,50,30,500,0.01
paper_default,-1.0,-1.0,,,MAX_RT,2000,75,30,500,0.01
paper_default,-1.0,-1.0,,,MAX_RT,2000,150,30,500,0.01
paper_default,-1.0,-1.0,,,MAX_RT,2000,200,30,500,0.01
recommendation_system,0.315260417,0.669484897,0.58,530.0,Completed,2140,1,1,9,0.089661715
recommendation_system,0.340353009,0.662385097,,,MAX_RT,2522,4,2,3,0.019413997
recommendation_system,0.359371528,0.660787378,0.58,535.0,Completed,3788,1,1,7,0.469459586
recommendation_system,0.378947917,0.65019898,0.58,736.0,Completed,2986,1,1,26,0.030255629
recommendation_system,0.38590162,0.647633581,0.85,5482.0,Completed,2872,24,1,4,0.133653508
recommendation_system,0.535222222,0.565318713,0.86,3672.0,Completed,2138,17,26,22,0.076604917
recommendation_system,0.558484375,0.56439185,0.85,2363.0,Completed,2060,24,24,17,0.33027559
recommendation_system,0.572192708,0.55219697,0.83,2041.0,Completed,2032,46,24,19,0.282506403
recommendation_system,0.572791088,0.547929837,0.86,5166.0,Completed,2409,46,21,17,0.21163313
recommendation_system,0.640616319,0.492577515,0.85,4205.0,Completed,2129,46,80,44,0.089050294
recommendation_system,0.696652199,0.399067216,,,MAX_RT,2989,54,79,203,0.286907291
recommendation_system,0.341005208,0.656334956,0.58,785.0,Completed,1563,1,1,18,0.136542218
recommendation_system,0.36187037,0.648442326,,,MAX_RT,2645,2,1,21,0.027031171
recommendation_system,0.443013889,0.605354101,0.58,709.0,Completed,1891,17,27,1,0.037761894
recommendation_system,0.45640625,0.602701306,0.81,1621.0,Completed,2014,22,28,4,0.02901131
recommendation_system,0.556333333,0.554468444,0.86,4404.0,Completed,2234,57,23,23,0.052639609
recommendation_system,0.60559375,0.516705244,0.85,3973.0,Completed,2066,46,58,32,0.339339267
recommendation_system,0.675836806,0.440391268,0.86,6193.0,Completed,2152,41,74,134,0.145188286
recommendation_system,0.695326389,0.397886477,,,MAX_RT,3372,46,71,190,0.342775021
recommendation_system,0.70590162,0.228215455,,,MAX_RT,3808,169,79,597,0.142921746
