source,accuracy_estimation,runtime_estimation,ACCURACY,RUNTIME,Status,recent_samples_size,n_samples,k_neighbors,n_permutations,significance_level
benchmark_pareto,0.52,18.0,0.52,14.0,Completed,2316.0,1.0,1.0,1.0,0.637
benchmark_pareto,0.75,249.0,0.75,236.0,Completed,1.0,122.0,47.0,28.0,0.999
benchmark_pareto,0.77,436.0,0.77,346.0,Completed,59.0,18.0,13.0,675.0,0.213
benchmark_pareto,0.81,449.0,0.8,351.0,Completed,2349.0,89.0,68.0,13.0,0.75
benchmark_pareto,0.84,671.0,0.84,492.0,Completed,332.0,7.0,1.0,243.0,0.744
benchmark_max_rt,,13982.0,,10936.0,Completed,4781.0,1414.0,47.0,25.0,0.314
benchmark_min_acc,0.52,,0.52,,Completed,848.0,1.0,1.0,1.0,0.999
paper_default,-1.0,-1.0,0.77,768.0,Completed,100.0,100.0,30.0,500.0,0.01
paper_default,-1.0,-1.0,0.75,346.0,Completed,50.0,50.0,30.0,500.0,0.01
paper_default,-1.0,-1.0,0.76,538.0,Completed,75.0,75.0,30.0,500.0,0.01
paper_default,-1.0,-1.0,,,MAX_RT,150.0,150.0,30.0,500.0,0.01
paper_default,-1.0,-1.0,,,MAX_RT,200.0,200.0,30.0,500.0,0.01
paper_default,-1.0,-1.0,0.78,1023.0,Completed,2000.0,100.0,30.0,500.0,0.01
paper_default,-1.0,-1.0,0.76,676.0,Completed,2000.0,50.0,30.0,500.0,0.01
paper_default,-1.0,-1.0,0.77,817.0,Completed,2000.0,75.0,30.0,500.0,0.01
paper_default,-1.0,-1.0,,,MAX_RT,2000.0,150.0,30.0,500.0,0.01
paper_default,-1.0,-1.0,,,MAX_RT,2000.0,200.0,30.0,500.0,0.01
recommendation_system,0.4864149305555556,0.6850721538007307,0.82,258.0,Completed,483.0,10.0,1.0,3.0,0.2458641651520031
recommendation_system,0.4923917824074074,0.6838836508021564,0.79,132.0,Completed,569.0,37.0,1.0,5.0,0.3436177351185155
recommendation_system,0.5583344907407407,0.6554688898905286,0.52,23.0,Completed,1111.0,42.0,1.0,1.0,0.8775398341067994
recommendation_system,0.5585619212962963,0.648091428196889,0.84,301.0,Completed,2340.0,8.0,1.0,2.0,0.8366012641113689
recommendation_system,0.6993096064814812,0.4549981064497174,0.79,410.0,Completed,2715.0,101.0,64.0,83.0,0.3111041122146428
recommendation_system,0.7186082175925922,0.4328369026749372,0.79,464.0,Completed,2705.0,112.0,61.0,102.0,0.3281043797387321
recommendation_system,0.7337905092592591,0.4129133462636857,0.8,501.0,Completed,2855.0,102.0,63.0,119.0,0.3359421552429016
recommendation_system,0.7528935185185186,0.3992481350555931,0.78,556.0,Completed,2822.0,110.0,65.0,150.0,0.391096378504852
recommendation_system,0.7590480324074074,0.3976718967546587,0.8,585.0,Completed,2898.0,112.0,66.0,145.0,0.3919827176332474
recommendation_system,0.7651440972222224,0.3472618259533398,0.81,619.0,Completed,3299.0,65.0,18.0,257.0,0.8510837075896561
recommendation_system,0.5390289351851852,0.6512567033836989,0.76,114.0,Completed,2747.0,80.0,1.0,2.0,0.3960724300903497
recommendation_system,0.5431493055555556,0.6489856463173412,0.8,149.0,Completed,2942.0,48.0,1.0,3.0,0.4410387189063278
recommendation_system,0.5630243055555557,0.6341556264669218,0.77,124.0,Completed,2741.0,84.0,2.0,2.0,0.4431471170958293
recommendation_system,0.5938281250000003,0.5862563809136015,0.52,13.0,Completed,2340.0,8.0,15.0,2.0,0.8366012641113689
recommendation_system,0.7101793981481481,0.4320951877305363,0.79,465.0,Completed,2742.0,98.0,71.0,110.0,0.3842835251539945
recommendation_system,0.7160578703703703,0.4305550591766484,0.79,478.0,Completed,2809.0,105.0,67.0,96.0,0.3938293702331661
recommendation_system,0.7352841435185188,0.4077884363896513,0.8,512.0,Completed,2788.0,97.0,70.0,133.0,0.3960724300903497
recommendation_system,0.7491186342592594,0.3445860560266485,0.81,595.0,Completed,3206.0,84.0,15.0,255.0,0.8634119869489223
recommendation_system,0.7564930555555556,0.3235191280097831,0.8,774.0,Completed,4408.0,87.0,16.0,290.0,0.8819601991437376
recommendation_system,0.7602881944444446,0.2627615046954972,0.81,1073.0,Completed,2974.0,41.0,64.0,766.0,0.8342690004371106
