source,accuracy_estimation,runtime_estimation,ACCURACY,RUNTIME,Status,recent_samples_size,n_samples,k_neighbors,n_permutations,significance_level
benchmark_pareto,0.55,0.0,0.55,0.0,Completed,5000.0,3277.0,100.0,196.0,0.999
benchmark_pareto,0.58,23.0,0.58,15.0,Completed,2951.0,50.0,24.0,28.0,0.32
benchmark_pareto,0.59,358.0,0.59,317.0,Completed,5000.0,185.0,1.0,395.0,0.999
benchmark_max_rt,,14336.0,,11938.0,Completed,2899.0,1156.0,25.0,652.0,0.059
benchmark_min_acc,0.54,,0.54,,Completed,2711.0,181.0,33.0,984.0,0.442
paper_default,-1.0,-1.0,0.58,118.0,Completed,100.0,100.0,30.0,500.0,0.01
paper_default,-1.0,-1.0,0.57,53.0,Completed,50.0,50.0,30.0,500.0,0.01
paper_default,-1.0,-1.0,0.57,82.0,Completed,75.0,75.0,30.0,500.0,0.01
paper_default,-1.0,-1.0,0.57,253.0,Completed,150.0,150.0,30.0,500.0,0.01
paper_default,-1.0,-1.0,0.57,451.0,Completed,200.0,200.0,30.0,500.0,0.01
paper_default,-1.0,-1.0,0.57,133.0,Completed,2000.0,100.0,30.0,500.0,0.01
paper_default,-1.0,-1.0,0.57,62.0,Completed,2000.0,50.0,30.0,500.0,0.01
paper_default,-1.0,-1.0,0.58,89.0,Completed,2000.0,75.0,30.0,500.0,0.01
paper_default,-1.0,-1.0,0.56,273.0,Completed,2000.0,150.0,30.0,500.0,0.01
paper_default,-1.0,-1.0,0.57,474.0,Completed,2000.0,200.0,30.0,500.0,0.01
recommendation_system,0.4485677083333333,0.6607947841329935,0.55,2.0,Completed,2793.0,1.0,1.0,7.0,0.2361394161607714
recommendation_system,0.4500086805555556,0.656284514375937,0.54,22.0,Completed,2764.0,3.0,1.0,6.0,0.2058327882583816
recommendation_system,0.463666087962963,0.6524185128817647,0.54,21.0,Completed,2708.0,2.0,1.0,12.0,0.1670563192789806
recommendation_system,0.4649363425925926,0.6338574955324179,0.55,23.0,Completed,2772.0,2.0,1.0,18.0,0.264965616400202
recommendation_system,0.465384837962963,0.6300022516867785,0.55,2.0,Completed,2764.0,1.0,1.0,22.0,0.1509584789252179
recommendation_system,0.466015625,0.6205524689093392,0.55,3.0,Completed,2276.0,1.0,1.0,35.0,0.1314481033546288
recommendation_system,0.5333535879629628,0.5900964558061771,0.57,5.0,Completed,2638.0,64.0,1.0,7.0,0.1241560687451908
recommendation_system,0.5544965277777776,0.5658389960014591,0.56,7.0,Completed,2839.0,69.0,1.0,14.0,0.343307067112543
recommendation_system,0.5669965277777776,0.551410178127769,0.56,9.0,Completed,2897.0,59.0,1.0,29.0,0.3318209386825339
recommendation_system,0.5901996527777775,0.5196585830639137,0.58,6.0,Completed,2023.0,9.0,6.0,53.0,0.7795607470987375
recommendation_system,0.6850723379629632,0.4556408530496353,0.56,14.0,Completed,2265.0,58.0,23.0,70.0,0.3658266976954424
recommendation_system,0.698888888888889,0.4542356993589678,0.56,15.0,Completed,2265.0,58.0,27.0,81.0,0.1676087526123674
recommendation_system,0.7061458333333334,0.4339718619881865,0.57,17.0,Completed,2265.0,58.0,70.0,81.0,0.1676087526123674
recommendation_system,0.7330410879629629,0.3991451158863546,0.57,21.0,Completed,2800.0,53.0,74.0,81.0,0.3721225267382092
recommendation_system,0.7439409722222222,0.3659838658535345,0.57,27.0,Completed,3486.0,41.0,72.0,115.0,0.3572051879502833
recommendation_system,0.7545167824074074,0.3417038578861133,0.57,44.0,Completed,3020.0,58.0,67.0,256.0,0.520290805142869
recommendation_system,0.7599131944444442,0.3096059041939429,0.57,53.0,Completed,4720.0,49.0,71.0,281.0,0.5562995684407651
recommendation_system,0.7637037037037036,0.3017934762609844,0.56,60.0,Completed,3176.0,43.0,73.0,430.0,0.6983133269972038
recommendation_system,0.7708738425925922,0.2822988863914208,0.57,99.0,Completed,1817.0,37.0,68.0,884.0,0.6480452754236757
recommendation_system,0.7838368055555556,0.2637674396705615,0.54,88.0,Completed,2740.0,38.0,74.0,789.0,0.8495612717438489
